metric,mode,method,count,mean,std,min,median,max
scenario_name,all_runs,RF,0,,0.0,,,
scenario_name,all_runs,HCS-i,0,,0.0,,,
scenario_name,all_runs,OEAC-i,0,,0.0,,,
scenario_name,all_runs,KINO,0,,0.0,,,
scenario_name,all_runs,Full,0,,0.0,,,
scenario_name,success_only,RF,0,,0.0,,,
scenario_name,success_only,HCS-i,0,,0.0,,,
scenario_name,success_only,OEAC-i,0,,0.0,,,
scenario_name,success_only,KINO,0,,0.0,,,
scenario_name,success_only,Full,0,,0.0,,,
init_lane,all_runs,RF,810,2.0,0.817001058319649,1.0,2.0,3.0
init_lane,all_runs,HCS-i,810,2.0,0.817001058319649,1.0,2.0,3.0
init_lane,all_runs,OEAC-i,810,2.0,0.817001058319649,1.0,2.0,3.0
init_lane,all_runs,KINO,810,2.0,0.817001058319649,1.0,2.0,3.0
init_lane,all_runs,Full,810,2.0,0.817001058319649,1.0,2.0,3.0
init_lane,success_only,RF,810,2.0,0.817001058319649,1.0,2.0,3.0
init_lane,success_only,HCS-i,414,1.7608695652173914,0.6981922124402128,1.0,2.0,3.0
init_lane,success_only,OEAC-i,723,2.008298755186722,0.815322623182869,1.0,2.0,3.0
init_lane,success_only,KINO,810,2.0,0.817001058319649,1.0,2.0,3.0
init_lane,success_only,Full,810,2.0,0.817001058319649,1.0,2.0,3.0
v_init,all_runs,RF,810,12.0,2.5835841950581493,8.0,12.0,16.0
v_init,all_runs,HCS-i,810,12.0,2.5835841950581493,8.0,12.0,16.0
v_init,all_runs,OEAC-i,810,12.0,2.5835841950581493,8.0,12.0,16.0
v_init,all_runs,KINO,810,12.0,2.5835841950581493,8.0,12.0,16.0
v_init,all_runs,Full,810,12.0,2.5835841950581493,8.0,12.0,16.0
v_init,success_only,RF,810,12.0,2.5835841950581493,8.0,12.0,16.0
v_init,success_only,HCS-i,414,11.695652173913043,2.664288162686806,8.0,12.0,16.0
v_init,success_only,OEAC-i,723,12.029045643153527,2.5742142499875618,8.0,12.0,16.0
v_init,success_only,KINO,810,12.0,2.5835841950581493,8.0,12.0,16.0
v_init,success_only,Full,810,12.0,2.5835841950581493,8.0,12.0,16.0
