metric,scenario_id,method_short,count,mean,std,min,median,max
scenario_name,B001,Full,0,,,,,
scenario_name,B001,HCS-i,0,,,,,
scenario_name,B001,KINO,0,,,,,
scenario_name,B001,OEAC-i,0,,,,,
scenario_name,B001,RF,0,,,,,
scenario_name,B002,Full,0,,,,,
scenario_name,B002,HCS-i,0,,,,,
scenario_name,B002,KINO,0,,,,,
scenario_name,B002,OEAC-i,0,,,,,
scenario_name,B002,RF,0,,,,,
scenario_name,B003,Full,0,,,,,
scenario_name,B003,HCS-i,0,,,,,
scenario_name,B003,KINO,0,,,,,
scenario_name,B003,OEAC-i,0,,,,,
scenario_name,B003,RF,0,,,,,
scenario_name,B004,Full,0,,,,,
scenario_name,B004,HCS-i,0,,,,,
scenario_name,B004,KINO,0,,,,,
scenario_name,B004,OEAC-i,0,,,,,
scenario_name,B004,RF,0,,,,,
scenario_name,B005,Full,0,,,,,
scenario_name,B005,HCS-i,0,,,,,
scenario_name,B005,KINO,0,,,,,
scenario_name,B005,OEAC-i,0,,,,,
scenario_name,B005,RF,0,,,,,
scenario_name,B006,Full,0,,,,,
scenario_name,B006,HCS-i,0,,,,,
scenario_name,B006,KINO,0,,,,,
scenario_name,B006,OEAC-i,0,,,,,
scenario_name,B006,RF,0,,,,,
scenario_name,B007,Full,0,,,,,
scenario_name,B007,HCS-i,0,,,,,
scenario_name,B007,KINO,0,,,,,
scenario_name,B007,OEAC-i,0,,,,,
scenario_name,B007,RF,0,,,,,
scenario_name,B008,Full,0,,,,,
scenario_name,B008,HCS-i,0,,,,,
scenario_name,B008,KINO,0,,,,,
scenario_name,B008,OEAC-i,0,,,,,
scenario_name,B008,RF,0,,,,,
scenario_name,B009,Full,0,,,,,
scenario_name,B009,HCS-i,0,,,,,
scenario_name,B009,KINO,0,,,,,
scenario_name,B009,OEAC-i,0,,,,,
scenario_name,B009,RF,0,,,,,
scenario_name,B010,Full,0,,,,,
scenario_name,B010,HCS-i,0,,,,,
scenario_name,B010,KINO,0,,,,,
scenario_name,B010,OEAC-i,0,,,,,
scenario_name,B010,RF,0,,,,,
init_lane,B001,Full,81,2.0,0.8215838362577492,1.0,2.0,3.0
init_lane,B001,HCS-i,81,2.0,0.8215838362577492,1.0,2.0,3.0
init_lane,B001,KINO,81,2.0,0.8215838362577492,1.0,2.0,3.0
init_lane,B001,OEAC-i,81,2.0,0.8215838362577492,1.0,2.0,3.0
init_lane,B001,RF,81,2.0,0.8215838362577492,1.0,2.0,3.0
init_lane,B002,Full,81,2.0,0.8215838362577492,1.0,2.0,3.0
init_lane,B002,HCS-i,81,2.0,0.8215838362577492,1.0,2.0,3.0
init_lane,B002,KINO,81,2.0,0.8215838362577492,1.0,2.0,3.0
init_lane,B002,OEAC-i,81,2.0,0.8215838362577492,1.0,2.0,3.0
init_lane,B002,RF,81,2.0,0.8215838362577492,1.0,2.0,3.0
init_lane,B003,Full,81,2.0,0.8215838362577492,1.0,2.0,3.0
init_lane,B003,HCS-i,81,2.0,0.8215838362577492,1.0,2.0,3.0
init_lane,B003,KINO,81,2.0,0.8215838362577492,1.0,2.0,3.0
init_lane,B003,OEAC-i,81,2.0,0.8215838362577492,1.0,2.0,3.0
init_lane,B003,RF,81,2.0,0.8215838362577492,1.0,2.0,3.0
init_lane,B004,Full,81,2.0,0.8215838362577492,1.0,2.0,3.0
init_lane,B004,HCS-i,81,2.0,0.8215838362577492,1.0,2.0,3.0
init_lane,B004,KINO,81,2.0,0.8215838362577492,1.0,2.0,3.0
init_lane,B004,OEAC-i,81,2.0,0.8215838362577492,1.0,2.0,3.0
init_lane,B004,RF,81,2.0,0.8215838362577492,1.0,2.0,3.0
init_lane,B005,Full,81,2.0,0.8215838362577492,1.0,2.0,3.0
init_lane,B005,HCS-i,81,2.0,0.8215838362577492,1.0,2.0,3.0
init_lane,B005,KINO,81,2.0,0.8215838362577492,1.0,2.0,3.0
init_lane,B005,OEAC-i,81,2.0,0.8215838362577492,1.0,2.0,3.0
init_lane,B005,RF,81,2.0,0.8215838362577492,1.0,2.0,3.0
init_lane,B006,Full,81,2.0,0.8215838362577492,1.0,2.0,3.0
init_lane,B006,HCS-i,81,2.0,0.8215838362577492,1.0,2.0,3.0
init_lane,B006,KINO,81,2.0,0.8215838362577492,1.0,2.0,3.0
init_lane,B006,OEAC-i,81,2.0,0.8215838362577492,1.0,2.0,3.0
init_lane,B006,RF,81,2.0,0.8215838362577492,1.0,2.0,3.0
init_lane,B007,Full,81,2.0,0.8215838362577492,1.0,2.0,3.0
init_lane,B007,HCS-i,81,2.0,0.8215838362577492,1.0,2.0,3.0
init_lane,B007,KINO,81,2.0,0.8215838362577492,1.0,2.0,3.0
init_lane,B007,OEAC-i,81,2.0,0.8215838362577492,1.0,2.0,3.0
init_lane,B007,RF,81,2.0,0.8215838362577492,1.0,2.0,3.0
init_lane,B008,Full,81,2.0,0.8215838362577492,1.0,2.0,3.0
init_lane,B008,HCS-i,81,2.0,0.8215838362577492,1.0,2.0,3.0
init_lane,B008,KINO,81,2.0,0.8215838362577492,1.0,2.0,3.0
init_lane,B008,OEAC-i,81,2.0,0.8215838362577492,1.0,2.0,3.0
init_lane,B008,RF,81,2.0,0.8215838362577492,1.0,2.0,3.0
init_lane,B009,Full,81,2.0,0.8215838362577492,1.0,2.0,3.0
init_lane,B009,HCS-i,81,2.0,0.8215838362577492,1.0,2.0,3.0
init_lane,B009,KINO,81,2.0,0.8215838362577492,1.0,2.0,3.0
init_lane,B009,OEAC-i,81,2.0,0.8215838362577492,1.0,2.0,3.0
init_lane,B009,RF,81,2.0,0.8215838362577492,1.0,2.0,3.0
init_lane,B010,Full,81,2.0,0.8215838362577492,1.0,2.0,3.0
init_lane,B010,HCS-i,81,2.0,0.8215838362577492,1.0,2.0,3.0
init_lane,B010,KINO,81,2.0,0.8215838362577492,1.0,2.0,3.0
init_lane,B010,OEAC-i,81,2.0,0.8215838362577492,1.0,2.0,3.0
init_lane,B010,RF,81,2.0,0.8215838362577492,1.0,2.0,3.0
v_init,B001,Full,81,12.0,2.598076211353316,8.0,12.0,16.0
v_init,B001,HCS-i,81,12.0,2.598076211353316,8.0,12.0,16.0
v_init,B001,KINO,81,12.0,2.598076211353316,8.0,12.0,16.0
v_init,B001,OEAC-i,81,12.0,2.598076211353316,8.0,12.0,16.0
v_init,B001,RF,81,12.0,2.598076211353316,8.0,12.0,16.0
v_init,B002,Full,81,12.0,2.598076211353316,8.0,12.0,16.0
v_init,B002,HCS-i,81,12.0,2.598076211353316,8.0,12.0,16.0
v_init,B002,KINO,81,12.0,2.598076211353316,8.0,12.0,16.0
v_init,B002,OEAC-i,81,12.0,2.598076211353316,8.0,12.0,16.0
v_init,B002,RF,81,12.0,2.598076211353316,8.0,12.0,16.0
v_init,B003,Full,81,12.0,2.598076211353316,8.0,12.0,16.0
v_init,B003,HCS-i,81,12.0,2.598076211353316,8.0,12.0,16.0
v_init,B003,KINO,81,12.0,2.598076211353316,8.0,12.0,16.0
v_init,B003,OEAC-i,81,12.0,2.598076211353316,8.0,12.0,16.0
v_init,B003,RF,81,12.0,2.598076211353316,8.0,12.0,16.0
v_init,B004,Full,81,12.0,2.598076211353316,8.0,12.0,16.0
v_init,B004,HCS-i,81,12.0,2.598076211353316,8.0,12.0,16.0
v_init,B004,KINO,81,12.0,2.598076211353316,8.0,12.0,16.0
v_init,B004,OEAC-i,81,12.0,2.598076211353316,8.0,12.0,16.0
v_init,B004,RF,81,12.0,2.598076211353316,8.0,12.0,16.0
v_init,B005,Full,81,12.0,2.598076211353316,8.0,12.0,16.0
v_init,B005,HCS-i,81,12.0,2.598076211353316,8.0,12.0,16.0
v_init,B005,KINO,81,12.0,2.598076211353316,8.0,12.0,16.0
v_init,B005,OEAC-i,81,12.0,2.598076211353316,8.0,12.0,16.0
v_init,B005,RF,81,12.0,2.598076211353316,8.0,12.0,16.0
v_init,B006,Full,81,12.0,2.598076211353316,8.0,12.0,16.0
v_init,B006,HCS-i,81,12.0,2.598076211353316,8.0,12.0,16.0
v_init,B006,KINO,81,12.0,2.598076211353316,8.0,12.0,16.0
v_init,B006,OEAC-i,81,12.0,2.598076211353316,8.0,12.0,16.0
v_init,B006,RF,81,12.0,2.598076211353316,8.0,12.0,16.0
v_init,B007,Full,81,12.0,2.598076211353316,8.0,12.0,16.0
v_init,B007,HCS-i,81,12.0,2.598076211353316,8.0,12.0,16.0
v_init,B007,KINO,81,12.0,2.598076211353316,8.0,12.0,16.0
v_init,B007,OEAC-i,81,12.0,2.598076211353316,8.0,12.0,16.0
v_init,B007,RF,81,12.0,2.598076211353316,8.0,12.0,16.0
v_init,B008,Full,81,12.0,2.598076211353316,8.0,12.0,16.0
v_init,B008,HCS-i,81,12.0,2.598076211353316,8.0,12.0,16.0
v_init,B008,KINO,81,12.0,2.598076211353316,8.0,12.0,16.0
v_init,B008,OEAC-i,81,12.0,2.598076211353316,8.0,12.0,16.0
v_init,B008,RF,81,12.0,2.598076211353316,8.0,12.0,16.0
v_init,B009,Full,81,12.0,2.598076211353316,8.0,12.0,16.0
v_init,B009,HCS-i,81,12.0,2.598076211353316,8.0,12.0,16.0
v_init,B009,KINO,81,12.0,2.598076211353316,8.0,12.0,16.0
v_init,B009,OEAC-i,81,12.0,2.598076211353316,8.0,12.0,16.0
v_init,B009,RF,81,12.0,2.598076211353316,8.0,12.0,16.0
v_init,B010,Full,81,12.0,2.598076211353316,8.0,12.0,16.0
v_init,B010,HCS-i,81,12.0,2.598076211353316,8.0,12.0,16.0
v_init,B010,KINO,81,12.0,2.598076211353316,8.0,12.0,16.0
v_init,B010,OEAC-i,81,12.0,2.598076211353316,8.0,12.0,16.0
v_init,B010,RF,81,12.0,2.598076211353316,8.0,12.0,16.0
SOC_init,B001,Full,81,0.6,0.03286335345030995,0.56,0.6,0.64
SOC_init,B001,HCS-i,81,0.6,0.03286335345030995,0.56,0.6,0.64
SOC_init,B001,KINO,81,0.6,0.03286335345030995,0.56,0.6,0.64
SOC_init,B001,OEAC-i,81,0.6,0.03286335345030995,0.56,0.6,0.64
SOC_init,B001,RF,81,0.6,0.03286335345030995,0.56,0.6,0.64
SOC_init,B002,Full,81,0.6,0.03286335345030995,0.56,0.6,0.64
SOC_init,B002,HCS-i,81,0.6,0.03286335345030995,0.56,0.6,0.64
SOC_init,B002,KINO,81,0.6,0.03286335345030995,0.56,0.6,0.64
SOC_init,B002,OEAC-i,81,0.6,0.03286335345030995,0.56,0.6,0.64
SOC_init,B002,RF,81,0.6,0.03286335345030995,0.56,0.6,0.64
SOC_init,B003,Full,81,0.6,0.03286335345030995,0.56,0.6,0.64
SOC_init,B003,HCS-i,81,0.6,0.03286335345030995,0.56,0.6,0.64
SOC_init,B003,KINO,81,0.6,0.03286335345030995,0.56,0.6,0.64
SOC_init,B003,OEAC-i,81,0.6,0.03286335345030995,0.56,0.6,0.64
SOC_init,B003,RF,81,0.6,0.03286335345030995,0.56,0.6,0.64
SOC_init,B004,Full,81,0.6,0.03286335345030995,0.56,0.6,0.64
SOC_init,B004,HCS-i,81,0.6,0.03286335345030995,0.56,0.6,0.64
SOC_init,B004,KINO,81,0.6,0.03286335345030995,0.56,0.6,0.64
SOC_init,B004,OEAC-i,81,0.6,0.03286335345030995,0.56,0.6,0.64
SOC_init,B004,RF,81,0.6,0.03286335345030995,0.56,0.6,0.64
SOC_init,B005,Full,81,0.6,0.03286335345030995,0.56,0.6,0.64
SOC_init,B005,HCS-i,81,0.6,0.03286335345030995,0.56,0.6,0.64
SOC_init,B005,KINO,81,0.6,0.03286335345030995,0.56,0.6,0.64
SOC_init,B005,OEAC-i,81,0.6,0.03286335345030995,0.56,0.6,0.64
SOC_init,B005,RF,81,0.6,0.03286335345030995,0.56,0.6,0.64
SOC_init,B006,Full,81,0.6,0.03286335345030995,0.56,0.6,0.64
SOC_init,B006,HCS-i,81,0.6,0.03286335345030995,0.56,0.6,0.64
SOC_init,B006,KINO,81,0.6,0.03286335345030995,0.56,0.6,0.64
SOC_init,B006,OEAC-i,81,0.6,0.03286335345030995,0.56,0.6,0.64
SOC_init,B006,RF,81,0.6,0.03286335345030995,0.56,0.6,0.64
SOC_init,B007,Full,81,0.6,0.03286335345030995,0.56,0.6,0.64
SOC_init,B007,HCS-i,81,0.6,0.03286335345030995,0.56,0.6,0.64
SOC_init,B007,KINO,81,0.6,0.03286335345030995,0.56,0.6,0.64
SOC_init,B007,OEAC-i,81,0.6,0.03286335345030995,0.56,0.6,0.64
SOC_init,B007,RF,81,0.6,0.03286335345030995,0.56,0.6,0.64
SOC_init,B008,Full,81,0.6,0.03286335345030995,0.56,0.6,0.64
SOC_init,B008,HCS-i,81,0.6,0.03286335345030995,0.56,0.6,0.64
SOC_init,B008,KINO,81,0.6,0.03286335345030995,0.56,0.6,0.64
SOC_init,B008,OEAC-i,81,0.6,0.03286335345030995,0.56,0.6,0.64
SOC_init,B008,RF,81,0.6,0.03286335345030995,0.56,0.6,0.64
SOC_init,B009,Full,81,0.6,0.03286335345030995,0.56,0.6,0.64
