scenario_id,name,N,dt,n_lanes,n_SIG,n_NS,events
B001,fair_signalized_free_flow_reference,240,1.0,3,3,0,"SIG 1: zone=[656.0,680.0] m, KSIG=29-101, all candidate Gamma=1 | SIG 2: zone=[1376.8,1400.8] m, KSIG=95-167, all candidate Gamma=1 | SIG 3: zone=[2071.2,2095.2] m, KSIG=158-230, all candidate Gamma=1"
B002,fair_signalized_single_mild_lane1_closure,240,1.0,3,3,0,"SIG 1: zone=[674.0,698.0] m, KSIG=30-102, all candidate Gamma=1 | SIG 2: zone=[1401.3,1425.3] m, KSIG=96-168, all candidate Gamma=1 | SIG 3: zone=[2101.9,2125.9] m, KSIG=159-231, all candidate Gamma=1 | B002_L1_closure: lane 1 closed k=86-98; mandatory left merge k=80-85"
B003,fair_signalized_moderate_traffic_no_hard_closure,240,1.0,3,3,0,"SIG 1: zone=[638.0,662.0] m, KSIG=28-100, all candidate Gamma=1 | SIG 2: zone=[1352.3,1376.3] m, KSIG=94-166, all candidate Gamma=1 | SIG 3: zone=[2040.5,2064.5] m, KSIG=157-229, all candidate Gamma=1 | B003_lane2_soft_slow_window: lane 2 speed cap 9.4 m/s, k=72-110"
B004,fair_signalized_single_late_lane2_closure,240,1.0,3,3,0,"SIG 1: zone=[656.0,680.0] m, KSIG=29-101, all candidate Gamma=1 | SIG 2: zone=[1376.8,1400.8] m, KSIG=95-167, all candidate Gamma=1 | SIG 3: zone=[2071.2,2095.2] m, KSIG=158-230, all candidate Gamma=1 | B004_L2_closure: lane 2 closed k=146-160; mandatory left merge k=140-145"
B005,fair_signalized_emergency_only,240,1.0,3,3,0,"SIG 1: zone=[668.0,692.0] m, KSIG=30-102, all candidate Gamma=1 | SIG 2: zone=[1388.8,1412.8] m, KSIG=96-168, all candidate Gamma=1 | SIG 3: zone=[2083.2,2107.2] m, KSIG=159-231, all candidate Gamma=1 | B005_emergency: emergency lane-change trigger k=129-129"
B006,fair_signalized_dense_traffic_no_closure,240,1.0,3,3,0,"SIG 1: zone=[632.0,656.0] m, KSIG=28-100, all candidate Gamma=1 | SIG 2: zone=[1339.8,1363.8] m, KSIG=94-166, all candidate Gamma=1 | SIG 3: zone=[2021.8,2045.8] m, KSIG=157-229, all candidate Gamma=1 | B006_lane2_dense_window: lane 2 speed cap 8.8 m/s, k=64-132"
B007,fair_signalized_single_late_lane3_closure,240,1.0,3,3,0,"SIG 1: zone=[668.0,692.0] m, KSIG=29-101, all candidate Gamma=1 | SIG 2: zone=[1401.8,1425.8] m, KSIG=95-167, all candidate Gamma=1 | SIG 3: zone=[2108.6,2132.6] m, KSIG=158-230, all candidate Gamma=1 | B007_L3_closure: lane 3 closed k=153-168; mandatory right merge k=147-152"
B008,fair_signalized_rule_rich_but_closure_free,240,1.0,3,3,0,"SIG 1: zone=[668.0,692.0] m, KSIG=30-102, all candidate Gamma=1 | SIG 2: zone=[1388.8,1412.8] m, KSIG=96-168, all candidate Gamma=1 | SIG 3: zone=[2083.2,2107.2] m, KSIG=159-231, all candidate Gamma=1 | B008_lane1_soft_window: lane 1 speed cap 9.8 m/s, k=43-72 | B008_lane2_soft_window: lane 2 speed cap 9.2 m/s, k=132-168"
B009,fair_signalized_single_midtrip_closure_plus_slow_zone,240,1.0,3,3,0,"SIG 1: zone=[650.0,674.0] m, KSIG=28-100, all candidate Gamma=1 | SIG 2: zone=[1377.3,1401.3] m, KSIG=94-166, all candidate Gamma=1 | SIG 3: zone=[2077.9,2101.9] m, KSIG=157-229, all candidate Gamma=1 | B009_L1_closure: lane 1 closed k=110-122; mandatory left merge k=104-109 | B009_lane2_soft_window: lane 2 speed cap 9.0 m/s, k=144-182"
B010,fair_single_unsignalized_extension_case,240,1.0,3,2,1,"SIG 1: zone=[893.6,917.6] m, KSIG=51-123, all candidate Gamma=1 | SIG 2: zone=[1799.2,1823.2] m, KSIG=133-205, all candidate Gamma=1 | B010_lane2_soft_window: lane 2 speed cap 9.4 m/s, k=57-91 | B010_NS1: unsignalized stop/yield range=[1258.2,1276.2] m, KNS=96-142"
