key,value
"(0, 1)",1
"(1, 1)",1
"(2, 1)",1
"(3, 1)",1
"(4, 1)",1
"(5, 1)",1
"(6, 1)",1
"(7, 1)",1
"(8, 1)",1
"(9, 1)",1
"(10, 1)",1
"(11, 1)",1
"(12, 1)",1
"(13, 1)",1
"(14, 1)",1
"(15, 1)",1
"(16, 1)",1
"(17, 1)",0
"(18, 1)",0
"(19, 1)",0
"(20, 1)",0
"(21, 1)",0
"(22, 1)",0
"(23, 1)",0
"(24, 1)",1
"(25, 1)",1
"(26, 1)",1
"(27, 1)",1
"(28, 1)",1
"(29, 1)",0
"(30, 1)",0
"(31, 1)",0
"(32, 1)",0
"(33, 1)",0
"(34, 1)",0
"(35, 1)",0
"(36, 1)",0
"(37, 1)",0
"(38, 1)",0
"(39, 1)",0
"(40, 1)",0
"(41, 1)",0
"(42, 1)",1
"(43, 1)",1
"(44, 1)",1
"(45, 1)",1
"(46, 1)",1
"(47, 1)",1
"(48, 1)",1
"(49, 1)",1
"(50, 1)",1
"(51, 1)",1
"(52, 1)",1
"(53, 1)",1
"(54, 1)",1
"(55, 1)",1
"(56, 1)",1
"(57, 1)",1
"(58, 1)",1
"(59, 1)",1
"(60, 1)",1
"(0, 2)",1
"(1, 2)",1
"(2, 2)",1
"(3, 2)",1
"(4, 2)",1
"(5, 2)",1
"(6, 2)",1
"(7, 2)",1
"(8, 2)",1
"(9, 2)",1
"(10, 2)",1
"(11, 2)",1
"(12, 2)",1
"(13, 2)",1
"(14, 2)",0
"(15, 2)",0
"(16, 2)",0
"(17, 2)",0
"(18, 2)",0
"(19, 2)",0
"(20, 2)",1
"(21, 2)",1
"(22, 2)",1
"(23, 2)",1
"(24, 2)",1
"(25, 2)",0
"(26, 2)",0
"(27, 2)",0
"(28, 2)",0
"(29, 2)",0
"(30, 2)",0
"(31, 2)",0
"(32, 2)",0
"(33, 2)",0
"(34, 2)",0
"(35, 2)",0
"(36, 2)",1
"(37, 2)",1
"(38, 2)",1
"(39, 2)",1
"(40, 2)",1
"(41, 2)",1
"(42, 2)",1
"(43, 2)",1
"(44, 2)",1
"(45, 2)",1
"(46, 2)",1
"(47, 2)",1
"(48, 2)",1
"(49, 2)",1
"(50, 2)",1
"(51, 2)",1
"(52, 2)",1
"(53, 2)",1
"(54, 2)",1
"(55, 2)",1
"(56, 2)",1
"(57, 2)",1
"(58, 2)",1
"(59, 2)",1
"(60, 2)",1
"(0, 3)",1
"(1, 3)",1
"(2, 3)",1
"(3, 3)",1
"(4, 3)",1
"(5, 3)",1
"(6, 3)",1
"(7, 3)",1
"(8, 3)",1
"(9, 3)",1
"(10, 3)",1
"(11, 3)",1
"(12, 3)",0
"(13, 3)",0
"(14, 3)",0
"(15, 3)",0
"(16, 3)",0
"(17, 3)",1
"(18, 3)",1
"(19, 3)",1
"(20, 3)",1
"(21, 3)",0
"(22, 3)",0
"(23, 3)",0
"(24, 3)",0
"(25, 3)",0
"(26, 3)",0
"(27, 3)",0
"(28, 3)",0
"(29, 3)",0
"(30, 3)",0
"(31, 3)",1
"(32, 3)",1
"(33, 3)",1
"(34, 3)",1
"(35, 3)",1
"(36, 3)",1
"(37, 3)",1
"(38, 3)",1
"(39, 3)",1
"(40, 3)",1
"(41, 3)",1
"(42, 3)",1
"(43, 3)",1
"(44, 3)",1
"(45, 3)",1
"(46, 3)",1
"(47, 3)",1
"(48, 3)",1
"(49, 3)",1
"(50, 3)",1
"(51, 3)",1
"(52, 3)",1
"(53, 3)",1
"(54, 3)",1
"(55, 3)",1
"(56, 3)",1
"(57, 3)",1
"(58, 3)",1
"(59, 3)",1
"(60, 3)",1
"(0, 4)",1
"(1, 4)",1
"(2, 4)",1
"(3, 4)",1
"(4, 4)",1
"(5, 4)",1
"(6, 4)",1
"(7, 4)",1
"(8, 4)",1
"(9, 4)",1
"(10, 4)",0
"(11, 4)",0
"(12, 4)",0
"(13, 4)",0
"(14, 4)",0
"(15, 4)",1
"(16, 4)",1
"(17, 4)",1
"(18, 4)",0
"(19, 4)",0
"(20, 4)",0
"(21, 4)",0
"(22, 4)",0
"(23, 4)",0
"(24, 4)",0
"(25, 4)",0
"(26, 4)",0
"(27, 4)",1
"(28, 4)",1
"(29, 4)",1
"(30, 4)",1
"(31, 4)",1
"(32, 4)",1
"(33, 4)",1
"(34, 4)",1
"(35, 4)",1
"(36, 4)",1
"(37, 4)",1
"(38, 4)",1
"(39, 4)",1
"(40, 4)",1
"(41, 4)",1
"(42, 4)",1
"(43, 4)",1
"(44, 4)",1
"(45, 4)",1
"(46, 4)",1
"(47, 4)",1
"(48, 4)",1
"(49, 4)",1
"(50, 4)",1
"(51, 4)",1
"(52, 4)",1
"(53, 4)",1
"(54, 4)",1
"(55, 4)",1
"(56, 4)",1
"(57, 4)",1
"(58, 4)",1
"(59, 4)",1
"(60, 4)",1
"(0, 5)",1
"(1, 5)",1
"(2, 5)",1
"(3, 5)",1
"(4, 5)",1
"(5, 5)",1
"(6, 5)",1
"(7, 5)",1
"(8, 5)",1
"(9, 5)",0
"(10, 5)",0
"(11, 5)",0
"(12, 5)",0
"(13, 5)",1
"(14, 5)",1
"(15, 5)",1
"(16, 5)",0
"(17, 5)",0
"(18, 5)",0
"(19, 5)",0
"(20, 5)",0
"(21, 5)",0
"(22, 5)",0
"(23, 5)",0
"(24, 5)",1
"(25, 5)",1
"(26, 5)",1
"(27, 5)",1
"(28, 5)",1
"(29, 5)",1
"(30, 5)",1
"(31, 5)",0
"(32, 5)",0
"(33, 5)",0
"(34, 5)",0
"(35, 5)",0
"(36, 5)",0
"(37, 5)",0
"(38, 5)",0
"(39, 5)",0
"(40, 5)",0
"(41, 5)",0
"(42, 5)",0
"(43, 5)",0
"(44, 5)",0
"(45, 5)",0
"(46, 5)",0
"(47, 5)",0
"(48, 5)",0
"(49, 5)",0
"(50, 5)",0
"(51, 5)",0
"(52, 5)",0
"(53, 5)",0
"(54, 5)",0
"(55, 5)",0
"(56, 5)",0
"(57, 5)",0
"(58, 5)",0
"(59, 5)",0
"(60, 5)",0
