key,value
"(0, 1)",47.0
"(1, 1)",65.0
"(2, 1)",83.0
"(3, 1)",101.0
"(4, 1)",119.0
"(5, 1)",137.0
"(6, 1)",155.0
"(7, 1)",173.0
"(8, 1)",191.0
"(9, 1)",209.0
"(10, 1)",227.0
"(11, 1)",245.0
"(12, 1)",263.0
"(13, 1)",281.0
"(14, 1)",299.0
"(15, 1)",317.0
"(16, 1)",335.0
"(17, 1)",nan
"(18, 1)",nan
"(19, 1)",nan
"(20, 1)",nan
"(21, 1)",nan
"(22, 1)",nan
"(23, 1)",nan
"(24, 1)",479.0
"(25, 1)",497.0
"(26, 1)",515.0
"(27, 1)",533.0
"(28, 1)",551.0
"(29, 1)",nan
"(30, 1)",nan
"(31, 1)",nan
"(32, 1)",nan
"(33, 1)",nan
"(34, 1)",nan
"(35, 1)",nan
"(36, 1)",nan
"(37, 1)",nan
"(38, 1)",nan
"(39, 1)",nan
"(40, 1)",nan
"(41, 1)",nan
"(42, 1)",803.0
"(43, 1)",821.0
"(44, 1)",839.0
"(45, 1)",857.0
"(46, 1)",875.0
"(47, 1)",893.0
"(48, 1)",911.0
"(49, 1)",929.0
"(50, 1)",947.0
"(51, 1)",965.0
"(52, 1)",983.0
"(53, 1)",1001.0
"(54, 1)",1019.0
"(55, 1)",1037.0
"(56, 1)",1055.0
"(57, 1)",1073.0
"(58, 1)",1091.0
"(59, 1)",1109.0
"(60, 1)",1127.0
"(0, 2)",59.0
"(1, 2)",80.0
"(2, 2)",101.0
"(3, 2)",122.0
"(4, 2)",143.0
"(5, 2)",164.0
"(6, 2)",185.0
"(7, 2)",206.0
"(8, 2)",227.0
"(9, 2)",248.0
"(10, 2)",269.0
"(11, 2)",290.0
"(12, 2)",311.0
"(13, 2)",332.0
"(14, 2)",nan
"(15, 2)",nan
"(16, 2)",nan
"(17, 2)",nan
"(18, 2)",nan
"(19, 2)",nan
"(20, 2)",479.0
"(21, 2)",500.0
"(22, 2)",521.0
"(23, 2)",542.0
"(24, 2)",563.0
"(25, 2)",nan
"(26, 2)",nan
"(27, 2)",nan
"(28, 2)",nan
"(29, 2)",nan
"(30, 2)",nan
"(31, 2)",nan
"(32, 2)",nan
"(33, 2)",nan
"(34, 2)",nan
"(35, 2)",nan
"(36, 2)",815.0
"(37, 2)",836.0
"(38, 2)",857.0
"(39, 2)",878.0
"(40, 2)",899.0
"(41, 2)",920.0
"(42, 2)",941.0
"(43, 2)",962.0
"(44, 2)",983.0
"(45, 2)",1004.0
"(46, 2)",1025.0
"(47, 2)",1046.0
"(48, 2)",1067.0
"(49, 2)",1088.0
"(50, 2)",1109.0
"(51, 2)",1130.0
"(52, 2)",1151.0
"(53, 2)",1172.0
"(54, 2)",1193.0
"(55, 2)",1214.0
"(56, 2)",1235.0
"(57, 2)",1256.0
"(58, 2)",1277.0
"(59, 2)",1298.0
"(60, 2)",1319.0
"(0, 3)",71.0
"(1, 3)",95.0
"(2, 3)",119.0
"(3, 3)",143.0
"(4, 3)",167.0
"(5, 3)",191.0
"(6, 3)",215.0
"(7, 3)",239.0
"(8, 3)",263.0
"(9, 3)",287.0
"(10, 3)",311.0
"(11, 3)",335.0
"(12, 3)",nan
"(13, 3)",nan
