metric,value
metric__fuel_kg,0.06490533415711518
metric__fuel_g,64.90533415711518
metric__fuel_energy_j,2790929.3687559525
metric__fuel_energy_kwh,0.7752581579877645
metric__battery_discharge_j,209316.96010508048
metric__battery_discharge_kwh,0.05814360002918902
metric__brake_loss_j,608427.2319947083
metric__brake_loss_kwh,0.16900756444297452
metric__equivalent_energy_j,3000246.328861033
metric__equivalent_energy_kwh,0.8334017580169536
metric__equivalent_energy_kwh_per_km,0.7596514608854918
metric__distance_m,1097.084387944827
hard__speed_cap_max_violation,4.618527782440651e-14
hard__hard_current_lane_safety_max_violation,0.0
hard__hard_lane_change_safety_max_violation,0.0
hard__raw_acc_bound_violation_before_slack,0.0
hard__raw_jerk_bound_violation_before_slack,0.0
hard__SOC_max_violation,0.0
hard__NS_stop_speed_max_violation,0.0
hard__NS_no_cross_max_violation,0.0
hard__SIG_entry_safe_to_clear_max_violation,0.0
hard__SIG_position_consistency_max_violation,0.0
hard__SIG_stopping_feasibility_max_violation,0.0
hard__SIG_downstream_clearance_max_violation,0.0
obj__J_safe_star,0.0
obj__J_perm_star,0.0
obj__J_dyn_star,0.0
obj__J_eco_star,-3120.918139369747
obj__solver_status,OPTIMAL
obj__status_code,2
obj__mip_gap,9.839329253386412e-05
obj__runtime_sec,0.2569999694824219
