k,s,v,a,lane_sequence,SOC,mf,Pe,Pm_pos,Pm_neg,Pb,Ftr,Fbr
0,0.0,18.04902288543714,1.2899677401919263,3,0.5740226156844399,0.0,44212.04646914147,0.0,0.0,0.0,2253.5891837351955,0.0
1,18.04902288543714,19.33899062562908,1.1140680168064807,3,0.5740226156844399,0.0031948432528398087,42222.85496931464,0.0,0.0,0.0,2008.637747633526,0.0
2,37.38801351106622,20.453058642435543,0.8566034888213918,3,0.5740226156844399,0.006250443100691834,36454.93440134351,0.0,0.0,0.0,1639.7811317888186,0.0
3,57.84107215350176,21.30966213125695,0.5636862623896091,3,0.5740226156844402,0.00890228850878588,28127.0313301347,0.0,0.0,0.0,1214.32562676664,0.0
4,79.15073428475858,21.87334839364653,0.25846613183571265,3,0.5740226156844402,0.010971180701895308,18208.295935971673,0.0,0.0,0.0,765.846726327448,0.0
5,101.02408267840491,22.13181452548227,-0.056380665550069375,3,0.5740226156844402,0.012345761417413325,0.0,7162.652719225967,0.0,7958.503021362186,297.7451529833068,0.0
6,123.15589720388671,22.07543385993217,-0.34292062152932945,3,0.5735804766276978,0.012345761417413325,0.0,0.0,0.0,0.0,0.0,133.43790317101022
7,145.23133106381832,21.732513238402813,-0.6650089071259973,3,0.5735804766276978,0.012345761417413325,0.0,0.0,0.0,0.0,0.0,622.9512323568298
8,166.96384430222037,21.067504331276744,-0.9863938230276315,3,0.5735804766276978,0.012345761417413325,0.0,0.0,0.0,0.0,0.0,1116.780784994752
9,188.03134863349624,20.08111050824906,-1.3098052648847154,3,0.5735804766276978,0.012345761417413325,0.0,0.0,0.0,0.0,0.0,1618.4964968938755
10,208.1124591417442,18.771305243364328,-1.632362291263488,3,0.5735804766276978,0.012345761417413325,0.0,0.0,0.0,0.0,0.0,2123.0471886289724
11,226.88376438510855,17.138942952100845,-1.9506143504165594,3,0.5735804766276978,0.012345761417413325,0.0,0.0,0.0,0.0,0.0,2624.229547180705
12,244.02270733720803,15.188328601684313,-2.2582409124459684,3,0.5735804766276978,0.012345761417413325,0.0,0.0,0.0,0.0,0.0,3111.247935999532
13,259.21103593889234,12.930087689238299,-2.5418377827049916,3,0.5735804766276978,0.012345761417413325,0.0,0.0,0.0,0.0,0.0,3562.3976832963504
14,272.14112362813063,10.388249906533266,-2.7719809720330293,4,0.5735804766276978,0.012345761417413325,0.0,0.0,0.0,0.0,0.0,3931.677671642203
15,282.5293735346631,7.61626893450023,-2.8836107039821375,4,0.5735804766276978,0.012345761417413325,0.0,0.0,0.0,0.0,0.0,4119.445393499224
16,290.1456424691633,4.732658230518097,-2.7326582305180978,4,0.5735804766276978,0.012345761417413325,0.0,0.0,0.0,0.0,0.0,3907.625248496639
17,294.8783006996814,2.0,-1.9999999277208655,4,0.5735804766276978,0.012345761417413325,0.0,0.0,0.0,0.0,0.0,2816.3676981965314
18,296.87830069968106,0.0,0.0,4,0.5735804766276978,0.012345761417413325,0.0,0.0,0.0,0.0,4500.0,4318.343438390764
19,296.87830069968106,0.0,1.9999998023678214,4,0.5735804766276978,0.012345761417413325,0.0,0.0,0.0,0.0,4500.0,1318.7207417338109
20,296.87830069968066,2.0,1.9999998023677943,5,0.5735804766276978,0.012345761417413325,6918.480810218657,0.0,0.0,0.0,3182.501172700612,0.000296448244171188
21,298.87830069968066,4.0,2.0,5,0.5735804766276978,0.01293005507412863,13856.174089426819,0.0,0.0,0.0,3186.9200405681686,0.0
22,302.87830069968066,6.0,2.0,5,0.5735804766276978,0.013999987260388506,20833.931467285325,0.0,0.0,0.0,3194.5361583170834,0.0
23,308.8783006996803,8.0,2.0,5,0.5735804766276978,0.015558362463098479,27872.604573458088,0.0,0.0,0.0,3205.3495259476804,0.0
24,316.8783006996803,10.0,2.0,5,0.5735804766276978,0.017609444783240544,34993.04503761387,0.0,0.0,0.0,3219.360143460476,0.0
25,326.8783006996803,12.0,2.0,5,0.5735804766276978,0.020158957935873516,42216.10448941832,0.0,0.0,0.0,3236.56801085542,0.0
26,338.87830069968027,14.0,2.0,5,0.5735804766276978,0.0232140852501328,49562.63455854369,0.0,0.0,0.0,3256.973128132872,0.0
27,352.87830069968027,16.0,1.8146589371951514,5,0.5735804766276978,0.026783469669230855,52218.502627576745,0.0,0.0,0.0,3002.563901085663,0.0
28,368.87830069968027,17.814658937195176,1.493036338504318,5,0.5735804766276978,0.03053876485316123,49266.7632677969,0.0,0.0,0.0,2544.276731099147,0.0
29,386.69295963687404,19.307695275699427,1.116492586718564,5,0.5735804766276978,0.034087438281907016,41999.170183790804,0.0,0.0,0.0,2001.235052519122,0.0
30,406.00065491257345,20.424187862417917,0.7297133419228672,5,0.5735804766276978,0.03712738019477237,31933.17486442179,0.0,0.0,0.0,1438.4180694561078,0.0
31,426.42484277499136,21.15390120434076,0.36749975100348875,5,0.5735804766276978,0.0394627024352819,20851.452839600064,0.0,0.0,0.0,906.8462798954389,0.0
32,447.5787439793295,21.52140095534425,0.08900096867783058,5,0.5735804766276978,0.04102230413405391,0.0,11579.191452469095,0.0,12865.768280521217,494.9889720643963,0.0
33,469.1001449346737,21.610401924022117,0.0045671695884828,5,0.5728657117232244,0.04102230413405391,0.0,8679.288341904808,0.0,9643.653713227566,369.49545420885306,0.0
34,490.71054685869586,21.614969093610522,0.35829880474406006,5,0.5723299531836007,0.04102230413405391,21140.257323721362,0.0,0.0,0.0,899.7947974662094,0.0
35,512.3255159523064,21.973267898354557,1.6836441040974925,5,0.5723299531836007,0.04260212214671441,69112.55330361333,0.0,0.0,0.0,2893.677414458941,0.0
36,534.298783850659,23.656912002452067,1.6878612294559652,5,0.5723299531836007,0.04754000087796735,75000.0,350.5992818701772,0.0,389.55475763353024,2930.3296783680435,0.0
37,557.955695853111,25.344773231907993,1.147745546687378,5,0.572308311252621,0.0528900008779678,59307.704149520425,0.0,0.0,0.0,2152.8339321997237,0.0
38,583.300469085019,26.49251877859538,0.4770657095594384,5,0.572308311252621,0.057141540168434236,33697.767553434474,0.0,0.0,0.0,1170.2151240601452,0.0
39,609.7929878636133,26.969584488154805,0.0,5,0.572308311252621,0.059600383897174654,13614.737496585107,0.0,0.0,0.0,464.4327576629738,0.0
40,636.7625723517682,26.969584488154783,0.0,5,0.572308311252621,0.060653415521935615,0.0,13603.685556053206,0.0,15115.206173392451,464.05574832143924,0.0
41,663.7321568399229,26.96958448815478,0.0,5,0.5714685775763215,0.060653415521935615,13592.633612173922,0.0,0.0,0.0,463.6787388657169,0.0
42,690.7017413280769,26.96958448815478,0.0,5,0.5714685775763215,0.06170489987478779,13581.581664969179,0.0,0.0,0.0,463.30172929655464,0.0
43,717.6713258162316,26.96958448815478,0.0,5,0.5714685775763215,0.06275561059133564,13570.529714442802,0.0,0.0,0.0,462.9247196140832,0.0
44,744.6409103043864,26.96958448815478,0.0,5,0.5714685775763215,0.06380554767134664,13559.47776060384,0.0,0.0,0.0,462.5477098186111,0.0
45,771.6104947925411,26.96958448815478,-0.5551088722973152,5,0.5714685775763215,0.0648547111145889,0.0,0.0,0.0,0.0,0.0,370.4926085357033
46,798.5800792806931,26.414475615857473,-1.5298886234594404,5,0.5714685775763215,0.0648547111145889,0.0,0.0,0.0,0.0,0.0,1844.5725088179197
47,824.9945548965505,24.88458699239804,-2.574192420927808,5,0.5714685775763215,0.0648547111145889,0.0,0.0,0.0,0.0,0.0,3442.4608418521316
48,849.8791418889485,22.310394571470255,-3.384222796347359,5,0.5714685775763215,0.0648547111145889,0.0,0.0,0.0,0.0,0.0,4706.127102749669
49,872.1895364604188,18.92617177512286,-3.5,5,0.5714685775763215,0.0648547111145889,0.0,0.0,0.0,0.0,0.0,4935.633301848024
50,891.1157082355417,15.426171775122834,-3.5,5,0.5714685775763215,0.0648547111145889,0.0,0.0,0.0,0.0,0.0,4983.752126722627
51,906.5418800106645,11.9261717751228,-3.5,5,0.5714685775763215,0.0648547111145889,0.0,0.0,0.0,0.0,0.0,5022.079373475764
52,918.4680517857873,8.426171775122771,-3.5,5,0.5714685775763215,0.0648547111145889,0.0,0.0,0.0,0.0,0.0,5050.615042107435
53,926.8942235609101,4.926171775122767,-3.4630858694005884,5,0.5714685775763215,0.0648547111145889,0.0,0.0,0.0,0.0,0.0,5013.987936718521
54,931.8203953360309,1.463085887561316,-1.4630858694005808,5,0.5714685775763215,0.0648547111145889,0.0,0.0,0.0,0.0,0.0,2022.8978240274164
55,933.2834812235922,0.0,0.5369141033582676,5,0.5714685775763215,0.0648547111145889,0.0,0.0,0.0,0.0,976.1797623695011,1.3620798199553974e-05
56,933.2834812235922,0.5369141124386949,2.0,5,0.5714685775763215,0.0648547111145889,0.0,1850.5193857641957,0.0,2056.1326508491065,3170.8569312330183,0.0
57,933.8203953360293,2.536914112438791,2.0,5,0.5713543479846077,0.0648547111145889,0.0,8750.277296686896,0.0,9722.530329652107,3173.2470064637146,0.0
58,936.3573094484681,4.536914112438799,2.0,5,0.5708142074107382,0.0648547111145889,15676.193848427207,0.0,0.0,0.0,3178.834331690818,0.0
59,940.8942235609044,6.536914112438813,2.0,5,0.5708142074107382,0.06605204468397881,22649.120671397875,0.0,0.0,0.0,3187.6189069144802,0.0
60,947.4311376733432,8.536914112438819,2.0,5,0.5708142074107382,0.06773748313097666,29689.909396010316,0.0,0.0,0.0,3199.6007321346056,0.0
61,955.968051785779,10.536914112438827,2.0,5,0.5708142074107382,0.06991577678869738,36819.41165267638,0.0,0.0,0.0,3214.779807351204,0.0
62,966.5049658982178,12.536914112438838,2.0,5,0.5708142074107382,0.07259313560438474,44058.4790718081,0.0,0.0,0.0,3233.1561325642924,0.0
63,979.0418800106567,14.536914112438842,2.0,5,0.5708142074107382,0.0757772291394113,51427.96328381722,0.0,0.0,0.0,3254.729707773865,0.0
64,993.5787941230876,16.53691411243885,2.0,5,0.5708142074107382,0.07947718656927852,58948.715919115064,0.0,0.0,0.0,3279.500532979889,0.0
65,1010.1157082355264,18.53691411243886,2.0,5,0.5708142074107382,0.08370359668361657,66641.58860811483,0.0,0.0,0.0,3307.4686081824434,0.0
66,1028.6526223479652,20.536914112438875,1.7286812721100837,5,0.5708142074107382,0.08846850788618461,65442.56980986081,0.0,0.0,0.0,2931.655841546586,0.0
67,1049.189536460404,22.265595384548966,1.0391765220687679,5,0.5708142074107382,0.09314948777287488,46634.39809277844,0.0,0.0,0.0,1926.9031662691946,0.0
68,1071.455131844953,23.30477190661778,0.4697312454573299,5,0.5708142074107382,0.09651389563936937,27651.4756504017,0.0,0.0,0.0,1091.5943610306535,0.0
69,1094.7599037515708,23.774503152075027,0.6384208027973375,4,0.5708142074107382,0.09854949893489749,34974.36312869717,0.0,0.0,0.0,1353.400063613656,0.0
70,1118.534406903646,24.412923954872408,0.23866862728784005,5,0.5708142074107382,0.1010977043539063,20326.40994493285,0.0,0.0,0.0,765.9998934951811,0.0
71,1142.9473308585184,24.65159258216022,0.0,5,0.5708142074107382,0.1026205530500516,11055.974466178066,0.0,0.0,0.0,412.61011737816466,0.0
72,1167.5989234406786,24.65159258216022,0.0,5,0.5708142074107382,0.10349447126268407,0.0,11054.182559473047,0.0,12282.425066081165,412.54324323349744,0.0
73,1192.2505160228388,24.65159258216022,0.0,5,0.5701318504626226,0.10349447126268407,11052.390652662269,0.0,0.0,0.0,412.47636908488323,0.0
74,1216.902108604999,24.65159258216022,-0.012350232971467978,5,0.5701318504626226,0.10436813860837044,10554.208129173006,0.0,0.0,0.0,393.8841454756953,0.0
75,1241.5537011871593,24.63924234918878,0.012350232971484854,5,0.5701318504626226,0.10520693317741255,11532.897616421667,0.0,0.0,0.0,430.6246781755149,0.0
76,1266.1929435363481,24.65159258216022,1.0851310249473156,5,0.5701318504626226,0.10611423601056207,54661.48437503657,0.0,0.0,0.0,2039.972284039219,0.0
77,1290.8445361185084,25.736723607107564,0.9002784967162787,5,0.5701318504626226,0.11004053991681463,49920.26369738376,0.0,0.0,0.0,1784.4789920699059,0.0
