key,value
"(1, 14, 1)",1
"(1, 14, 2)",1
"(1, 14, 3)",1
"(1, 14, 4)",1
"(1, 14, 5)",1
"(1, 14, 6)",1
"(1, 15, 1)",1
"(1, 15, 2)",1
"(1, 15, 3)",1
"(1, 15, 4)",1
"(1, 15, 5)",1
"(1, 15, 6)",1
"(1, 16, 1)",1
"(1, 16, 2)",1
"(1, 16, 3)",1
"(1, 16, 4)",1
"(1, 16, 5)",1
"(1, 16, 6)",1
"(1, 17, 1)",1
"(1, 17, 2)",1
"(1, 17, 3)",1
"(1, 17, 4)",1
"(1, 17, 5)",1
"(1, 17, 6)",1
"(1, 18, 1)",1
"(1, 18, 2)",1
"(1, 18, 3)",1
"(1, 18, 4)",1
"(1, 18, 5)",1
"(1, 18, 6)",1
"(1, 19, 1)",1
"(1, 19, 2)",1
"(1, 19, 3)",1
"(1, 19, 4)",1
"(1, 19, 5)",1
"(1, 19, 6)",1
"(1, 20, 1)",1
"(1, 20, 2)",1
"(1, 20, 3)",1
"(1, 20, 4)",1
"(1, 20, 5)",1
"(1, 20, 6)",1
"(1, 21, 1)",1
"(1, 21, 2)",1
"(1, 21, 3)",1
"(1, 21, 4)",1
"(1, 21, 5)",1
"(1, 21, 6)",1
"(1, 22, 1)",1
"(1, 22, 2)",1
"(1, 22, 3)",1
"(1, 22, 4)",1
"(1, 22, 5)",1
"(1, 22, 6)",1
"(1, 23, 1)",1
"(1, 23, 2)",1
"(1, 23, 3)",1
"(1, 23, 4)",1
"(1, 23, 5)",1
"(1, 23, 6)",1
"(1, 24, 1)",1
"(1, 24, 2)",1
"(1, 24, 3)",1
"(1, 24, 4)",1
"(1, 24, 5)",1
"(1, 24, 6)",1
"(1, 25, 1)",1
"(1, 25, 2)",1
"(1, 25, 3)",1
"(1, 25, 4)",1
"(1, 25, 5)",1
"(1, 25, 6)",1
"(1, 26, 1)",1
"(1, 26, 2)",1
"(1, 26, 3)",1
"(1, 26, 4)",1
"(1, 26, 5)",1
"(1, 26, 6)",1
"(1, 27, 1)",1
"(1, 27, 2)",1
"(1, 27, 3)",1
"(1, 27, 4)",1
"(1, 27, 5)",1
"(1, 27, 6)",1
"(1, 28, 1)",1
"(1, 28, 2)",1
"(1, 28, 3)",1
"(1, 28, 4)",1
"(1, 28, 5)",1
"(1, 28, 6)",1
"(1, 29, 1)",1
"(1, 29, 2)",1
"(1, 29, 3)",1
"(1, 29, 4)",1
"(1, 29, 5)",1
"(1, 29, 6)",1
"(1, 30, 1)",1
"(1, 30, 2)",1
"(1, 30, 3)",1
"(1, 30, 4)",1
"(1, 30, 5)",1
"(1, 30, 6)",1
"(1, 31, 1)",1
"(1, 31, 2)",1
"(1, 31, 3)",1
"(1, 31, 4)",1
"(1, 31, 5)",1
"(1, 31, 6)",1
"(1, 32, 1)",1
"(1, 32, 2)",1
"(1, 32, 3)",1
"(1, 32, 4)",1
"(1, 32, 5)",1
"(1, 32, 6)",1
"(1, 33, 1)",1
"(1, 33, 2)",1
"(1, 33, 3)",1
"(1, 33, 4)",1
"(1, 33, 5)",1
"(1, 33, 6)",1
