key,value
"(0, 1)",-30.0
"(1, 1)",-9.8
"(2, 1)",10.399999999999999
"(3, 1)",30.599999999999994
"(4, 1)",50.8
"(5, 1)",71.0
"(6, 1)",91.19999999999999
"(7, 1)",111.4
"(8, 1)",131.6
"(9, 1)",151.79999999999998
"(10, 1)",172.0
"(11, 1)",192.2
"(12, 1)",nan
"(13, 1)",nan
"(14, 1)",nan
"(15, 1)",nan
"(16, 1)",nan
"(17, 1)",nan
"(18, 1)",nan
"(19, 1)",nan
"(20, 1)",nan
"(21, 1)",nan
"(22, 1)",nan
"(23, 1)",434.59999999999997
"(24, 1)",454.79999999999995
"(25, 1)",475.0
"(26, 1)",495.19999999999993
"(27, 1)",515.4
"(28, 1)",535.6
"(29, 1)",555.8
"(30, 1)",576.0
"(31, 1)",nan
"(32, 1)",nan
"(33, 1)",nan
"(34, 1)",nan
"(35, 1)",nan
"(36, 1)",nan
"(37, 1)",nan
"(38, 1)",nan
"(39, 1)",nan
"(40, 1)",nan
"(41, 1)",nan
"(42, 1)",nan
"(43, 1)",nan
"(44, 1)",nan
"(45, 1)",nan
"(46, 1)",nan
"(47, 1)",nan
"(48, 1)",nan
"(49, 1)",nan
"(50, 1)",nan
"(51, 1)",nan
"(52, 1)",nan
"(53, 1)",nan
"(54, 1)",nan
"(55, 1)",nan
"(56, 1)",nan
"(57, 1)",nan
"(58, 1)",nan
"(59, 1)",nan
"(60, 1)",nan
"(0, 2)",-42.0
"(1, 2)",-19.6
"(2, 2)",2.799999999999997
"(3, 2)",25.19999999999999
"(4, 2)",47.599999999999994
"(5, 2)",70.0
"(6, 2)",92.39999999999998
"(7, 2)",114.79999999999998
"(8, 2)",137.2
"(9, 2)",159.6
"(10, 2)",182.0
"(11, 2)",nan
"(12, 2)",nan
"(13, 2)",nan
"(14, 2)",nan
"(15, 2)",nan
"(16, 2)",nan
"(17, 2)",nan
"(18, 2)",nan
"(19, 2)",nan
"(20, 2)",nan
"(21, 2)",428.4
"(22, 2)",450.79999999999995
"(23, 2)",473.19999999999993
"(24, 2)",495.5999999999999
"(25, 2)",518.0
"(26, 2)",540.4
"(27, 2)",562.8
"(28, 2)",nan
"(29, 2)",nan
"(30, 2)",nan
"(31, 2)",nan
"(32, 2)",nan
"(33, 2)",nan
"(34, 2)",719.5999999999999
"(35, 2)",742.0
"(36, 2)",764.4
"(37, 2)",786.8
"(38, 2)",809.1999999999999
"(39, 2)",831.5999999999999
"(40, 2)",854.0
"(41, 2)",876.4
"(42, 2)",898.8
"(43, 2)",921.1999999999999
"(44, 2)",943.5999999999999
"(45, 2)",965.9999999999999
"(46, 2)",988.3999999999999
"(47, 2)",1010.8
"(48, 2)",1033.1999999999998
"(49, 2)",1055.6
"(50, 2)",1078.0
"(51, 2)",1100.3999999999999
"(52, 2)",1122.8
"(53, 2)",1145.1999999999998
"(54, 2)",1167.6
"(55, 2)",1190.0
"(56, 2)",1212.3999999999999
"(57, 2)",1234.8
"(58, 2)",1257.1999999999998
"(59, 2)",1279.6
"(60, 2)",1302.0
"(0, 3)",-54.0
"(1, 3)",-29.4
"(2, 3)",-4.799999999999997
"(3, 3)",19.80000000000001
"(4, 3)",44.400000000000006
"(5, 3)",69.0
"(6, 3)",93.60000000000002
"(7, 3)",118.20000000000002
"(8, 3)",142.8
"(9, 3)",167.4
"(10, 3)",192.0
"(11, 3)",nan
"(12, 3)",nan
"(13, 3)",nan
"(14, 3)",nan
"(15, 3)",nan
"(16, 3)",nan
"(17, 3)",nan
"(18, 3)",nan
"(19, 3)",nan
"(20, 3)",438.0
"(21, 3)",462.6
"(22, 3)",487.20000000000005
"(23, 3)",511.80000000000007
"(24, 3)",536.4000000000001
"(25, 3)",561.0
"(26, 3)",nan
"(27, 3)",nan
"(28, 3)",nan
"(29, 3)",nan
"(30, 3)",nan
"(31, 3)",708.6
"(32, 3)",733.2
"(33, 3)",757.8000000000001
"(34, 3)",782.4000000000001
"(35, 3)",807.0
"(36, 3)",831.6
