key,value
"(0, 1)",18.7
"(1, 1)",18.7
"(2, 1)",18.7
"(3, 1)",18.7
"(4, 1)",18.7
"(5, 1)",18.7
"(6, 1)",18.7
"(7, 1)",18.7
"(8, 1)",18.7
"(9, 1)",nan
"(10, 1)",nan
"(11, 1)",nan
"(12, 1)",nan
"(13, 1)",nan
"(14, 1)",nan
"(15, 1)",nan
"(16, 1)",nan
"(17, 1)",nan
"(18, 1)",nan
"(19, 1)",nan
"(20, 1)",18.7
"(21, 1)",18.7
"(22, 1)",18.7
"(23, 1)",18.7
"(24, 1)",18.7
"(25, 1)",18.7
"(26, 1)",18.7
"(27, 1)",18.7
"(28, 1)",18.7
"(29, 1)",nan
"(30, 1)",nan
"(31, 1)",nan
"(32, 1)",nan
"(33, 1)",nan
"(34, 1)",nan
"(35, 1)",nan
"(36, 1)",18.7
"(37, 1)",18.7
"(38, 1)",18.7
"(39, 1)",18.7
"(40, 1)",18.7
"(41, 1)",18.7
"(42, 1)",18.7
"(43, 1)",18.7
"(44, 1)",18.7
"(45, 1)",18.7
"(46, 1)",18.7
"(47, 1)",18.7
"(48, 1)",18.7
"(49, 1)",18.7
"(50, 1)",18.7
"(51, 1)",18.7
"(52, 1)",18.7
"(53, 1)",18.7
"(54, 1)",18.7
"(55, 1)",18.7
"(56, 1)",18.7
"(57, 1)",18.7
"(58, 1)",18.7
"(59, 1)",18.7
"(60, 1)",18.7
"(0, 2)",21.4
"(1, 2)",21.4
"(2, 2)",21.4
"(3, 2)",21.4
"(4, 2)",21.4
"(5, 2)",21.4
"(6, 2)",21.4
"(7, 2)",nan
"(8, 2)",nan
"(9, 2)",nan
"(10, 2)",nan
"(11, 2)",nan
"(12, 2)",nan
"(13, 2)",nan
"(14, 2)",nan
"(15, 2)",nan
"(16, 2)",nan
"(17, 2)",21.4
"(18, 2)",21.4
"(19, 2)",21.4
"(20, 2)",21.4
"(21, 2)",21.4
"(22, 2)",21.4
"(23, 2)",21.4
"(24, 2)",nan
"(25, 2)",nan
"(26, 2)",nan
"(27, 2)",nan
"(28, 2)",nan
"(29, 2)",nan
"(30, 2)",21.4
"(31, 2)",21.4
"(32, 2)",21.4
"(33, 2)",21.4
"(34, 2)",21.4
"(35, 2)",21.4
"(36, 2)",21.4
"(37, 2)",21.4
"(38, 2)",21.4
"(39, 2)",21.4
"(40, 2)",21.4
"(41, 2)",21.4
"(42, 2)",21.4
"(43, 2)",21.4
"(44, 2)",21.4
"(45, 2)",21.4
"(46, 2)",21.4
"(47, 2)",21.4
"(48, 2)",21.4
"(49, 2)",21.4
"(50, 2)",21.4
"(51, 2)",21.4
"(52, 2)",21.4
"(53, 2)",21.4
"(54, 2)",21.4
"(55, 2)",21.4
"(56, 2)",21.4
"(57, 2)",21.4
"(58, 2)",21.4
"(59, 2)",21.4
"(60, 2)",21.4
"(0, 3)",24.1
"(1, 3)",24.1
"(2, 3)",24.1
"(3, 3)",24.1
"(4, 3)",24.1
"(5, 3)",nan
"(6, 3)",nan
"(7, 3)",nan
"(8, 3)",nan
"(9, 3)",nan
"(10, 3)",nan
"(11, 3)",nan
"(12, 3)",nan
"(13, 3)",nan
"(14, 3)",nan
"(15, 3)",24.1
"(16, 3)",24.1
"(17, 3)",24.1
"(18, 3)",24.1
"(19, 3)",24.1
"(20, 3)",24.1
"(21, 3)",nan
"(22, 3)",nan
"(23, 3)",nan
"(24, 3)",nan
"(25, 3)",nan
"(26, 3)",24.1
"(27, 3)",24.1
"(28, 3)",24.1
"(29, 3)",24.1
"(30, 3)",24.1
"(31, 3)",24.1
"(32, 3)",24.1
"(33, 3)",24.1
"(34, 3)",24.1
"(35, 3)",24.1
"(36, 3)",24.1
"(37, 3)",24.1
"(38, 3)",24.1
"(39, 3)",24.1
"(40, 3)",24.1
"(41, 3)",24.1
"(42, 3)",24.1
"(43, 3)",24.1
"(44, 3)",24.1
"(45, 3)",24.1
"(46, 3)",24.1
"(47, 3)",24.1
"(48, 3)",24.1
"(49, 3)",24.1
"(50, 3)",24.1
"(51, 3)",24.1
"(52, 3)",24.1
"(53, 3)",24.1
"(54, 3)",24.1
"(55, 3)",24.1
"(56, 3)",24.1
"(57, 3)",24.1
"(58, 3)",24.1
"(59, 3)",24.1
"(60, 3)",24.1
"(0, 4)",26.8
"(1, 4)",26.8
"(2, 4)",26.8
"(3, 4)",26.8
"(4, 4)",nan
"(5, 4)",nan
"(6, 4)",nan
"(7, 4)",nan
"(8, 4)",nan
"(9, 4)",nan
"(10, 4)",nan
"(11, 4)",nan
"(12, 4)",nan
"(13, 4)",26.8
"(14, 4)",26.8
"(15, 4)",26.8
"(16, 4)",26.8
"(17, 4)",26.8
"(18, 4)",26.8
"(19, 4)",nan
"(20, 4)",nan
"(21, 4)",nan
"(22, 4)",nan
"(23, 4)",26.8
"(24, 4)",26.8
"(25, 4)",26.8
"(26, 4)",26.8
"(27, 4)",26.8
"(28, 4)",26.8
"(29, 4)",26.8
"(30, 4)",26.8
"(31, 4)",26.8
"(32, 4)",26.8
"(33, 4)",26.8
"(34, 4)",26.8
"(35, 4)",26.8
"(36, 4)",26.8
"(37, 4)",26.8
"(38, 4)",26.8
"(39, 4)",26.8
"(40, 4)",26.8
"(41, 4)",26.8
"(42, 4)",26.8
"(43, 4)",26.8
"(44, 4)",26.8
"(45, 4)",26.8
"(46, 4)",26.8
"(47, 4)",26.8
"(48, 4)",26.8
"(49, 4)",26.8
"(50, 4)",26.8
"(51, 4)",26.8
"(52, 4)",26.8
"(53, 4)",26.8
"(54, 4)",26.8
"(55, 4)",26.8
"(56, 4)",26.8
"(57, 4)",26.8
"(58, 4)",26.8
"(59, 4)",26.8
"(60, 4)",26.8
"(0, 5)",29.5
"(1, 5)",29.5
"(2, 5)",29.5
"(3, 5)",29.5
"(4, 5)",nan
"(5, 5)",nan
"(6, 5)",nan
"(7, 5)",nan
"(8, 5)",nan
