key,value
"(0, 1)",20.2
"(1, 1)",20.2
"(2, 1)",20.2
"(3, 1)",20.2
"(4, 1)",20.2
"(5, 1)",20.2
"(6, 1)",20.2
"(7, 1)",20.2
"(8, 1)",20.2
"(9, 1)",20.2
"(10, 1)",20.2
"(11, 1)",20.2
"(12, 1)",nan
"(13, 1)",nan
"(14, 1)",nan
"(15, 1)",nan
"(16, 1)",nan
"(17, 1)",nan
"(18, 1)",nan
"(19, 1)",nan
"(20, 1)",nan
"(21, 1)",nan
"(22, 1)",nan
"(23, 1)",20.2
"(24, 1)",20.2
"(25, 1)",20.2
"(26, 1)",20.2
"(27, 1)",20.2
"(28, 1)",20.2
"(29, 1)",20.2
"(30, 1)",20.2
"(31, 1)",nan
"(32, 1)",nan
"(33, 1)",nan
"(34, 1)",nan
"(35, 1)",nan
"(36, 1)",nan
"(37, 1)",nan
"(38, 1)",nan
"(39, 1)",nan
"(40, 1)",nan
"(41, 1)",nan
"(42, 1)",nan
"(43, 1)",nan
"(44, 1)",nan
"(45, 1)",nan
"(46, 1)",nan
"(47, 1)",nan
"(48, 1)",nan
"(49, 1)",nan
"(50, 1)",nan
"(51, 1)",nan
"(52, 1)",nan
"(53, 1)",nan
"(54, 1)",nan
"(55, 1)",nan
"(56, 1)",nan
"(57, 1)",nan
"(58, 1)",nan
"(59, 1)",nan
"(60, 1)",nan
"(0, 2)",22.4
"(1, 2)",22.4
"(2, 2)",22.4
"(3, 2)",22.4
"(4, 2)",22.4
"(5, 2)",22.4
"(6, 2)",22.4
"(7, 2)",22.4
"(8, 2)",22.4
"(9, 2)",22.4
"(10, 2)",22.4
"(11, 2)",nan
"(12, 2)",nan
"(13, 2)",nan
"(14, 2)",nan
"(15, 2)",nan
"(16, 2)",nan
"(17, 2)",nan
"(18, 2)",nan
"(19, 2)",nan
"(20, 2)",nan
"(21, 2)",22.4
"(22, 2)",22.4
"(23, 2)",22.4
"(24, 2)",22.4
"(25, 2)",22.4
"(26, 2)",22.4
"(27, 2)",22.4
"(28, 2)",nan
"(29, 2)",nan
"(30, 2)",nan
"(31, 2)",nan
"(32, 2)",nan
"(33, 2)",nan
"(34, 2)",22.4
"(35, 2)",22.4
"(36, 2)",22.4
"(37, 2)",22.4
"(38, 2)",22.4
"(39, 2)",22.4
"(40, 2)",22.4
"(41, 2)",22.4
"(42, 2)",22.4
"(43, 2)",22.4
"(44, 2)",22.4
"(45, 2)",22.4
"(46, 2)",22.4
"(47, 2)",22.4
"(48, 2)",22.4
"(49, 2)",22.4
"(50, 2)",22.4
"(51, 2)",22.4
"(52, 2)",22.4
"(53, 2)",22.4
"(54, 2)",22.4
"(55, 2)",22.4
"(56, 2)",22.4
"(57, 2)",22.4
"(58, 2)",22.4
"(59, 2)",22.4
"(60, 2)",22.4
"(0, 3)",24.6
"(1, 3)",24.6
"(2, 3)",24.6
"(3, 3)",24.6
"(4, 3)",24.6
"(5, 3)",24.6
"(6, 3)",24.6
"(7, 3)",24.6
"(8, 3)",24.6
"(9, 3)",24.6
"(10, 3)",24.6
"(11, 3)",nan
"(12, 3)",nan
"(13, 3)",nan
"(14, 3)",nan
"(15, 3)",nan
"(16, 3)",nan
"(17, 3)",nan
"(18, 3)",nan
"(19, 3)",nan
"(20, 3)",24.6
"(21, 3)",24.6
"(22, 3)",24.6
"(23, 3)",24.6
"(24, 3)",24.6
"(25, 3)",24.6
"(26, 3)",nan
"(27, 3)",nan
"(28, 3)",nan
"(29, 3)",nan
"(30, 3)",nan
"(31, 3)",24.6
"(32, 3)",24.6
"(33, 3)",24.6
"(34, 3)",24.6
"(35, 3)",24.6
"(36, 3)",24.6
"(37, 3)",24.6
"(38, 3)",24.6
"(39, 3)",24.6
"(40, 3)",24.6
"(41, 3)",24.6
"(42, 3)",24.6
"(43, 3)",24.6
"(44, 3)",24.6
"(45, 3)",24.6
"(46, 3)",24.6
"(47, 3)",24.6
"(48, 3)",24.6
"(49, 3)",24.6
"(50, 3)",24.6
"(51, 3)",24.6
"(52, 3)",24.6
"(53, 3)",24.6
"(54, 3)",24.6
"(55, 3)",24.6
"(56, 3)",24.6
"(57, 3)",24.6
"(58, 3)",24.6
"(59, 3)",24.6
"(60, 3)",24.6
"(0, 4)",26.8
"(1, 4)",26.8
"(2, 4)",26.8
"(3, 4)",26.8
"(4, 4)",26.8
"(5, 4)",26.8
"(6, 4)",26.8
"(7, 4)",26.8
"(8, 4)",26.8
"(9, 4)",26.8
"(10, 4)",nan
"(11, 4)",nan
"(12, 4)",nan
"(13, 4)",nan
"(14, 4)",nan
"(15, 4)",nan
"(16, 4)",nan
"(17, 4)",nan
"(18, 4)",nan
"(19, 4)",26.8
"(20, 4)",26.8
"(21, 4)",26.8
"(22, 4)",26.8
"(23, 4)",26.8
"(24, 4)",26.8
"(25, 4)",nan
"(26, 4)",nan
"(27, 4)",nan
"(28, 4)",nan
"(29, 4)",26.8
"(30, 4)",26.8
"(31, 4)",26.8
"(32, 4)",26.8
"(33, 4)",26.8
"(34, 4)",26.8
"(35, 4)",26.8
"(36, 4)",26.8
"(37, 4)",26.8
"(38, 4)",26.8
"(39, 4)",26.8
"(40, 4)",26.8
"(41, 4)",26.8
"(42, 4)",26.8
"(43, 4)",26.8
"(44, 4)",26.8
"(45, 4)",26.8
"(46, 4)",26.8
"(47, 4)",26.8
"(48, 4)",26.8
"(49, 4)",26.8
"(50, 4)",26.8
"(51, 4)",26.8
"(52, 4)",26.8
"(53, 4)",26.8
"(54, 4)",26.8
"(55, 4)",26.8
"(56, 4)",26.8
"(57, 4)",26.8
"(58, 4)",26.8
"(59, 4)",26.8
"(60, 4)",26.8
"(0, 5)",29.0
"(1, 5)",29.0
"(2, 5)",29.0
"(3, 5)",29.0
"(4, 5)",29.0
"(5, 5)",29.0
"(6, 5)",29.0
"(7, 5)",29.0
"(8, 5)",29.0
"(9, 5)",29.0
"(10, 5)",nan
"(11, 5)",nan
"(12, 5)",nan
"(13, 5)",nan
"(14, 5)",nan
"(15, 5)",nan
"(16, 5)",nan
"(17, 5)",nan
"(18, 5)",29.0
"(19, 5)",29.0
"(20, 5)",29.0
"(21, 5)",29.0
"(22, 5)",29.0
"(23, 5)",nan
"(24, 5)",nan
"(25, 5)",nan
"(26, 5)",nan
"(27, 5)",nan
"(28, 5)",29.0
"(29, 5)",29.0
"(30, 5)",29.0
"(31, 5)",29.0
"(32, 5)",29.0
"(33, 5)",29.0
"(34, 5)",29.0
"(35, 5)",29.0
"(36, 5)",29.0
"(37, 5)",29.0
"(38, 5)",29.0
"(39, 5)",29.0
"(40, 5)",29.0
"(41, 5)",29.0
"(42, 5)",29.0
"(43, 5)",29.0
"(44, 5)",29.0
"(45, 5)",29.0
"(46, 5)",29.0
"(47, 5)",29.0
"(48, 5)",29.0
"(49, 5)",29.0
"(50, 5)",29.0
"(51, 5)",29.0
"(52, 5)",29.0
"(53, 5)",29.0
"(54, 5)",29.0
"(55, 5)",29.0
"(56, 5)",29.0
"(57, 5)",29.0
"(58, 5)",29.0
"(59, 5)",29.0
"(60, 5)",29.0
"(0, 6)",31.200000000000003
"(1, 6)",31.200000000000003
"(2, 6)",31.200000000000003
"(3, 6)",31.200000000000003
"(4, 6)",31.200000000000003
"(5, 6)",31.200000000000003
"(6, 6)",31.200000000000003
"(7, 6)",31.200000000000003
"(8, 6)",31.200000000000003
"(9, 6)",31.200000000000003
"(10, 6)",nan
"(11, 6)",nan
"(12, 6)",nan
"(13, 6)",nan
"(14, 6)",nan
"(15, 6)",nan
"(16, 6)",nan
"(17, 6)",31.200000000000003
"(18, 6)",31.200000000000003
"(19, 6)",31.200000000000003
"(20, 6)",31.200000000000003
"(21, 6)",31.200000000000003
"(22, 6)",nan
"(23, 6)",nan
"(24, 6)",nan
"(25, 6)",nan
"(26, 6)",31.200000000000003
"(27, 6)",31.200000000000003
"(28, 6)",31.200000000000003
"(29, 6)",31.200000000000003
"(30, 6)",31.200000000000003
"(31, 6)",nan
"(32, 6)",nan
"(33, 6)",nan
"(34, 6)",nan
"(35, 6)",nan
"(36, 6)",nan
