key,value
"(0, 1)",18.60162799099197
"(0, 2)",20.769556819652035
"(0, 3)",22.94574262572656
"(0, 4)",25.1981163479649
"(0, 5)",26.15813935809181
"(0, 6)",28.194587507447526
"(1, 1)",18.60162799099197
"(1, 2)",20.769556819652035
"(1, 3)",22.94574262572656
"(1, 4)",25.1981163479649
"(1, 5)",26.15813935809181
"(1, 6)",28.194587507447526
"(2, 1)",18.60162799099197
"(2, 2)",20.769556819652035
"(2, 3)",22.94574262572656
"(2, 4)",25.1981163479649
"(2, 5)",26.15813935809181
"(2, 6)",28.194587507447526
"(3, 1)",18.60162799099197
"(3, 2)",20.769556819652035
"(3, 3)",22.94574262572656
"(3, 4)",25.1981163479649
"(3, 5)",26.15813935809181
"(3, 6)",28.194587507447526
"(4, 1)",18.60162799099197
"(4, 2)",20.769556819652035
"(4, 3)",22.94574262572656
"(4, 4)",25.1981163479649
"(4, 5)",26.15813935809181
"(4, 6)",28.194587507447526
"(5, 1)",18.60162799099197
"(5, 2)",20.769556819652035
"(5, 3)",22.94574262572656
"(5, 4)",25.1981163479649
"(5, 5)",26.15813935809181
"(5, 6)",28.194587507447526
"(6, 1)",18.60162799099197
"(6, 2)",20.769556819652035
"(6, 3)",22.94574262572656
"(6, 4)",25.1981163479649
"(6, 5)",26.15813935809181
"(6, 6)",28.194587507447526
"(7, 1)",18.60162799099197
"(7, 2)",20.769556819652035
"(7, 3)",22.94574262572656
"(7, 4)",25.1981163479649
"(7, 5)",26.15813935809181
"(7, 6)",28.194587507447526
"(8, 1)",18.60162799099197
"(8, 2)",20.769556819652035
"(8, 3)",22.94574262572656
"(8, 4)",25.1981163479649
"(8, 5)",26.15813935809181
"(8, 6)",28.194587507447526
"(9, 1)",18.60162799099197
"(9, 2)",20.769556819652035
"(9, 3)",22.94574262572656
"(9, 4)",25.1981163479649
"(9, 5)",26.15813935809181
"(9, 6)",28.194587507447526
"(10, 1)",18.60162799099197
"(10, 2)",20.769556819652035
"(10, 3)",22.94574262572656
"(10, 4)",25.1981163479649
"(10, 5)",26.15813935809181
"(10, 6)",28.194587507447526
"(11, 1)",18.60162799099197
"(11, 2)",20.769556819652035
"(11, 3)",22.94574262572656
"(11, 4)",25.1981163479649
"(11, 5)",26.15813935809181
"(11, 6)",28.194587507447526
"(12, 1)",18.60162799099197
"(12, 2)",20.769556819652035
"(12, 3)",22.94574262572656
"(12, 4)",25.1981163479649
"(12, 5)",26.15813935809181
"(12, 6)",28.194587507447526
"(13, 1)",18.60162799099197
"(13, 2)",20.769556819652035
"(13, 3)",22.94574262572656
"(13, 4)",25.1981163479649
"(13, 5)",26.15813935809181
"(13, 6)",28.194587507447526
"(14, 1)",18.60162799099197
"(14, 2)",20.769556819652035
"(14, 3)",22.94574262572656
"(14, 4)",25.1981163479649
"(14, 5)",26.15813935809181
"(14, 6)",28.194587507447526
"(15, 1)",18.60162799099197
"(15, 2)",20.769556819652035
"(15, 3)",22.94574262572656
"(15, 4)",25.1981163479649
"(15, 5)",26.15813935809181
"(15, 6)",28.194587507447526
"(16, 1)",18.60162799099197
"(16, 2)",20.769556819652035
"(16, 3)",22.94574262572656
"(16, 4)",25.1981163479649
"(16, 5)",22.81341114188606
"(16, 6)",28.194587507447526
"(17, 1)",18.60162799099197
"(17, 2)",20.769556819652035
"(17, 3)",22.94574262572656
"(17, 4)",25.1981163479649
"(17, 5)",22.81341114188606
"(17, 6)",28.194587507447526
"(18, 1)",18.60162799099197
"(18, 2)",20.769556819652035
"(18, 3)",22.94574262572656
"(18, 4)",25.1981163479649
"(18, 5)",22.81341114188606
"(18, 6)",28.194587507447526
"(19, 1)",18.60162799099197
"(19, 2)",20.769556819652035
"(19, 3)",22.94574262572656
"(19, 4)",25.1981163479649
"(19, 5)",22.81341114188606
"(19, 6)",28.194587507447526
"(20, 1)",18.60162799099197
"(20, 2)",20.769556819652035
"(20, 3)",22.94574262572656
"(20, 4)",25.1981163479649
"(20, 5)",22.81341114188606
