key,value
"(1, 22, 1)",1
"(1, 22, 2)",1
"(1, 22, 3)",1
"(1, 22, 4)",1
"(1, 23, 1)",1
"(1, 23, 2)",1
"(1, 23, 3)",1
"(1, 23, 4)",1
"(1, 24, 1)",1
"(1, 24, 2)",1
"(1, 24, 3)",1
"(1, 24, 4)",1
"(1, 25, 1)",1
"(1, 25, 2)",1
"(1, 25, 3)",1
"(1, 25, 4)",1
"(1, 26, 1)",1
"(1, 26, 2)",1
"(1, 26, 3)",1
"(1, 26, 4)",1
"(1, 27, 1)",1
"(1, 27, 2)",1
"(1, 27, 3)",1
"(1, 27, 4)",1
"(1, 28, 1)",1
"(1, 28, 2)",1
"(1, 28, 3)",1
"(1, 28, 4)",1
"(1, 29, 1)",1
"(1, 29, 2)",1
"(1, 29, 3)",1
"(1, 29, 4)",1
"(1, 30, 1)",1
"(1, 30, 2)",1
"(1, 30, 3)",1
"(1, 30, 4)",1
"(1, 31, 1)",1
"(1, 31, 2)",1
"(1, 31, 3)",1
"(1, 31, 4)",1
"(1, 32, 1)",1
"(1, 32, 2)",1
"(1, 32, 3)",1
"(1, 32, 4)",1
"(1, 33, 1)",1
"(1, 33, 2)",1
"(1, 33, 3)",1
"(1, 33, 4)",1
"(1, 34, 1)",1
"(1, 34, 2)",1
"(1, 34, 3)",1
"(1, 34, 4)",1
"(1, 35, 1)",1
"(1, 35, 2)",1
"(1, 35, 3)",1
"(1, 35, 4)",1
"(1, 36, 1)",1
"(1, 36, 2)",1
"(1, 36, 3)",1
"(1, 36, 4)",1
"(1, 37, 1)",1
"(1, 37, 2)",1
"(1, 37, 3)",1
"(1, 37, 4)",1
"(1, 38, 1)",1
"(1, 38, 2)",1
"(1, 38, 3)",1
"(1, 38, 4)",1
"(1, 39, 1)",1
"(1, 39, 2)",1
"(1, 39, 3)",1
"(1, 39, 4)",1
"(1, 40, 1)",1
"(1, 40, 2)",1
"(1, 40, 3)",1
"(1, 40, 4)",1
"(2, 36, 1)",1
"(2, 36, 2)",1
"(2, 36, 3)",1
"(2, 36, 4)",1
"(2, 37, 1)",1
"(2, 37, 2)",1
"(2, 37, 3)",1
"(2, 37, 4)",1
"(2, 38, 1)",1
"(2, 38, 2)",1
"(2, 38, 3)",1
"(2, 38, 4)",1
"(2, 39, 1)",1
"(2, 39, 2)",1
"(2, 39, 3)",1
"(2, 39, 4)",1
"(2, 40, 1)",1
"(2, 40, 2)",1
"(2, 40, 3)",1
"(2, 40, 4)",1
"(2, 41, 1)",1
"(2, 41, 2)",1
"(2, 41, 3)",1
"(2, 41, 4)",1
"(2, 42, 1)",1
"(2, 42, 2)",1
"(2, 42, 3)",1
"(2, 42, 4)",1
"(2, 43, 1)",1
"(2, 43, 2)",1
"(2, 43, 3)",1
"(2, 43, 4)",1
"(2, 44, 1)",1
"(2, 44, 2)",1
"(2, 44, 3)",1
"(2, 44, 4)",1
"(2, 45, 1)",1
"(2, 45, 2)",1
"(2, 45, 3)",1
"(2, 45, 4)",1
"(2, 46, 1)",1
"(2, 46, 2)",1
"(2, 46, 3)",1
"(2, 46, 4)",1
"(2, 47, 1)",1
"(2, 47, 2)",1
"(2, 47, 3)",1
"(2, 47, 4)",1
"(2, 48, 1)",1
"(2, 48, 2)",1
"(2, 48, 3)",1
"(2, 48, 4)",1
"(2, 49, 1)",1
"(2, 49, 2)",1
"(2, 49, 3)",1
"(2, 49, 4)",1
"(2, 50, 1)",1
"(2, 50, 2)",1
"(2, 50, 3)",1
"(2, 50, 4)",1
"(2, 51, 1)",1
"(2, 51, 2)",1
"(2, 51, 3)",1
"(2, 51, 4)",1
"(2, 52, 1)",1
"(2, 52, 2)",1
"(2, 52, 3)",1
"(2, 52, 4)",1
"(2, 53, 1)",1
"(2, 53, 2)",1
"(2, 53, 3)",1
"(2, 53, 4)",1
"(2, 54, 1)",1
"(2, 54, 2)",1
"(2, 54, 3)",1
"(2, 54, 4)",1
