key,value
"(0, 1)",90.0
"(1, 1)",111.5
"(2, 1)",133.0
"(3, 1)",154.5
"(4, 1)",176.0
"(5, 1)",197.5
"(6, 1)",219.0
"(7, 1)",nan
"(8, 1)",nan
"(9, 1)",nan
"(10, 1)",nan
"(11, 1)",nan
"(12, 1)",nan
"(13, 1)",369.5
"(14, 1)",391.0
"(15, 1)",nan
"(16, 1)",nan
"(17, 1)",nan
"(18, 1)",nan
"(19, 1)",nan
"(20, 1)",nan
"(21, 1)",nan
"(22, 1)",nan
"(23, 1)",nan
"(24, 1)",nan
"(25, 1)",627.5
"(26, 1)",649.0
"(27, 1)",nan
"(28, 1)",nan
"(29, 1)",nan
"(30, 1)",nan
"(31, 1)",nan
"(32, 1)",nan
"(33, 1)",nan
"(34, 1)",nan
"(35, 1)",nan
"(36, 1)",nan
"(37, 1)",nan
"(38, 1)",907.0
"(39, 1)",928.5
"(40, 1)",950.0
"(41, 1)",971.5
"(42, 1)",993.0
"(43, 1)",1014.5
"(44, 1)",1036.0
"(45, 1)",1057.5
"(46, 1)",1079.0
"(47, 1)",1100.5
"(48, 1)",1122.0
"(49, 1)",1143.5
"(50, 1)",1165.0
"(51, 1)",1186.5
"(52, 1)",1208.0
"(53, 1)",1229.5
"(54, 1)",1251.0
"(55, 1)",1272.5
"(56, 1)",1294.0
"(57, 1)",1315.5
"(58, 1)",1337.0
"(59, 1)",1358.5
"(60, 1)",1380.0
"(61, 1)",nan
"(62, 1)",nan
"(63, 1)",nan
"(64, 1)",1466.0
"(65, 1)",1487.5
"(66, 1)",1509.0
"(67, 1)",1530.5
"(68, 1)",1552.0
"(69, 1)",1573.5
"(70, 1)",1595.0
"(71, 1)",1616.5
"(72, 1)",1638.0
"(73, 1)",1659.5
"(74, 1)",1681.0
"(75, 1)",1702.5
"(76, 1)",1724.0
"(77, 1)",1745.5
"(78, 1)",1767.0
"(79, 1)",1788.5
"(80, 1)",1810.0
"(81, 1)",1831.5
"(82, 1)",1853.0
"(0, 2)",110.0
"(1, 2)",134.0
"(2, 2)",158.0
"(3, 2)",182.0
"(4, 2)",206.0
"(5, 2)",230.0
"(6, 2)",nan
"(7, 2)",nan
"(8, 2)",nan
"(9, 2)",nan
"(10, 2)",nan
"(11, 2)",374.0
"(12, 2)",398.0
"(13, 2)",nan
"(14, 2)",nan
"(15, 2)",nan
"(16, 2)",nan
"(17, 2)",nan
"(18, 2)",nan
"(19, 2)",nan
"(20, 2)",nan
"(21, 2)",nan
"(22, 2)",638.0
"(23, 2)",662.0
"(24, 2)",nan
"(25, 2)",nan
"(26, 2)",nan
"(27, 2)",nan
"(28, 2)",nan
"(29, 2)",nan
"(30, 2)",nan
"(31, 2)",nan
"(32, 2)",nan
"(33, 2)",902.0
"(34, 2)",926.0
"(35, 2)",950.0
"(36, 2)",974.0
"(37, 2)",998.0
"(38, 2)",1022.0
"(39, 2)",1046.0
"(40, 2)",1070.0
"(41, 2)",1094.0
"(42, 2)",1118.0
"(43, 2)",1142.0
"(44, 2)",1166.0
"(45, 2)",1190.0
"(46, 2)",1214.0
"(47, 2)",1238.0
"(48, 2)",1262.0
"(49, 2)",1286.0
"(50, 2)",1310.0
"(51, 2)",1334.0
"(52, 2)",1358.0
"(53, 2)",1382.0
"(54, 2)",1406.0
"(55, 2)",1430.0
"(56, 2)",1454.0
"(57, 2)",1478.0
"(58, 2)",1502.0
"(59, 2)",1526.0
"(60, 2)",1550.0
"(61, 2)",nan
"(62, 2)",nan
"(63, 2)",nan
"(64, 2)",1646.0
"(65, 2)",1670.0
"(66, 2)",1694.0
"(67, 2)",1718.0
"(68, 2)",1742.0
"(69, 2)",1766.0
"(70, 2)",1790.0
"(71, 2)",1814.0
"(72, 2)",1838.0
"(73, 2)",1862.0
"(74, 2)",1886.0
"(75, 2)",1910.0
"(76, 2)",1934.0
"(77, 2)",1958.0
"(78, 2)",1982.0
"(79, 2)",2006.0
"(80, 2)",2030.0
"(81, 2)",2054.0
"(82, 2)",2078.0
"(0, 3)",130.0
"(1, 3)",156.5
"(2, 3)",183.0
"(3, 3)",209.5
"(4, 3)",nan
"(5, 3)",nan
"(6, 3)",nan
"(7, 3)",nan
"(8, 3)",nan
"(9, 3)",368.5
"(10, 3)",395.0
"(11, 3)",nan
"(12, 3)",nan
"(13, 3)",nan
"(14, 3)",nan
"(15, 3)",nan
"(16, 3)",nan
"(17, 3)",nan
"(18, 3)",nan
"(19, 3)",633.5
"(20, 3)",660.0
"(21, 3)",nan
"(22, 3)",nan
"(23, 3)",nan
"(24, 3)",nan
"(25, 3)",nan
"(26, 3)",nan
"(27, 3)",nan
"(28, 3)",nan
"(29, 3)",898.5
"(30, 3)",925.0
"(31, 3)",951.5
"(32, 3)",978.0
"(33, 3)",1004.5
"(34, 3)",1031.0
"(35, 3)",1057.5
"(36, 3)",1084.0
"(37, 3)",1110.5
"(38, 3)",1137.0
"(39, 3)",1163.5
"(40, 3)",1190.0
"(41, 3)",1216.5
"(42, 3)",1243.0
"(43, 3)",1269.5
"(44, 3)",1296.0
"(45, 3)",1322.5
"(46, 3)",1349.0
"(47, 3)",1375.5
"(48, 3)",1402.0
"(49, 3)",1428.5
"(50, 3)",1455.0
"(51, 3)",1481.5
"(52, 3)",1508.0
"(53, 3)",1534.5
"(54, 3)",1561.0
"(55, 3)",1587.5
"(56, 3)",1614.0
"(57, 3)",1640.5
"(58, 3)",1667.0
"(59, 3)",1693.5
"(60, 3)",1720.0
"(61, 3)",nan
"(62, 3)",nan
"(63, 3)",nan
"(64, 3)",1826.0
"(65, 3)",1852.5
"(66, 3)",1879.0
"(67, 3)",1905.5
"(68, 3)",1932.0
"(69, 3)",1958.5
"(70, 3)",1985.0
"(71, 3)",2011.5
"(72, 3)",2038.0
"(73, 3)",2064.5
"(74, 3)",2091.0
"(75, 3)",2117.5
"(76, 3)",2144.0
"(77, 3)",2170.5
"(78, 3)",2197.0
"(79, 3)",2223.5
"(80, 3)",2250.0
"(81, 3)",2276.5
"(82, 3)",2303.0
"(0, 4)",150.0
"(1, 4)",179.0
"(2, 4)",208.0
"(3, 4)",nan
"(4, 4)",nan
"(5, 4)",nan
"(6, 4)",nan
"(7, 4)",nan
"(8, 4)",382.0
"(9, 4)",nan
"(10, 4)",nan
"(11, 4)",nan
"(12, 4)",nan
"(13, 4)",nan
"(14, 4)",nan
"(15, 4)",nan
"(16, 4)",nan
"(17, 4)",643.0
"(18, 4)",nan
"(19, 4)",nan
"(20, 4)",nan
"(21, 4)",nan
"(22, 4)",nan
"(23, 4)",nan
"(24, 4)",nan
"(25, 4)",nan
"(26, 4)",904.0
"(27, 4)",933.0
"(28, 4)",962.0
"(29, 4)",991.0
"(30, 4)",1020.0
"(31, 4)",1049.0
"(32, 4)",1078.0
"(33, 4)",1107.0
"(34, 4)",1136.0
"(35, 4)",1165.0
"(36, 4)",1194.0
"(37, 4)",1223.0
"(38, 4)",1252.0
"(39, 4)",1281.0
"(40, 4)",1310.0
"(41, 4)",1339.0
"(42, 4)",1368.0
"(43, 4)",1397.0
"(44, 4)",1426.0
"(45, 4)",1455.0
"(46, 4)",1484.0
"(47, 4)",1513.0
"(48, 4)",1542.0
"(49, 4)",1571.0
"(50, 4)",1600.0
"(51, 4)",1629.0
"(52, 4)",1658.0
"(53, 4)",1687.0
"(54, 4)",1716.0
"(55, 4)",1745.0
"(56, 4)",1774.0
"(57, 4)",1803.0
"(58, 4)",1832.0
"(59, 4)",1861.0
"(60, 4)",1890.0
"(61, 4)",nan
"(62, 4)",nan
"(63, 4)",nan
"(64, 4)",2006.0
"(65, 4)",2035.0
"(66, 4)",2064.0
"(67, 4)",2093.0
"(68, 4)",2122.0
"(69, 4)",2151.0
"(70, 4)",2180.0
"(71, 4)",2209.0
"(72, 4)",2238.0
"(73, 4)",2267.0
"(74, 4)",2296.0
"(75, 4)",2325.0
"(76, 4)",2354.0
"(77, 4)",2383.0
"(78, 4)",2412.0
"(79, 4)",2441.0
"(80, 4)",2470.0
"(81, 4)",2499.0
"(82, 4)",2528.0
