metric,value
metric__fuel_kg,0.09702253407235246
metric__fuel_g,97.02253407235247
metric__fuel_energy_j,4171968.965111156
metric__fuel_energy_kwh,1.1588802680864323
metric__battery_discharge_j,112502.94656684685
metric__battery_discharge_kwh,0.03125081849079079
metric__brake_loss_j,682327.6094465855
metric__brake_loss_kwh,0.18953544706849598
metric__equivalent_energy_j,4284471.911678003
metric__equivalent_energy_kwh,1.190131086577223
metric__equivalent_energy_kwh_per_km,0.7364833976386609
metric__distance_m,1615.9645830348156
hard__speed_cap_max_violation,0.0
hard__hard_current_lane_safety_max_violation,0.0
hard__hard_lane_change_safety_max_violation,0.0
hard__raw_acc_bound_violation_before_slack,0.0
hard__raw_jerk_bound_violation_before_slack,2.6201263381153694e-14
hard__SOC_max_violation,0.0
hard__NS_stop_speed_max_violation,0.0
hard__NS_no_cross_max_violation,0.0
hard__SIG_entry_safe_to_clear_max_violation,0.0
hard__SIG_position_consistency_max_violation,0.0
hard__SIG_stopping_feasibility_max_violation,2.7284841053187847e-12
hard__SIG_downstream_clearance_max_violation,0.0
obj__J_safe_star,0.0
obj__J_perm_star,0.0
obj__J_dyn_star,0.0
obj__J_eco_star,-4672.28725285881
obj__solver_status,OPTIMAL
obj__status_code,2
obj__mip_gap,8.53931719918956e-05
obj__runtime_sec,3.3630001544952393
