key,value
"(0, 1)",1
"(1, 1)",1
"(2, 1)",1
"(3, 1)",1
"(4, 1)",1
"(5, 1)",1
"(6, 1)",1
"(7, 1)",1
"(8, 1)",1
"(9, 1)",1
"(10, 1)",1
"(11, 1)",1
"(12, 1)",1
"(13, 1)",1
"(14, 1)",0
"(15, 1)",0
"(16, 1)",0
"(17, 1)",0
"(18, 1)",0
"(19, 1)",0
"(20, 1)",0
"(21, 1)",1
"(22, 1)",1
"(23, 1)",0
"(24, 1)",0
"(25, 1)",0
"(26, 1)",0
"(27, 1)",0
"(28, 1)",0
"(29, 1)",0
"(30, 1)",0
"(31, 1)",0
"(32, 1)",0
"(33, 1)",0
"(34, 1)",1
"(35, 1)",1
"(36, 1)",1
"(37, 1)",1
"(38, 1)",1
"(39, 1)",1
"(40, 1)",1
"(41, 1)",0
"(42, 1)",0
"(43, 1)",0
"(44, 1)",0
"(45, 1)",0
"(46, 1)",0
"(47, 1)",0
"(48, 1)",0
"(49, 1)",0
"(50, 1)",0
"(51, 1)",0
"(52, 1)",0
"(53, 1)",0
"(54, 1)",0
"(55, 1)",0
"(56, 1)",0
"(57, 1)",0
"(58, 1)",0
"(59, 1)",0
"(60, 1)",0
"(61, 1)",0
"(62, 1)",0
"(63, 1)",0
"(64, 1)",0
"(65, 1)",0
"(66, 1)",0
"(67, 1)",0
"(68, 1)",0
"(69, 1)",0
"(70, 1)",0
"(71, 1)",0
"(72, 1)",0
"(73, 1)",0
"(74, 1)",0
"(75, 1)",0
"(76, 1)",0
"(77, 1)",0
"(78, 1)",0
"(79, 1)",0
"(80, 1)",0
"(0, 2)",1
"(1, 2)",1
"(2, 2)",1
"(3, 2)",1
"(4, 2)",1
"(5, 2)",1
"(6, 2)",1
"(7, 2)",1
"(8, 2)",1
"(9, 2)",1
"(10, 2)",1
"(11, 2)",1
"(12, 2)",1
"(13, 2)",1
"(14, 2)",0
"(15, 2)",0
"(16, 2)",0
"(17, 2)",0
"(18, 2)",0
"(19, 2)",1
"(20, 2)",1
"(21, 2)",1
"(22, 2)",0
"(23, 2)",0
"(24, 2)",0
"(25, 2)",0
"(26, 2)",0
"(27, 2)",0
"(28, 2)",0
"(29, 2)",0
"(30, 2)",0
"(31, 2)",0
"(32, 2)",1
"(33, 2)",1
"(34, 2)",1
"(35, 2)",1
"(36, 2)",1
"(37, 2)",0
"(38, 2)",0
"(39, 2)",0
"(40, 2)",0
"(41, 2)",0
"(42, 2)",0
"(43, 2)",1
"(44, 2)",1
"(45, 2)",1
"(46, 2)",1
"(47, 2)",1
"(48, 2)",1
"(49, 2)",1
"(50, 2)",1
"(51, 2)",1
"(52, 2)",1
"(53, 2)",1
"(54, 2)",1
"(55, 2)",1
"(56, 2)",1
"(57, 2)",1
"(58, 2)",1
"(59, 2)",1
"(60, 2)",1
"(61, 2)",1
"(62, 2)",1
"(63, 2)",1
"(64, 2)",1
"(65, 2)",1
"(66, 2)",1
"(67, 2)",1
"(68, 2)",1
"(69, 2)",1
"(70, 2)",1
"(71, 2)",1
"(72, 2)",1
"(73, 2)",1
"(74, 2)",1
"(75, 2)",1
"(76, 2)",1
"(77, 2)",1
"(78, 2)",1
"(79, 2)",1
"(80, 2)",1
"(0, 3)",1
"(1, 3)",1
"(2, 3)",1
"(3, 3)",1
"(4, 3)",1
"(5, 3)",1
"(6, 3)",1
"(7, 3)",1
"(8, 3)",1
"(9, 3)",1
"(10, 3)",1
"(11, 3)",1
"(12, 3)",1
"(13, 3)",0
"(14, 3)",0
"(15, 3)",0
"(16, 3)",0
"(17, 3)",0
"(18, 3)",1
"(19, 3)",1
"(20, 3)",0
"(21, 3)",0
"(22, 3)",0
"(23, 3)",0
"(24, 3)",0
"(25, 3)",0
"(26, 3)",0
"(27, 3)",0
"(28, 3)",0
"(29, 3)",1
"(30, 3)",1
"(31, 3)",1
"(32, 3)",1
"(33, 3)",1
"(34, 3)",1
"(35, 3)",0
"(36, 3)",0
"(37, 3)",0
"(38, 3)",0
"(39, 3)",0
"(40, 3)",1
"(41, 3)",1
"(42, 3)",1
"(43, 3)",1
"(44, 3)",1
"(45, 3)",1
"(46, 3)",1
"(47, 3)",1
"(48, 3)",1
"(49, 3)",1
"(50, 3)",1
"(51, 3)",1
"(52, 3)",1
"(53, 3)",1
"(54, 3)",1
"(55, 3)",1
"(56, 3)",1
"(57, 3)",1
"(58, 3)",1
"(59, 3)",1
"(60, 3)",1
"(61, 3)",1
"(62, 3)",1
"(63, 3)",1
"(64, 3)",1
"(65, 3)",1
"(66, 3)",1
"(67, 3)",1
"(68, 3)",1
"(69, 3)",1
"(70, 3)",1
"(71, 3)",1
"(72, 3)",1
"(73, 3)",1
"(74, 3)",1
"(75, 3)",1
"(76, 3)",1
"(77, 3)",1
"(78, 3)",1
"(79, 3)",1
"(80, 3)",1
"(0, 4)",1
"(1, 4)",1
"(2, 4)",1
"(3, 4)",1
"(4, 4)",1
"(5, 4)",1
"(6, 4)",1
"(7, 4)",1
"(8, 4)",1
"(9, 4)",1
"(10, 4)",1
"(11, 4)",1
"(12, 4)",0
"(13, 4)",0
"(14, 4)",0
"(15, 4)",0
"(16, 4)",0
"(17, 4)",1
"(18, 4)",1
"(19, 4)",0
"(20, 4)",0
"(21, 4)",0
"(22, 4)",0
"(23, 4)",0
"(24, 4)",0
"(25, 4)",0
"(26, 4)",0
"(27, 4)",1
"(28, 4)",1
"(29, 4)",1
"(30, 4)",1
"(31, 4)",1
"(32, 4)",0
"(33, 4)",0
"(34, 4)",0
"(35, 4)",0
"(36, 4)",0
"(37, 4)",1
"(38, 4)",1
"(39, 4)",1
"(40, 4)",1
"(41, 4)",1
"(42, 4)",1
"(43, 4)",1
"(44, 4)",1
"(45, 4)",1
"(46, 4)",1
"(47, 4)",1
"(48, 4)",1
"(49, 4)",1
"(50, 4)",1
"(51, 4)",1
"(52, 4)",1
"(53, 4)",1
"(54, 4)",1
"(55, 4)",1
"(56, 4)",1
"(57, 4)",1
"(58, 4)",1
"(59, 4)",1
"(60, 4)",1
"(61, 4)",1
"(62, 4)",1
"(63, 4)",1
"(64, 4)",1
"(65, 4)",1
"(66, 4)",1
"(67, 4)",1
"(68, 4)",1
"(69, 4)",1
"(70, 4)",1
"(71, 4)",1
"(72, 4)",1
"(73, 4)",1
"(74, 4)",1
"(75, 4)",1
"(76, 4)",1
"(77, 4)",1
"(78, 4)",1
"(79, 4)",1
"(80, 4)",1
"(0, 5)",1
"(1, 5)",1
"(2, 5)",1
"(3, 5)",1
"(4, 5)",1
"(5, 5)",1
"(6, 5)",1
"(7, 5)",1
"(8, 5)",1
"(9, 5)",1
"(10, 5)",1
"(11, 5)",1
"(12, 5)",0
"(13, 5)",0
"(14, 5)",0
"(15, 5)",0
"(16, 5)",1
"(17, 5)",1
"(18, 5)",0
"(19, 5)",0
"(20, 5)",0
"(21, 5)",0
"(22, 5)",0
"(23, 5)",0
"(24, 5)",0
"(25, 5)",0
"(26, 5)",1
"(27, 5)",1
"(28, 5)",1
"(29, 5)",1
"(30, 5)",0
"(31, 5)",0
"(32, 5)",0
"(33, 5)",0
"(34, 5)",0
"(35, 5)",1
"(36, 5)",1
"(37, 5)",1
"(38, 5)",1
"(39, 5)",1
"(40, 5)",1
"(41, 5)",1
"(42, 5)",1
"(43, 5)",1
"(44, 5)",1
"(45, 5)",1
"(46, 5)",1
"(47, 5)",1
"(48, 5)",1
"(49, 5)",1
"(50, 5)",1
"(51, 5)",1
"(52, 5)",1
"(53, 5)",1
"(54, 5)",1
"(55, 5)",1
"(56, 5)",1
"(57, 5)",1
"(58, 5)",1
"(59, 5)",1
"(60, 5)",1
"(61, 5)",1
"(62, 5)",1
"(63, 5)",1
"(64, 5)",1
"(65, 5)",1
"(66, 5)",1
"(67, 5)",1
"(68, 5)",1
"(69, 5)",1
"(70, 5)",1
"(71, 5)",1
"(72, 5)",1
"(73, 5)",1
"(74, 5)",1
"(75, 5)",1
"(76, 5)",1
"(77, 5)",1
"(78, 5)",1
"(79, 5)",1
"(80, 5)",1
"(0, 6)",1
"(1, 6)",1
"(2, 6)",1
"(3, 6)",1
"(4, 6)",1
"(5, 6)",1
"(6, 6)",1
"(7, 6)",1
"(8, 6)",1
"(9, 6)",1
"(10, 6)",1
"(11, 6)",0
"(12, 6)",0
"(13, 6)",0
"(14, 6)",0
"(15, 6)",0
"(16, 6)",1
"(17, 6)",0
"(18, 6)",0
"(19, 6)",0
"(20, 6)",0
"(21, 6)",0
"(22, 6)",0
"(23, 6)",0
"(24, 6)",1
"(25, 6)",1
"(26, 6)",1
"(27, 6)",1
"(28, 6)",1
"(29, 6)",0
"(30, 6)",0
"(31, 6)",0
"(32, 6)",0
"(33, 6)",1
"(34, 6)",1
"(35, 6)",1
"(36, 6)",1
"(37, 6)",1
"(38, 6)",1
"(39, 6)",1
"(40, 6)",1
"(41, 6)",0
"(42, 6)",0
"(43, 6)",0
"(44, 6)",0
"(45, 6)",0
"(46, 6)",0
"(47, 6)",0
"(48, 6)",0
"(49, 6)",0
"(50, 6)",0
"(51, 6)",0
"(52, 6)",0
"(53, 6)",0
"(54, 6)",0
"(55, 6)",0
"(56, 6)",0
"(57, 6)",0
"(58, 6)",0
"(59, 6)",0
"(60, 6)",0
"(61, 6)",0
"(62, 6)",0
"(63, 6)",0
"(64, 6)",0
"(65, 6)",0
"(66, 6)",0
"(67, 6)",0
"(68, 6)",0
"(69, 6)",0
"(70, 6)",0
"(71, 6)",0
"(72, 6)",0
"(73, 6)",0
"(74, 6)",0
"(75, 6)",0
"(76, 6)",0
"(77, 6)",0
"(78, 6)",0
"(79, 6)",0
"(80, 6)",0
