key,value
"(0, 1)",0.00142
"(0, 2)",0.00124
"(0, 3)",0.0010600000000000002
"(0, 4)",0.00088
"(1, 1)",0.00142
"(1, 2)",0.00124
"(1, 3)",0.0010600000000000002
"(1, 4)",0.00088
"(2, 1)",0.00142
"(2, 2)",0.00124
"(2, 3)",0.0010600000000000002
"(2, 4)",0.00088
"(3, 1)",0.00142
"(3, 2)",0.00124
"(3, 3)",0.0010600000000000002
"(3, 4)",0.00088
"(4, 1)",0.00142
"(4, 2)",0.00124
"(4, 3)",0.0010600000000000002
"(4, 4)",0.00088
"(5, 1)",0.00142
"(5, 2)",0.00124
"(5, 3)",0.0010600000000000002
"(5, 4)",0.00088
"(6, 1)",0.00142
"(6, 2)",0.00124
"(6, 3)",0.0010600000000000002
"(6, 4)",0.00088
"(7, 1)",0.00142
"(7, 2)",0.00124
"(7, 3)",0.0010600000000000002
"(7, 4)",0.00088
"(8, 1)",0.00142
"(8, 2)",0.00124
"(8, 3)",0.0010600000000000002
"(8, 4)",0.00088
"(9, 1)",0.00142
"(9, 2)",0.00124
"(9, 3)",0.0010600000000000002
"(9, 4)",0.00088
"(10, 1)",0.00142
"(10, 2)",0.00124
"(10, 3)",0.0010600000000000002
"(10, 4)",0.00088
"(11, 1)",0.00142
"(11, 2)",0.00124
"(11, 3)",0.0010600000000000002
"(11, 4)",0.00088
"(12, 1)",0.00142
"(12, 2)",0.00124
"(12, 3)",0.0010600000000000002
"(12, 4)",0.00088
"(13, 1)",0.00142
"(13, 2)",0.00124
"(13, 3)",0.0010600000000000002
"(13, 4)",0.00088
"(14, 1)",0.00142
"(14, 2)",0.00124
"(14, 3)",0.0010600000000000002
"(14, 4)",0.00088
"(15, 1)",0.00142
"(15, 2)",0.00124
"(15, 3)",0.0010600000000000002
"(15, 4)",0.00088
"(16, 1)",0.00142
"(16, 2)",0.00124
"(16, 3)",0.0010600000000000002
"(16, 4)",0.00088
"(17, 1)",0.00142
"(17, 2)",0.00124
"(17, 3)",0.0010600000000000002
"(17, 4)",0.00088
"(18, 1)",0.00142
"(18, 2)",0.00124
"(18, 3)",0.0010600000000000002
"(18, 4)",0.00088
"(19, 1)",0.00142
"(19, 2)",0.00124
"(19, 3)",0.0010600000000000002
"(19, 4)",0.00088
"(20, 1)",0.00142
"(20, 2)",0.00124
"(20, 3)",0.0010600000000000002
"(20, 4)",0.00088
"(21, 1)",0.00142
"(21, 2)",0.00124
"(21, 3)",0.0010600000000000002
"(21, 4)",0.00088
"(22, 1)",0.00142
"(22, 2)",0.00124
"(22, 3)",0.0010600000000000002
"(22, 4)",0.00088
"(23, 1)",0.00142
"(23, 2)",0.00124
"(23, 3)",0.0010600000000000002
"(23, 4)",0.00088
"(24, 1)",0.00142
"(24, 2)",0.00124
"(24, 3)",0.0010600000000000002
"(24, 4)",0.00088
"(25, 1)",0.00142
"(25, 2)",0.00124
"(25, 3)",0.0010600000000000002
"(25, 4)",0.00088
"(26, 1)",0.00142
"(26, 2)",0.00124
"(26, 3)",0.0010600000000000002
"(26, 4)",0.00088
"(27, 1)",0.00142
"(27, 2)",0.00124
"(27, 3)",0.0010600000000000002
"(27, 4)",0.00088
"(28, 1)",0.00142
"(28, 2)",0.00124
"(28, 3)",0.0010600000000000002
"(28, 4)",0.00088
"(29, 1)",0.00142
"(29, 2)",0.00124
"(29, 3)",0.0010600000000000002
"(29, 4)",0.00088
"(30, 1)",0.00142
"(30, 2)",0.00124
"(30, 3)",0.0010600000000000002
"(30, 4)",0.00088
"(31, 1)",0.00142
"(31, 2)",0.00124
"(31, 3)",0.0010600000000000002
"(31, 4)",0.00088
"(32, 1)",0.00142
"(32, 2)",0.00124
"(32, 3)",0.0010600000000000002
"(32, 4)",0.00088
"(33, 1)",0.00142
"(33, 2)",0.00124
"(33, 3)",0.0010600000000000002
"(33, 4)",0.00088
"(34, 1)",0.00142
"(34, 2)",0.00124
"(34, 3)",0.0010600000000000002
"(34, 4)",0.00088
"(35, 1)",0.00142
"(35, 2)",0.00124
"(35, 3)",0.0010600000000000002
"(35, 4)",0.00088
"(36, 1)",0.00142
"(36, 2)",0.00124
"(36, 3)",0.0010600000000000002
"(36, 4)",0.00088
"(37, 1)",0.00142
"(37, 2)",0.00124
"(37, 3)",0.0010600000000000002
"(37, 4)",0.00088
"(38, 1)",0.00142
"(38, 2)",0.00124
"(38, 3)",0.0010600000000000002
"(38, 4)",0.00088
"(39, 1)",0.00142
"(39, 2)",0.00124
"(39, 3)",0.0010600000000000002
"(39, 4)",0.00088
"(40, 1)",0.00142
"(40, 2)",0.00124
"(40, 3)",0.0010600000000000002
"(40, 4)",0.00088
"(41, 1)",0.00142
"(41, 2)",0.00124
"(41, 3)",0.0010600000000000002
"(41, 4)",0.00088
"(42, 1)",0.00142
"(42, 2)",0.00124
"(42, 3)",0.0010600000000000002
"(42, 4)",0.00088
"(43, 1)",0.00142
"(43, 2)",0.00124
"(43, 3)",0.0010600000000000002
"(43, 4)",0.00088
"(44, 1)",0.00142
"(44, 2)",0.00124
"(44, 3)",0.0010600000000000002
"(44, 4)",0.00088
"(45, 1)",0.00142
"(45, 2)",0.00124
"(45, 3)",0.0010600000000000002
"(45, 4)",0.00088
"(46, 1)",0.00142
"(46, 2)",0.00124
"(46, 3)",0.0010600000000000002
"(46, 4)",0.00088
"(47, 1)",0.00142
"(47, 2)",0.00124
"(47, 3)",0.0010600000000000002
"(47, 4)",0.00088
"(48, 1)",0.00142
"(48, 2)",0.00124
"(48, 3)",0.0010600000000000002
"(48, 4)",0.00088
"(49, 1)",0.00142
"(49, 2)",0.00124
"(49, 3)",0.0010600000000000002
"(49, 4)",0.00088
"(50, 1)",0.00142
"(50, 2)",0.00124
"(50, 3)",0.0010600000000000002
"(50, 4)",0.00088
"(51, 1)",0.00142
"(51, 2)",0.00124
"(51, 3)",0.0010600000000000002
"(51, 4)",0.00088
"(52, 1)",0.00142
"(52, 2)",0.00124
"(52, 3)",0.0010600000000000002
"(52, 4)",0.00088
"(53, 1)",0.00142
"(53, 2)",0.00124
"(53, 3)",0.0010600000000000002
"(53, 4)",0.00088
"(54, 1)",0.00142
"(54, 2)",0.00124
"(54, 3)",0.0010600000000000002
"(54, 4)",0.00088
"(55, 1)",0.00142
"(55, 2)",0.00124
"(55, 3)",0.0010600000000000002
"(55, 4)",0.00088
"(56, 1)",0.00142
"(56, 2)",0.00124
"(56, 3)",0.0010600000000000002
"(56, 4)",0.00088
"(57, 1)",0.00142
"(57, 2)",0.00124
"(57, 3)",0.0010600000000000002
"(57, 4)",0.00088
"(58, 1)",0.00142
"(58, 2)",0.00124
"(58, 3)",0.0010600000000000002
"(58, 4)",0.00088
"(59, 1)",0.00142
"(59, 2)",0.00124
"(59, 3)",0.0010600000000000002
"(59, 4)",0.00088
"(60, 1)",0.00142
"(60, 2)",0.00124
"(60, 3)",0.0010600000000000002
"(60, 4)",0.00088
"(61, 1)",0.00142
"(61, 2)",0.00124
"(61, 3)",0.0010600000000000002
"(61, 4)",0.00088
"(62, 1)",0.00142
"(62, 2)",0.00124
"(62, 3)",0.0010600000000000002
"(62, 4)",0.00088
"(63, 1)",0.00142
"(63, 2)",0.00124
"(63, 3)",0.0010600000000000002
"(63, 4)",0.00088
"(64, 1)",0.00142
"(64, 2)",0.00124
"(64, 3)",0.0010600000000000002
