key,value
"(0, 2)",1
"(0, 3)",1
"(0, 4)",1
"(1, 2)",1
"(1, 3)",1
"(1, 4)",1
"(2, 2)",1
"(2, 3)",1
"(2, 4)",1
"(3, 2)",1
"(3, 3)",1
"(3, 4)",1
"(4, 2)",1
"(4, 3)",1
"(4, 4)",1
"(5, 2)",1
"(5, 3)",1
"(5, 4)",1
"(6, 2)",1
"(6, 3)",1
"(6, 4)",1
"(7, 2)",1
"(7, 3)",1
"(7, 4)",1
"(8, 2)",1
"(8, 3)",1
"(8, 4)",1
"(9, 2)",1
"(9, 3)",1
"(9, 4)",1
"(10, 2)",1
"(10, 3)",1
"(10, 4)",1
"(11, 2)",1
"(11, 3)",1
"(11, 4)",1
"(12, 2)",1
"(12, 3)",1
"(12, 4)",1
"(13, 2)",1
"(13, 3)",1
"(13, 4)",1
"(14, 2)",1
"(14, 3)",1
"(14, 4)",1
"(15, 2)",1
"(15, 3)",1
"(15, 4)",1
"(16, 2)",1
"(16, 3)",1
"(16, 4)",1
"(17, 2)",1
"(17, 3)",1
"(17, 4)",1
"(18, 2)",1
"(18, 3)",1
"(18, 4)",1
"(19, 2)",1
"(19, 3)",1
"(19, 4)",1
"(20, 2)",1
"(20, 3)",1
"(20, 4)",1
"(21, 2)",1
"(21, 3)",1
"(21, 4)",1
"(22, 2)",1
"(22, 3)",1
"(22, 4)",1
"(23, 2)",1
"(23, 3)",1
"(23, 4)",1
"(24, 2)",1
"(24, 3)",1
"(24, 4)",1
"(25, 2)",1
"(25, 3)",1
"(25, 4)",1
"(26, 2)",1
"(26, 3)",1
"(26, 4)",1
"(27, 2)",1
"(27, 3)",1
"(27, 4)",1
"(28, 2)",1
"(28, 3)",1
"(28, 4)",1
"(29, 2)",1
"(29, 3)",1
"(29, 4)",1
"(30, 2)",1
"(30, 3)",1
"(30, 4)",1
"(31, 2)",1
"(31, 3)",1
"(31, 4)",1
"(32, 2)",1
"(32, 3)",1
"(32, 4)",1
"(33, 2)",1
"(33, 3)",1
"(33, 4)",1
"(34, 2)",1
"(34, 3)",1
"(34, 4)",1
"(35, 2)",1
"(35, 3)",1
"(35, 4)",1
"(36, 2)",1
"(36, 3)",1
"(36, 4)",1
"(37, 2)",1
"(37, 3)",1
"(37, 4)",1
"(38, 2)",1
"(38, 3)",1
"(38, 4)",1
"(39, 2)",1
"(39, 3)",1
"(39, 4)",1
"(40, 2)",1
"(40, 3)",1
"(40, 4)",1
"(41, 2)",1
"(41, 3)",1
"(41, 4)",1
"(42, 2)",1
"(42, 3)",1
"(42, 4)",1
"(43, 2)",1
"(43, 3)",0
"(43, 4)",1
"(44, 2)",1
"(44, 3)",0
"(44, 4)",1
"(45, 2)",1
"(45, 3)",0
"(45, 4)",1
"(46, 2)",1
"(46, 3)",0
"(46, 4)",1
"(47, 2)",1
"(47, 3)",0
"(47, 4)",1
"(48, 2)",1
"(48, 3)",1
"(48, 4)",1
"(49, 2)",1
"(49, 3)",1
"(49, 4)",1
"(50, 2)",1
"(50, 3)",1
"(50, 4)",1
"(51, 2)",1
"(51, 3)",1
"(51, 4)",1
"(52, 2)",1
"(52, 3)",1
"(52, 4)",1
"(53, 2)",1
"(53, 3)",1
"(53, 4)",1
"(54, 2)",1
"(54, 3)",1
"(54, 4)",1
"(55, 2)",1
"(55, 3)",1
"(55, 4)",1
"(56, 2)",1
"(56, 3)",1
"(56, 4)",1
"(57, 2)",1
"(57, 3)",1
"(57, 4)",1
"(58, 2)",1
"(58, 3)",0
"(58, 4)",0
"(59, 2)",1
"(59, 3)",0
"(59, 4)",0
"(60, 2)",1
"(60, 3)",0
"(60, 4)",0
"(61, 2)",1
"(61, 3)",0
"(61, 4)",0
"(62, 2)",1
"(62, 3)",0
"(62, 4)",0
"(63, 2)",1
"(63, 3)",0
"(63, 4)",0
"(64, 2)",1
"(64, 3)",1
"(64, 4)",1
"(65, 2)",1
"(65, 3)",1
"(65, 4)",1
"(66, 2)",1
"(66, 3)",1
"(66, 4)",1
"(67, 2)",1
"(67, 3)",1
"(67, 4)",1
"(68, 2)",1
"(68, 3)",1
"(68, 4)",1
"(69, 2)",1
"(69, 3)",1
"(69, 4)",1
"(70, 2)",1
"(70, 3)",1
"(70, 4)",1
"(71, 2)",1
"(71, 3)",1
"(71, 4)",1
"(72, 2)",1
"(72, 3)",1
"(72, 4)",1
"(73, 2)",1
"(73, 3)",1
"(73, 4)",1
"(74, 2)",1
"(74, 3)",1
"(74, 4)",1
"(75, 2)",1
"(75, 3)",1
"(75, 4)",1
"(76, 2)",1
"(76, 3)",1
"(76, 4)",1
"(77, 2)",1
"(77, 3)",1
"(77, 4)",1
"(78, 2)",1
"(78, 3)",1
"(78, 4)",1
"(79, 2)",1
"(79, 3)",1
"(79, 4)",1
