key,value
"(1, 4)",0
"(1, 5)",0
"(1, 6)",0
"(1, 7)",0
"(1, 8)",0
"(1, 9)",0
"(1, 10)",0
"(1, 11)",0
"(1, 12)",0
"(1, 13)",0
"(1, 14)",0
"(1, 15)",0
"(1, 16)",0
"(1, 17)",0
"(1, 18)",1
"(1, 19)",1
"(1, 20)",1
"(1, 21)",1
"(1, 22)",1
"(1, 23)",0
"(1, 24)",0
"(1, 25)",0
"(2, 20)",0
"(2, 21)",0
"(2, 22)",0
"(2, 23)",0
"(2, 24)",0
"(2, 25)",0
"(2, 26)",0
"(2, 27)",0
"(2, 28)",1
"(2, 29)",1
"(2, 30)",1
"(2, 31)",1
"(2, 32)",1
"(2, 33)",1
"(2, 34)",0
"(2, 35)",0
"(2, 36)",0
"(2, 37)",0
"(3, 36)",0
"(3, 37)",0
"(3, 38)",0
"(3, 39)",0
"(3, 40)",0
"(3, 41)",0
"(3, 42)",0
"(3, 43)",0
"(3, 44)",1
"(3, 45)",1
"(3, 46)",1
"(3, 47)",1
"(3, 48)",1
"(3, 49)",1
"(3, 50)",0
"(3, 51)",0
"(3, 52)",0
"(3, 53)",0
