key,value
"(0, 1)",18.4
"(1, 1)",nan
"(2, 1)",nan
"(3, 1)",nan
"(4, 1)",nan
"(5, 1)",nan
"(6, 1)",nan
"(7, 1)",nan
"(8, 1)",nan
"(9, 1)",nan
"(10, 1)",nan
"(11, 1)",nan
"(12, 1)",nan
"(13, 1)",18.4
"(14, 1)",18.4
"(15, 1)",18.4
"(16, 1)",nan
"(17, 1)",nan
"(18, 1)",nan
"(19, 1)",nan
"(20, 1)",nan
"(21, 1)",nan
"(22, 1)",nan
"(23, 1)",nan
"(24, 1)",nan
"(25, 1)",nan
"(26, 1)",nan
"(27, 1)",nan
"(28, 1)",18.4
"(29, 1)",18.4
"(30, 1)",18.4
"(31, 1)",nan
"(32, 1)",nan
"(33, 1)",nan
"(34, 1)",nan
"(35, 1)",nan
"(36, 1)",nan
"(37, 1)",nan
"(38, 1)",nan
"(39, 1)",nan
"(40, 1)",nan
"(41, 1)",nan
"(42, 1)",nan
"(43, 1)",nan
"(44, 1)",18.4
"(45, 1)",18.4
"(46, 1)",18.4
"(47, 1)",18.4
"(48, 1)",18.4
"(49, 1)",18.4
"(50, 1)",18.4
"(51, 1)",18.4
"(52, 1)",nan
"(53, 1)",nan
"(54, 1)",nan
"(55, 1)",nan
"(56, 1)",nan
"(57, 1)",nan
"(58, 1)",nan
"(59, 1)",18.4
"(60, 1)",18.4
"(61, 1)",18.4
"(62, 1)",18.4
"(63, 1)",18.4
"(64, 1)",18.4
"(65, 1)",18.4
"(66, 1)",18.4
"(67, 1)",18.4
"(68, 1)",18.4
"(69, 1)",18.4
"(70, 1)",18.4
"(71, 1)",18.4
"(72, 1)",18.4
"(73, 1)",18.4
"(74, 1)",18.4
"(75, 1)",18.4
"(76, 1)",18.4
"(77, 1)",18.4
"(78, 1)",18.4
"(79, 1)",18.4
"(80, 1)",18.4
"(81, 1)",18.4
"(82, 1)",18.4
"(83, 1)",18.4
"(84, 1)",18.4
"(85, 1)",18.4
"(86, 1)",18.4
"(87, 1)",18.4
"(88, 1)",18.4
"(0, 2)",19.8
"(1, 2)",nan
"(2, 2)",nan
"(3, 2)",nan
"(4, 2)",nan
"(5, 2)",nan
"(6, 2)",nan
"(7, 2)",nan
"(8, 2)",nan
"(9, 2)",nan
"(10, 2)",nan
"(11, 2)",nan
"(12, 2)",19.8
"(13, 2)",19.8
"(14, 2)",19.8
"(15, 2)",nan
"(16, 2)",nan
"(17, 2)",nan
"(18, 2)",nan
"(19, 2)",nan
"(20, 2)",nan
"(21, 2)",nan
"(22, 2)",nan
"(23, 2)",nan
"(24, 2)",nan
"(25, 2)",nan
"(26, 2)",19.8
"(27, 2)",19.8
"(28, 2)",19.8
"(29, 2)",nan
"(30, 2)",nan
"(31, 2)",nan
"(32, 2)",nan
"(33, 2)",nan
"(34, 2)",nan
"(35, 2)",nan
"(36, 2)",nan
"(37, 2)",nan
"(38, 2)",nan
"(39, 2)",nan
"(40, 2)",19.8
"(41, 2)",19.8
"(42, 2)",19.8
"(43, 2)",19.8
"(44, 2)",19.8
"(45, 2)",19.8
"(46, 2)",19.8
"(47, 2)",19.8
"(48, 2)",nan
"(49, 2)",nan
"(50, 2)",nan
"(51, 2)",nan
"(52, 2)",nan
"(53, 2)",nan
"(54, 2)",nan
"(55, 2)",19.8
"(56, 2)",19.8
"(57, 2)",19.8
"(58, 2)",19.8
"(59, 2)",19.8
"(60, 2)",19.8
"(61, 2)",19.8
"(62, 2)",19.8
"(63, 2)",19.8
"(64, 2)",19.8
"(65, 2)",19.8
"(66, 2)",19.8
