key,value
"(1, 51, 1)",1
"(1, 51, 2)",1
"(1, 51, 3)",1
"(1, 52, 1)",1
"(1, 52, 2)",1
"(1, 52, 3)",1
"(1, 53, 1)",1
"(1, 53, 2)",1
"(1, 53, 3)",1
"(1, 54, 1)",1
"(1, 54, 2)",1
"(1, 54, 3)",1
"(1, 55, 1)",1
"(1, 55, 2)",1
"(1, 55, 3)",1
"(1, 56, 1)",1
"(1, 56, 2)",1
"(1, 56, 3)",1
"(1, 57, 1)",1
"(1, 57, 2)",1
"(1, 57, 3)",1
"(1, 58, 1)",1
"(1, 58, 2)",1
"(1, 58, 3)",1
"(1, 59, 1)",1
"(1, 59, 2)",1
"(1, 59, 3)",1
"(1, 60, 1)",1
"(1, 60, 2)",1
"(1, 60, 3)",1
"(1, 61, 1)",1
"(1, 61, 2)",1
"(1, 61, 3)",1
"(1, 62, 1)",1
"(1, 62, 2)",1
"(1, 62, 3)",1
"(1, 63, 1)",1
"(1, 63, 2)",1
"(1, 63, 3)",1
"(1, 64, 1)",1
"(1, 64, 2)",1
"(1, 64, 3)",1
"(1, 65, 1)",1
"(1, 65, 2)",1
"(1, 65, 3)",1
"(1, 66, 1)",1
"(1, 66, 2)",1
"(1, 66, 3)",1
"(1, 67, 1)",1
"(1, 67, 2)",1
"(1, 67, 3)",1
"(1, 68, 1)",1
"(1, 68, 2)",1
"(1, 68, 3)",1
"(1, 69, 1)",1
"(1, 69, 2)",1
"(1, 69, 3)",1
"(1, 70, 1)",1
"(1, 70, 2)",1
"(1, 70, 3)",1
"(1, 71, 1)",1
"(1, 71, 2)",1
"(1, 71, 3)",1
"(1, 72, 1)",1
"(1, 72, 2)",1
"(1, 72, 3)",1
"(1, 73, 1)",1
"(1, 73, 2)",1
"(1, 73, 3)",1
"(1, 74, 1)",1
"(1, 74, 2)",1
"(1, 74, 3)",1
"(1, 75, 1)",1
"(1, 75, 2)",1
"(1, 75, 3)",1
"(1, 76, 1)",1
"(1, 76, 2)",1
"(1, 76, 3)",1
"(1, 77, 1)",1
"(1, 77, 2)",1
"(1, 77, 3)",1
"(1, 78, 1)",1
"(1, 78, 2)",1
"(1, 78, 3)",1
"(1, 79, 1)",1
"(1, 79, 2)",1
"(1, 79, 3)",1
"(1, 80, 1)",1
"(1, 80, 2)",1
"(1, 80, 3)",1
"(1, 81, 1)",1
"(1, 81, 2)",1
"(1, 81, 3)",1
"(1, 82, 1)",1
"(1, 82, 2)",1
"(1, 82, 3)",1
"(1, 83, 1)",1
"(1, 83, 2)",1
"(1, 83, 3)",1
"(1, 84, 1)",1
"(1, 84, 2)",1
"(1, 84, 3)",1
"(1, 85, 1)",1
"(1, 85, 2)",1
"(1, 85, 3)",1
"(1, 86, 1)",1
"(1, 86, 2)",1
"(1, 86, 3)",1
"(1, 87, 1)",1
"(1, 87, 2)",1
"(1, 87, 3)",1
"(1, 88, 1)",1
"(1, 88, 2)",1
"(1, 88, 3)",1
"(1, 89, 1)",1
"(1, 89, 2)",1
"(1, 89, 3)",1
"(1, 90, 1)",1
"(1, 90, 2)",1
"(1, 90, 3)",1
"(1, 91, 1)",1
"(1, 91, 2)",1
"(1, 91, 3)",1
"(1, 92, 1)",1
"(1, 92, 2)",1
"(1, 92, 3)",1
"(1, 93, 1)",1
"(1, 93, 2)",1
"(1, 93, 3)",1
"(1, 94, 1)",1
"(1, 94, 2)",1
"(1, 94, 3)",1
"(1, 95, 1)",1
"(1, 95, 2)",1
"(1, 95, 3)",1
"(1, 96, 1)",1
"(1, 96, 2)",1
"(1, 96, 3)",1
"(1, 97, 1)",1
"(1, 97, 2)",1
"(1, 97, 3)",1
"(1, 98, 1)",1
"(1, 98, 2)",1
"(1, 98, 3)",1
"(1, 99, 1)",1
"(1, 99, 2)",1
"(1, 99, 3)",1
"(1, 100, 1)",1
"(1, 100, 2)",1
"(1, 100, 3)",1
"(1, 101, 1)",1
"(1, 101, 2)",1
"(1, 101, 3)",1
"(1, 102, 1)",1
"(1, 102, 2)",1
"(1, 102, 3)",1
"(1, 103, 1)",1
"(1, 103, 2)",1
"(1, 103, 3)",1
"(1, 104, 1)",1
"(1, 104, 2)",1
"(1, 104, 3)",1
"(1, 105, 1)",1
"(1, 105, 2)",1
"(1, 105, 3)",1
"(1, 106, 1)",1
"(1, 106, 2)",1
"(1, 106, 3)",1
"(1, 107, 1)",1
"(1, 107, 2)",1
"(1, 107, 3)",1
"(1, 108, 1)",1
"(1, 108, 2)",1
"(1, 108, 3)",1
"(1, 109, 1)",1
"(1, 109, 2)",1
"(1, 109, 3)",1
"(1, 110, 1)",1
"(1, 110, 2)",1
"(1, 110, 3)",1
"(1, 111, 1)",1
"(1, 111, 2)",1
"(1, 111, 3)",1
"(1, 112, 1)",1
"(1, 112, 2)",1
"(1, 112, 3)",1
"(1, 113, 1)",1
"(1, 113, 2)",1
"(1, 113, 3)",1
"(1, 114, 1)",1
"(1, 114, 2)",1
"(1, 114, 3)",1
"(1, 115, 1)",1
"(1, 115, 2)",1
"(1, 115, 3)",1
"(1, 116, 1)",1
"(1, 116, 2)",1
"(1, 116, 3)",1
"(1, 117, 1)",1
"(1, 117, 2)",1
"(1, 117, 3)",1
"(1, 118, 1)",1
"(1, 118, 2)",1
"(1, 118, 3)",1
"(1, 119, 1)",1
"(1, 119, 2)",1
"(1, 119, 3)",1
"(1, 120, 1)",1
"(1, 120, 2)",1
"(1, 120, 3)",1
"(1, 121, 1)",1
"(1, 121, 2)",1
"(1, 121, 3)",1
"(1, 122, 1)",1
"(1, 122, 2)",1
"(1, 122, 3)",1
"(1, 123, 1)",1
"(1, 123, 2)",1
"(1, 123, 3)",1
"(2, 133, 1)",1
"(2, 133, 2)",1
"(2, 133, 3)",1
"(2, 134, 1)",1
"(2, 134, 2)",1
"(2, 134, 3)",1
"(2, 135, 1)",1
"(2, 135, 2)",1
"(2, 135, 3)",1
"(2, 136, 1)",1
"(2, 136, 2)",1
"(2, 136, 3)",1
"(2, 137, 1)",1
"(2, 137, 2)",1
"(2, 137, 3)",1
"(2, 138, 1)",1
"(2, 138, 2)",1
"(2, 138, 3)",1
"(2, 139, 1)",1
"(2, 139, 2)",1
"(2, 139, 3)",1
"(2, 140, 1)",1
"(2, 140, 2)",1
"(2, 140, 3)",1
"(2, 141, 1)",1
"(2, 141, 2)",1
"(2, 141, 3)",1
"(2, 142, 1)",1
"(2, 142, 2)",1
"(2, 142, 3)",1
"(2, 143, 1)",1
"(2, 143, 2)",1
"(2, 143, 3)",1
"(2, 144, 1)",1
"(2, 144, 2)",1
"(2, 144, 3)",1
"(2, 145, 1)",1
"(2, 145, 2)",1
"(2, 145, 3)",1
"(2, 146, 1)",1
"(2, 146, 2)",1
"(2, 146, 3)",1
"(2, 147, 1)",1
"(2, 147, 2)",1
"(2, 147, 3)",1
"(2, 148, 1)",1
"(2, 148, 2)",1
"(2, 148, 3)",1
"(2, 149, 1)",1
"(2, 149, 2)",1
"(2, 149, 3)",1
"(2, 150, 1)",1
"(2, 150, 2)",1
"(2, 150, 3)",1
"(2, 151, 1)",1
"(2, 151, 2)",1
"(2, 151, 3)",1
"(2, 152, 1)",1
"(2, 152, 2)",1
"(2, 152, 3)",1
"(2, 153, 1)",1
"(2, 153, 2)",1
"(2, 153, 3)",1
"(2, 154, 1)",1
"(2, 154, 2)",1
"(2, 154, 3)",1
"(2, 155, 1)",1
"(2, 155, 2)",1
"(2, 155, 3)",1
"(2, 156, 1)",1
"(2, 156, 2)",1
"(2, 156, 3)",1
"(2, 157, 1)",1
"(2, 157, 2)",1
"(2, 157, 3)",1
"(2, 158, 1)",1
"(2, 158, 2)",1
"(2, 158, 3)",1
"(2, 159, 1)",1
"(2, 159, 2)",1
"(2, 159, 3)",1
"(2, 160, 1)",1
"(2, 160, 2)",1
"(2, 160, 3)",1
"(2, 161, 1)",1
"(2, 161, 2)",1
"(2, 161, 3)",1
"(2, 162, 1)",1
"(2, 162, 2)",1
"(2, 162, 3)",1
"(2, 163, 1)",1
"(2, 163, 2)",1
"(2, 163, 3)",1
"(2, 164, 1)",1
"(2, 164, 2)",1
"(2, 164, 3)",1
"(2, 165, 1)",1
"(2, 165, 2)",1
"(2, 165, 3)",1
"(2, 166, 1)",1
"(2, 166, 2)",1
"(2, 166, 3)",1
"(2, 167, 1)",1
"(2, 167, 2)",1
"(2, 167, 3)",1
"(2, 168, 1)",1
"(2, 168, 2)",1
"(2, 168, 3)",1
"(2, 169, 1)",1
"(2, 169, 2)",1
"(2, 169, 3)",1
"(2, 170, 1)",1
"(2, 170, 2)",1
"(2, 170, 3)",1
"(2, 171, 1)",1
"(2, 171, 2)",1
"(2, 171, 3)",1
"(2, 172, 1)",1
"(2, 172, 2)",1
"(2, 172, 3)",1
"(2, 173, 1)",1
"(2, 173, 2)",1
"(2, 173, 3)",1
"(2, 174, 1)",1
"(2, 174, 2)",1
"(2, 174, 3)",1
"(2, 175, 1)",1
"(2, 175, 2)",1
"(2, 175, 3)",1
"(2, 176, 1)",1
"(2, 176, 2)",1
"(2, 176, 3)",1
"(2, 177, 1)",1
"(2, 177, 2)",1
"(2, 177, 3)",1
"(2, 178, 1)",1
"(2, 178, 2)",1
"(2, 178, 3)",1
"(2, 179, 1)",1
"(2, 179, 2)",1
"(2, 179, 3)",1
"(2, 180, 1)",1
"(2, 180, 2)",1
"(2, 180, 3)",1
"(2, 181, 1)",1
"(2, 181, 2)",1
"(2, 181, 3)",1
"(2, 182, 1)",1
"(2, 182, 2)",1
"(2, 182, 3)",1
"(2, 183, 1)",1
"(2, 183, 2)",1
"(2, 183, 3)",1
"(2, 184, 1)",1
"(2, 184, 2)",1
"(2, 184, 3)",1
"(2, 185, 1)",1
"(2, 185, 2)",1
"(2, 185, 3)",1
"(2, 186, 1)",1
"(2, 186, 2)",1
"(2, 186, 3)",1
"(2, 187, 1)",1
"(2, 187, 2)",1
"(2, 187, 3)",1
"(2, 188, 1)",1
"(2, 188, 2)",1
"(2, 188, 3)",1
"(2, 189, 1)",1
"(2, 189, 2)",1
"(2, 189, 3)",1
"(2, 190, 1)",1
"(2, 190, 2)",1
"(2, 190, 3)",1
"(2, 191, 1)",1
"(2, 191, 2)",1
"(2, 191, 3)",1
"(2, 192, 1)",1
"(2, 192, 2)",1
"(2, 192, 3)",1
"(2, 193, 1)",1
"(2, 193, 2)",1
"(2, 193, 3)",1
"(2, 194, 1)",1
"(2, 194, 2)",1
"(2, 194, 3)",1
"(2, 195, 1)",1
"(2, 195, 2)",1
"(2, 195, 3)",1
"(2, 196, 1)",1
"(2, 196, 2)",1
"(2, 196, 3)",1
"(2, 197, 1)",1
"(2, 197, 2)",1
"(2, 197, 3)",1
"(2, 198, 1)",1
"(2, 198, 2)",1
"(2, 198, 3)",1
"(2, 199, 1)",1
"(2, 199, 2)",1
"(2, 199, 3)",1
"(2, 200, 1)",1
"(2, 200, 2)",1
"(2, 200, 3)",1
"(2, 201, 1)",1
"(2, 201, 2)",1
"(2, 201, 3)",1
"(2, 202, 1)",1
"(2, 202, 2)",1
"(2, 202, 3)",1
"(2, 203, 1)",1
"(2, 203, 2)",1
"(2, 203, 3)",1
"(2, 204, 1)",1
"(2, 204, 2)",1
"(2, 204, 3)",1
"(2, 205, 1)",1
"(2, 205, 2)",1
"(2, 205, 3)",1
