key,value
"(1, 0)",0
"(1, 1)",0
"(1, 2)",0
"(1, 3)",0
"(1, 4)",0
"(1, 5)",0
"(1, 6)",0
"(1, 7)",0
"(1, 8)",0
"(1, 9)",0
"(1, 10)",0
"(1, 11)",0
"(1, 12)",0
"(1, 13)",0
"(1, 14)",0
"(1, 15)",0
"(1, 16)",0
"(1, 17)",0
"(1, 18)",0
"(1, 19)",0
"(1, 20)",0
"(1, 21)",0
"(1, 22)",0
"(1, 23)",0
"(1, 24)",0
"(1, 25)",0
"(1, 26)",0
"(1, 27)",0
"(1, 28)",0
"(1, 29)",0
"(1, 30)",0
"(1, 31)",0
"(1, 32)",0
"(1, 33)",0
"(1, 34)",0
"(1, 35)",0
"(1, 36)",0
"(1, 37)",0
"(1, 38)",0
"(1, 39)",0
"(1, 40)",0
"(1, 41)",0
"(1, 42)",0
"(1, 43)",0
"(1, 44)",0
"(1, 45)",0
"(1, 46)",0
"(1, 47)",0
"(1, 48)",0
"(1, 49)",0
"(1, 50)",0
"(1, 51)",1
"(1, 52)",1
"(1, 53)",1
"(1, 54)",1
"(1, 55)",1
"(1, 56)",1
"(1, 57)",1
"(1, 58)",1
"(1, 59)",1
"(1, 60)",1
"(1, 61)",1
"(1, 62)",1
"(1, 63)",1
"(1, 64)",1
"(1, 65)",1
"(1, 66)",1
"(1, 67)",1
"(1, 68)",1
"(1, 69)",1
"(1, 70)",1
"(1, 71)",1
"(1, 72)",1
"(1, 73)",1
"(1, 74)",1
"(1, 75)",1
"(1, 76)",1
"(1, 77)",1
"(1, 78)",1
"(1, 79)",1
"(1, 80)",1
"(1, 81)",1
"(1, 82)",1
"(1, 83)",1
"(1, 84)",1
"(1, 85)",1
"(1, 86)",1
"(1, 87)",1
"(1, 88)",1
"(1, 89)",1
"(1, 90)",1
"(1, 91)",1
"(1, 92)",1
"(1, 93)",1
"(1, 94)",1
"(1, 95)",1
"(1, 96)",1
"(1, 97)",1
"(1, 98)",1
"(1, 99)",1
"(1, 100)",1
"(1, 101)",1
"(1, 102)",1
"(1, 103)",1
"(1, 104)",1
"(1, 105)",1
"(1, 106)",1
"(1, 107)",1
"(1, 108)",1
"(1, 109)",1
"(1, 110)",1
"(1, 111)",1
"(1, 112)",1
"(1, 113)",1
"(1, 114)",1
"(1, 115)",1
"(1, 116)",1
"(1, 117)",1
"(1, 118)",1
"(1, 119)",1
"(1, 120)",1
"(1, 121)",1
"(1, 122)",1
"(1, 123)",1
"(1, 124)",0
"(1, 125)",0
"(1, 126)",0
"(1, 127)",0
"(1, 128)",0
"(1, 129)",0
"(1, 130)",0
"(1, 131)",0
"(1, 132)",0
"(1, 133)",0
"(1, 134)",0
"(1, 135)",0
"(1, 136)",0
"(1, 137)",0
"(1, 138)",0
"(1, 139)",0
"(1, 140)",0
"(1, 141)",0
"(1, 142)",0
"(1, 143)",0
"(1, 144)",0
"(1, 145)",0
