key,value
"(0, 2)",1
"(0, 3)",1
"(1, 2)",1
"(1, 3)",1
"(2, 2)",1
"(2, 3)",1
"(3, 2)",1
"(3, 3)",1
"(4, 2)",1
"(4, 3)",1
"(5, 2)",1
"(5, 3)",1
"(6, 2)",1
"(6, 3)",1
"(7, 2)",1
"(7, 3)",1
"(8, 2)",1
"(8, 3)",1
"(9, 2)",1
"(9, 3)",1
"(10, 2)",1
"(10, 3)",1
"(11, 2)",1
"(11, 3)",1
"(12, 2)",1
"(12, 3)",1
"(13, 2)",1
"(13, 3)",1
"(14, 2)",1
"(14, 3)",1
"(15, 2)",1
"(15, 3)",1
"(16, 2)",1
"(16, 3)",1
"(17, 2)",1
"(17, 3)",1
"(18, 2)",1
"(18, 3)",1
"(19, 2)",1
"(19, 3)",1
"(20, 2)",1
"(20, 3)",1
"(21, 2)",1
"(21, 3)",1
"(22, 2)",1
"(22, 3)",1
"(23, 2)",1
"(23, 3)",1
"(24, 2)",1
"(24, 3)",1
"(25, 2)",1
"(25, 3)",1
"(26, 2)",1
"(26, 3)",1
"(27, 2)",1
"(27, 3)",1
"(28, 2)",1
"(28, 3)",1
"(29, 2)",1
"(29, 3)",1
"(30, 2)",1
"(30, 3)",1
"(31, 2)",1
"(31, 3)",1
"(32, 2)",1
"(32, 3)",1
"(33, 2)",1
"(33, 3)",1
"(34, 2)",1
"(34, 3)",1
"(35, 2)",1
"(35, 3)",1
"(36, 2)",1
"(36, 3)",1
"(37, 2)",1
"(37, 3)",1
"(38, 2)",1
"(38, 3)",1
"(39, 2)",1
"(39, 3)",1
"(40, 2)",1
"(40, 3)",1
"(41, 2)",1
"(41, 3)",1
"(42, 2)",1
"(42, 3)",1
"(43, 2)",1
"(43, 3)",1
"(44, 2)",1
"(44, 3)",1
"(45, 2)",1
"(45, 3)",1
"(46, 2)",1
"(46, 3)",1
"(47, 2)",1
"(47, 3)",1
"(48, 2)",1
"(48, 3)",1
"(49, 2)",1
"(49, 3)",1
"(50, 2)",1
"(50, 3)",1
"(51, 2)",1
"(51, 3)",1
"(52, 2)",1
"(52, 3)",1
"(53, 2)",1
"(53, 3)",1
"(54, 2)",1
"(54, 3)",1
"(55, 2)",1
"(55, 3)",1
"(56, 2)",1
"(56, 3)",1
"(57, 2)",1
"(57, 3)",1
"(58, 2)",1
"(58, 3)",1
"(59, 2)",1
"(59, 3)",1
"(60, 2)",1
"(60, 3)",1
"(61, 2)",1
"(61, 3)",1
"(62, 2)",1
"(62, 3)",1
"(63, 2)",1
"(63, 3)",1
"(64, 2)",1
"(64, 3)",1
"(65, 2)",1
"(65, 3)",1
"(66, 2)",1
"(66, 3)",1
"(67, 2)",1
"(67, 3)",1
"(68, 2)",1
"(68, 3)",1
"(69, 2)",1
"(69, 3)",1
"(70, 2)",1
"(70, 3)",1
"(71, 2)",1
"(71, 3)",1
"(72, 2)",1
"(72, 3)",1
"(73, 2)",1
"(73, 3)",1
"(74, 2)",1
"(74, 3)",1
"(75, 2)",1
"(75, 3)",1
"(76, 2)",1
"(76, 3)",1
"(77, 2)",1
"(77, 3)",1
"(78, 2)",1
"(78, 3)",1
"(79, 2)",1
"(79, 3)",1
"(80, 2)",1
"(80, 3)",1
"(81, 2)",1
"(81, 3)",1
"(82, 2)",1
"(82, 3)",1
"(83, 2)",1
"(83, 3)",1
"(84, 2)",1
"(84, 3)",1
"(85, 2)",1
"(85, 3)",1
"(86, 2)",1
"(86, 3)",1
"(87, 2)",1
"(87, 3)",1
"(88, 2)",1
"(88, 3)",1
"(89, 2)",1
"(89, 3)",1
"(90, 2)",1
"(90, 3)",1
"(91, 2)",1
"(91, 3)",1
"(92, 2)",1
"(92, 3)",1
"(93, 2)",1
"(93, 3)",1
"(94, 2)",1
"(94, 3)",1
"(95, 2)",1
"(95, 3)",1
"(96, 2)",1
"(96, 3)",1
"(97, 2)",1
"(97, 3)",1
"(98, 2)",1
"(98, 3)",1
"(99, 2)",1
"(99, 3)",1
"(100, 2)",1
"(100, 3)",1
"(101, 2)",1
"(101, 3)",1
"(102, 2)",1
"(102, 3)",1
"(103, 2)",1
"(103, 3)",1
"(104, 2)",1
"(104, 3)",1
"(105, 2)",1
"(105, 3)",1
"(106, 2)",1
"(106, 3)",1
"(107, 2)",1
"(107, 3)",1
"(108, 2)",1
"(108, 3)",1
"(109, 2)",1
"(109, 3)",1
"(110, 2)",1
"(110, 3)",1
"(111, 2)",1
"(111, 3)",1
"(112, 2)",1
"(112, 3)",1
"(113, 2)",1
"(113, 3)",1
"(114, 2)",1
"(114, 3)",1
"(115, 2)",1
"(115, 3)",1
"(116, 2)",1
"(116, 3)",1
"(117, 2)",1
"(117, 3)",1
"(118, 2)",1
"(118, 3)",1
"(119, 2)",1
"(119, 3)",1
"(120, 2)",1
"(120, 3)",1
"(121, 2)",1
"(121, 3)",1
"(122, 2)",1
"(122, 3)",1
"(123, 2)",1
"(123, 3)",1
"(124, 2)",1
"(124, 3)",1
"(125, 2)",1
"(125, 3)",1
"(126, 2)",1
"(126, 3)",1
"(127, 2)",1
"(127, 3)",1
"(128, 2)",1
"(128, 3)",1
"(129, 2)",1
"(129, 3)",1
"(130, 2)",1
"(130, 3)",1
"(131, 2)",1
"(131, 3)",1
"(132, 2)",1
"(132, 3)",1
"(133, 2)",1
"(133, 3)",1
"(134, 2)",1
"(134, 3)",1
"(135, 2)",1
"(135, 3)",1
"(136, 2)",1
"(136, 3)",1
"(137, 2)",1
"(137, 3)",1
"(138, 2)",1
"(138, 3)",1
"(139, 2)",1
"(139, 3)",1
"(140, 2)",1
"(140, 3)",1
"(141, 2)",1
"(141, 3)",1
"(142, 2)",1
"(142, 3)",1
"(143, 2)",1
"(143, 3)",1
"(144, 2)",1
"(144, 3)",1
"(145, 2)",1
"(145, 3)",1
"(146, 2)",1
"(146, 3)",1
"(147, 2)",1
"(147, 3)",1
"(148, 2)",1
"(148, 3)",1
"(149, 2)",1
"(149, 3)",1
"(150, 2)",1
"(150, 3)",1
"(151, 2)",1
"(151, 3)",1
"(152, 2)",1
"(152, 3)",1
"(153, 2)",1
"(153, 3)",1
"(154, 2)",1
"(154, 3)",1
"(155, 2)",1
"(155, 3)",1
"(156, 2)",1
"(156, 3)",1
"(157, 2)",1
"(157, 3)",1
