key,value
"(0, 1)",1
"(0, 2)",0
"(0, 3)",0
"(1, 1)",1
"(1, 2)",0
"(1, 3)",0
"(2, 1)",1
"(2, 2)",0
"(2, 3)",0
"(3, 1)",1
"(3, 2)",0
"(3, 3)",0
"(4, 1)",1
"(4, 2)",0
"(4, 3)",0
"(5, 1)",1
"(5, 2)",0
"(5, 3)",0
"(6, 1)",1
"(6, 2)",0
"(6, 3)",0
"(7, 1)",1
"(7, 2)",0
"(7, 3)",0
"(8, 1)",1
"(8, 2)",0
"(8, 3)",0
"(9, 1)",1
"(9, 2)",0
"(9, 3)",0
"(10, 1)",1
"(10, 2)",0
"(10, 3)",0
"(11, 1)",1
"(11, 2)",0
"(11, 3)",0
"(12, 1)",1
"(12, 2)",0
"(12, 3)",0
"(13, 1)",1
"(13, 2)",0
"(13, 3)",0
"(14, 1)",1
"(14, 2)",0
"(14, 3)",0
"(15, 1)",1
"(15, 2)",0
"(15, 3)",0
"(16, 1)",1
"(16, 2)",0
"(16, 3)",0
"(17, 1)",1
"(17, 2)",0
"(17, 3)",0
"(18, 1)",1
"(18, 2)",0
"(18, 3)",0
"(19, 1)",1
"(19, 2)",0
"(19, 3)",0
"(20, 1)",1
"(20, 2)",0
"(20, 3)",0
"(21, 1)",1
"(21, 2)",0
"(21, 3)",0
"(22, 1)",1
"(22, 2)",0
"(22, 3)",0
"(23, 1)",1
"(23, 2)",0
"(23, 3)",0
"(24, 1)",1
"(24, 2)",0
"(24, 3)",0
"(25, 1)",1
"(25, 2)",0
"(25, 3)",0
"(26, 1)",1
"(26, 2)",0
"(26, 3)",0
"(27, 1)",1
"(27, 2)",0
"(27, 3)",0
"(28, 1)",1
"(28, 2)",0
"(28, 3)",0
"(29, 1)",1
"(29, 2)",0
"(29, 3)",0
"(30, 1)",1
"(30, 2)",0
"(30, 3)",0
"(31, 1)",1
"(31, 2)",0
"(31, 3)",0
"(32, 1)",1
"(32, 2)",0
"(32, 3)",0
"(33, 1)",1
"(33, 2)",0
"(33, 3)",0
"(34, 1)",1
"(34, 2)",0
"(34, 3)",0
"(35, 1)",1
"(35, 2)",0
"(35, 3)",0
"(36, 1)",1
"(36, 2)",0
"(36, 3)",0
"(37, 1)",1
"(37, 2)",0
"(37, 3)",0
"(38, 1)",1
"(38, 2)",0
"(38, 3)",0
"(39, 1)",1
"(39, 2)",0
"(39, 3)",0
"(40, 1)",1
"(40, 2)",0
"(40, 3)",0
"(41, 1)",1
"(41, 2)",0
"(41, 3)",0
"(42, 1)",1
"(42, 2)",0
"(42, 3)",0
"(43, 1)",1
"(43, 2)",0
"(43, 3)",0
"(44, 1)",1
"(44, 2)",0
"(44, 3)",0
"(45, 1)",1
"(45, 2)",0
"(45, 3)",0
"(46, 1)",1
"(46, 2)",0
"(46, 3)",0
"(47, 1)",1
"(47, 2)",0
"(47, 3)",0
"(48, 1)",1
"(48, 2)",0
"(48, 3)",0
"(49, 1)",1
"(49, 2)",0
"(49, 3)",0
"(50, 1)",1
"(50, 2)",0
"(50, 3)",0
"(51, 1)",1
"(51, 2)",0
"(51, 3)",0
"(52, 1)",1
"(52, 2)",0
"(52, 3)",0
"(53, 1)",1
"(53, 2)",0
"(53, 3)",0
"(54, 1)",1
"(54, 2)",0
"(54, 3)",0
"(55, 1)",1
"(55, 2)",0
"(55, 3)",0
"(56, 1)",1
"(56, 2)",0
"(56, 3)",0
"(57, 1)",1
"(57, 2)",0
"(57, 3)",0
"(58, 1)",1
"(58, 2)",0
"(58, 3)",0
"(59, 1)",1
"(59, 2)",0
"(59, 3)",0
"(60, 1)",1
"(60, 2)",0
"(60, 3)",0
"(61, 1)",1
"(61, 2)",0
"(61, 3)",0
"(62, 1)",1
"(62, 2)",0
"(62, 3)",0
"(63, 1)",1
"(63, 2)",0
"(63, 3)",0
"(64, 1)",1
"(64, 2)",0
"(64, 3)",0
"(65, 1)",1
"(65, 2)",0
"(65, 3)",0
"(66, 1)",1
"(66, 2)",0
"(66, 3)",0
"(67, 1)",1
"(67, 2)",0
"(67, 3)",0
"(68, 1)",1
"(68, 2)",0
"(68, 3)",0
"(69, 1)",1
"(69, 2)",0
"(69, 3)",0
"(70, 1)",1
"(70, 2)",0
"(70, 3)",0
"(71, 1)",1
"(71, 2)",0
"(71, 3)",0
"(72, 1)",1
"(72, 2)",0
"(72, 3)",0
"(73, 1)",1
"(73, 2)",0
"(73, 3)",0
"(74, 1)",1
"(74, 2)",0
"(74, 3)",0
"(75, 1)",1
"(75, 2)",0
"(75, 3)",0
"(76, 1)",1
"(76, 2)",0
"(76, 3)",0
"(77, 1)",1
"(77, 2)",0
"(77, 3)",0
"(78, 1)",1
"(78, 2)",0
"(78, 3)",0
"(79, 1)",1
"(79, 2)",0
"(79, 3)",0
"(80, 1)",1
"(80, 2)",0
"(80, 3)",0
"(81, 1)",1
"(81, 2)",0
"(81, 3)",0
"(82, 1)",1
"(82, 2)",0
"(82, 3)",0
"(83, 1)",1
"(83, 2)",0
"(83, 3)",0
"(84, 1)",1
"(84, 2)",0
"(84, 3)",0
"(85, 1)",1
"(85, 2)",0
"(85, 3)",0
"(86, 1)",1
"(86, 2)",0
"(86, 3)",0
"(87, 1)",1
"(87, 2)",0
"(87, 3)",0
"(88, 1)",1
"(88, 2)",0
"(88, 3)",0
"(89, 1)",1
"(89, 2)",0
"(89, 3)",0
"(90, 1)",1
"(90, 2)",0
"(90, 3)",0
"(91, 1)",1
"(91, 2)",0
"(91, 3)",0
"(92, 1)",1
"(92, 2)",0
"(92, 3)",0
"(93, 1)",1
"(93, 2)",0
"(93, 3)",0
"(94, 1)",1
"(94, 2)",0
"(94, 3)",0
"(95, 1)",1
"(95, 2)",0
"(95, 3)",0
"(96, 1)",1
"(96, 2)",0
"(96, 3)",0
"(97, 1)",1
"(97, 2)",0
"(97, 3)",0
"(98, 1)",1
"(98, 2)",0
"(98, 3)",0
"(99, 1)",1
"(99, 2)",0
"(99, 3)",0
"(100, 1)",1
"(100, 2)",0
"(100, 3)",0
"(101, 1)",1
"(101, 2)",0
"(101, 3)",0
"(102, 1)",1
"(102, 2)",0
"(102, 3)",0
"(103, 1)",1
"(103, 2)",0
"(103, 3)",0
"(104, 1)",1
"(104, 2)",0
"(104, 3)",0
"(105, 1)",1
"(105, 2)",0
"(105, 3)",0
"(106, 1)",1
"(106, 2)",0
"(106, 3)",0
"(107, 1)",1
"(107, 2)",0
"(107, 3)",0
"(108, 1)",1
"(108, 2)",0
"(108, 3)",0
"(109, 1)",1
"(109, 2)",0
"(109, 3)",0
"(110, 1)",1
"(110, 2)",0
"(110, 3)",0
"(111, 1)",1
"(111, 2)",0
"(111, 3)",0
"(112, 1)",1
"(112, 2)",0
"(112, 3)",0
"(113, 1)",1
"(113, 2)",0
"(113, 3)",0
"(114, 1)",1
"(114, 2)",0
"(114, 3)",0
"(115, 1)",1
"(115, 2)",0
"(115, 3)",0
"(116, 1)",1
"(116, 2)",0
"(116, 3)",0
"(117, 1)",1
"(117, 2)",0
"(117, 3)",0
"(118, 1)",1
"(118, 2)",0
"(118, 3)",0
"(119, 1)",1
"(119, 2)",0
"(119, 3)",0
"(120, 1)",1
