key,value
"(1, 96)",1
"(1, 97)",2
"(1, 98)",2
"(1, 99)",1
"(1, 100)",1
"(1, 101)",2
"(1, 102)",2
"(1, 103)",1
"(1, 104)",1
"(1, 105)",2
"(1, 106)",2
"(1, 107)",1
"(1, 108)",1
"(1, 109)",2
"(1, 110)",2
"(1, 111)",1
"(1, 112)",1
"(1, 113)",2
"(1, 114)",2
"(1, 115)",1
"(1, 116)",1
"(1, 117)",2
"(1, 118)",2
"(1, 119)",1
"(1, 120)",1
"(1, 121)",2
"(1, 122)",2
"(1, 123)",1
"(1, 124)",1
"(1, 125)",2
"(1, 126)",2
"(1, 127)",1
"(1, 128)",1
"(1, 129)",2
"(1, 130)",2
"(1, 131)",1
"(1, 132)",1
"(1, 133)",2
"(1, 134)",2
"(1, 135)",1
"(1, 136)",1
"(1, 137)",2
"(1, 138)",2
"(1, 139)",1
"(1, 140)",1
"(1, 141)",2
"(1, 142)",2
