key,value
"(0, 1)",310.0
"(0, 2)",nan
"(0, 3)",nan
"(1, 1)",319.8
"(1, 2)",nan
"(1, 3)",nan
"(2, 1)",329.6
"(2, 2)",nan
"(2, 3)",nan
"(3, 1)",339.4
"(3, 2)",nan
"(3, 3)",nan
"(4, 1)",349.2
"(4, 2)",nan
"(4, 3)",nan
"(5, 1)",359.0
"(5, 2)",nan
"(5, 3)",nan
"(6, 1)",368.8
"(6, 2)",nan
"(6, 3)",nan
"(7, 1)",378.6
"(7, 2)",nan
"(7, 3)",nan
"(8, 1)",388.4
"(8, 2)",nan
"(8, 3)",nan
"(9, 1)",398.2
"(9, 2)",nan
"(9, 3)",nan
"(10, 1)",408.0
"(10, 2)",nan
"(10, 3)",nan
"(11, 1)",417.8
"(11, 2)",nan
"(11, 3)",nan
"(12, 1)",427.6
"(12, 2)",nan
"(12, 3)",nan
"(13, 1)",437.4
"(13, 2)",nan
"(13, 3)",nan
"(14, 1)",447.20000000000005
"(14, 2)",nan
"(14, 3)",nan
"(15, 1)",457.0
"(15, 2)",nan
"(15, 3)",nan
"(16, 1)",466.8
"(16, 2)",nan
"(16, 3)",nan
"(17, 1)",476.6
"(17, 2)",nan
"(17, 3)",nan
"(18, 1)",486.4
"(18, 2)",nan
"(18, 3)",nan
"(19, 1)",496.20000000000005
"(19, 2)",nan
"(19, 3)",nan
"(20, 1)",506.0
"(20, 2)",nan
"(20, 3)",nan
"(21, 1)",515.8
"(21, 2)",nan
"(21, 3)",nan
"(22, 1)",525.6
"(22, 2)",nan
"(22, 3)",nan
"(23, 1)",535.4
"(23, 2)",nan
"(23, 3)",nan
"(24, 1)",545.2
"(24, 2)",nan
"(24, 3)",nan
"(25, 1)",555.0
"(25, 2)",nan
"(25, 3)",nan
"(26, 1)",564.8
"(26, 2)",nan
"(26, 3)",nan
"(27, 1)",574.6
"(27, 2)",nan
"(27, 3)",nan
"(28, 1)",584.4000000000001
"(28, 2)",nan
"(28, 3)",nan
"(29, 1)",594.2
"(29, 2)",nan
"(29, 3)",nan
"(30, 1)",604.0
"(30, 2)",nan
"(30, 3)",nan
"(31, 1)",613.8
"(31, 2)",nan
"(31, 3)",nan
"(32, 1)",623.6
"(32, 2)",nan
"(32, 3)",nan
"(33, 1)",633.4000000000001
"(33, 2)",nan
"(33, 3)",nan
"(34, 1)",643.2
"(34, 2)",nan
"(34, 3)",nan
"(35, 1)",653.0
"(35, 2)",nan
"(35, 3)",nan
"(36, 1)",662.8
"(36, 2)",nan
"(36, 3)",nan
"(37, 1)",672.6
"(37, 2)",nan
"(37, 3)",nan
"(38, 1)",682.4000000000001
"(38, 2)",nan
"(38, 3)",nan
"(39, 1)",692.2
"(39, 2)",nan
"(39, 3)",nan
"(40, 1)",702.0
"(40, 2)",nan
"(40, 3)",nan
"(41, 1)",711.8
"(41, 2)",nan
"(41, 3)",nan
"(42, 1)",721.6
"(42, 2)",nan
"(42, 3)",nan
"(43, 1)",731.4000000000001
"(43, 2)",nan
"(43, 3)",nan
"(44, 1)",741.2
"(44, 2)",nan
"(44, 3)",nan
"(45, 1)",751.0
"(45, 2)",nan
"(45, 3)",nan
"(46, 1)",760.8
"(46, 2)",nan
"(46, 3)",nan
"(47, 1)",770.6
"(47, 2)",nan
"(47, 3)",nan
"(48, 1)",780.4000000000001
"(48, 2)",nan
"(48, 3)",nan
"(49, 1)",790.2
"(49, 2)",nan
"(49, 3)",nan
"(50, 1)",800.0
"(50, 2)",nan
"(50, 3)",nan
"(51, 1)",809.8
"(51, 2)",nan
"(51, 3)",nan
"(52, 1)",819.6
"(52, 2)",nan
"(52, 3)",nan
"(53, 1)",829.4000000000001
"(53, 2)",nan
"(53, 3)",nan
"(54, 1)",839.2
"(54, 2)",nan
"(54, 3)",nan
"(55, 1)",849.0
"(55, 2)",nan
"(55, 3)",nan
"(56, 1)",858.8000000000001
"(56, 2)",nan
"(56, 3)",nan
"(57, 1)",868.6
"(57, 2)",nan
"(57, 3)",nan
"(58, 1)",878.4000000000001
"(58, 2)",nan
"(58, 3)",nan
"(59, 1)",888.2
"(59, 2)",nan
"(59, 3)",nan
"(60, 1)",898.0
"(60, 2)",nan
"(60, 3)",nan
"(61, 1)",907.8000000000001
"(61, 2)",nan
"(61, 3)",nan
"(62, 1)",917.6
"(62, 2)",nan
"(62, 3)",nan
"(63, 1)",927.4000000000001
"(63, 2)",nan
"(63, 3)",nan
"(64, 1)",937.2
"(64, 2)",nan
"(64, 3)",nan
"(65, 1)",947.0
"(65, 2)",nan
"(65, 3)",nan
"(66, 1)",956.8000000000001
"(66, 2)",nan
"(66, 3)",nan
"(67, 1)",966.6
"(67, 2)",nan
"(67, 3)",nan
"(68, 1)",976.4000000000001
"(68, 2)",nan
"(68, 3)",nan
"(69, 1)",986.2
"(69, 2)",nan
"(69, 3)",nan
"(70, 1)",996.0
"(70, 2)",nan
"(70, 3)",nan
"(71, 1)",1005.8000000000001
"(71, 2)",nan
"(71, 3)",nan
"(72, 1)",1015.6
"(72, 2)",nan
"(72, 3)",nan
"(73, 1)",1025.4
"(73, 2)",nan
"(73, 3)",nan
"(74, 1)",1035.2
"(74, 2)",nan
"(74, 3)",nan
"(75, 1)",1045.0
"(75, 2)",nan
"(75, 3)",nan
"(76, 1)",1054.8000000000002
"(76, 2)",nan
"(76, 3)",nan
"(77, 1)",1064.6
"(77, 2)",nan
"(77, 3)",nan
"(78, 1)",1074.4
"(78, 2)",nan
"(78, 3)",nan
"(79, 1)",1084.2
"(79, 2)",nan
"(79, 3)",nan
"(80, 1)",1094.0
"(80, 2)",nan
"(80, 3)",nan
"(81, 1)",1103.8000000000002
"(81, 2)",nan
"(81, 3)",nan
"(82, 1)",1113.6
"(82, 2)",nan
"(82, 3)",nan
"(83, 1)",1123.4
"(83, 2)",nan
"(83, 3)",nan
"(84, 1)",1133.2
"(84, 2)",nan
"(84, 3)",nan
"(85, 1)",1143.0
"(85, 2)",nan
"(85, 3)",nan
"(86, 1)",1152.8000000000002
"(86, 2)",nan
"(86, 3)",nan
"(87, 1)",1162.6
"(87, 2)",nan
"(87, 3)",nan
"(88, 1)",1172.4
"(88, 2)",nan
"(88, 3)",nan
"(89, 1)",1182.2
"(89, 2)",nan
"(89, 3)",nan
"(90, 1)",1192.0
"(90, 2)",nan
"(90, 3)",nan
"(91, 1)",1201.8000000000002
"(91, 2)",nan
"(91, 3)",nan
"(92, 1)",1211.6
"(92, 2)",nan
"(92, 3)",nan
"(93, 1)",1221.4
"(93, 2)",nan
"(93, 3)",nan
"(94, 1)",1231.2
"(94, 2)",nan
"(94, 3)",nan
"(95, 1)",1241.0
"(95, 2)",nan
"(95, 3)",nan
"(96, 1)",1250.8000000000002
"(96, 2)",nan
"(96, 3)",nan
"(97, 1)",1260.6
"(97, 2)",nan
"(97, 3)",nan
"(98, 1)",1270.4
"(98, 2)",nan
"(98, 3)",nan
"(99, 1)",1280.2
"(99, 2)",nan
"(99, 3)",nan
"(100, 1)",1290.0
"(100, 2)",nan
"(100, 3)",nan
"(101, 1)",1299.8000000000002
"(101, 2)",nan
"(101, 3)",nan
"(102, 1)",1309.6
"(102, 2)",nan
"(102, 3)",nan
"(103, 1)",1319.4
"(103, 2)",nan
"(103, 3)",nan
"(104, 1)",1329.2
"(104, 2)",nan
"(104, 3)",nan
"(105, 1)",1339.0
"(105, 2)",nan
"(105, 3)",nan
"(106, 1)",1348.8000000000002
"(106, 2)",nan
"(106, 3)",nan
"(107, 1)",1358.6000000000001
"(107, 2)",nan
"(107, 3)",nan
"(108, 1)",1368.4
"(108, 2)",nan
"(108, 3)",nan
"(109, 1)",1378.2
"(109, 2)",nan
"(109, 3)",nan
"(110, 1)",1388.0
"(110, 2)",nan
"(110, 3)",nan
"(111, 1)",1397.8000000000002
"(111, 2)",nan
"(111, 3)",nan
"(112, 1)",1407.6000000000001
"(112, 2)",nan
"(112, 3)",nan
"(113, 1)",1417.4
"(113, 2)",nan
"(113, 3)",nan
"(114, 1)",1427.2
"(114, 2)",nan
"(114, 3)",nan
"(115, 1)",1437.0
"(115, 2)",nan
"(115, 3)",nan
"(116, 1)",1446.8000000000002
"(116, 2)",nan
"(116, 3)",nan
"(117, 1)",1456.6000000000001
"(117, 2)",nan
"(117, 3)",nan
"(118, 1)",1466.4
"(118, 2)",nan
"(118, 3)",nan
"(119, 1)",1476.2
"(119, 2)",nan
"(119, 3)",nan
"(120, 1)",1486.0
"(120, 2)",nan
"(120, 3)",nan
"(121, 1)",1495.8000000000002
"(121, 2)",nan
"(121, 3)",nan
"(122, 1)",1505.6000000000001
"(122, 2)",nan
"(122, 3)",nan
"(123, 1)",1515.4
"(123, 2)",nan
"(123, 3)",nan
"(124, 1)",1525.2
"(124, 2)",nan
"(124, 3)",nan
"(125, 1)",1535.0
"(125, 2)",nan
"(125, 3)",nan
"(126, 1)",1544.8000000000002
"(126, 2)",nan
"(126, 3)",nan
"(127, 1)",1554.6000000000001
"(127, 2)",nan
"(127, 3)",nan
"(128, 1)",1564.4
"(128, 2)",nan
"(128, 3)",nan
"(129, 1)",1574.2
"(129, 2)",nan
"(129, 3)",nan
"(130, 1)",1584.0
"(130, 2)",nan
"(130, 3)",nan
"(131, 1)",1593.8000000000002
"(131, 2)",nan
"(131, 3)",nan
"(132, 1)",1603.6000000000001
"(132, 2)",nan
"(132, 3)",nan
"(133, 1)",1613.4
"(133, 2)",nan
"(133, 3)",nan
"(134, 1)",1623.2
"(134, 2)",nan
"(134, 3)",nan
"(135, 1)",1633.0
"(135, 2)",nan
"(135, 3)",nan
"(136, 1)",1642.8000000000002
"(136, 2)",nan
"(136, 3)",nan
"(137, 1)",1652.6000000000001
"(137, 2)",nan
"(137, 3)",nan
"(138, 1)",1662.4
"(138, 2)",nan
"(138, 3)",nan
"(139, 1)",1672.2
"(139, 2)",nan
"(139, 3)",nan
"(140, 1)",1682.0
"(140, 2)",nan
"(140, 3)",nan
"(141, 1)",1691.8000000000002
"(141, 2)",nan
"(141, 3)",nan
"(142, 1)",1701.6000000000001
"(142, 2)",nan
"(142, 3)",nan
"(143, 1)",1711.4
"(143, 2)",nan
"(143, 3)",nan
"(144, 1)",1721.2
"(144, 2)",nan
"(144, 3)",nan
"(145, 1)",1731.0
"(145, 2)",nan
"(145, 3)",nan
"(146, 1)",1740.8000000000002
"(146, 2)",nan
"(146, 3)",nan
"(147, 1)",1750.6000000000001
"(147, 2)",nan
"(147, 3)",nan
"(148, 1)",1760.4
"(148, 2)",nan
"(148, 3)",nan
"(149, 1)",1770.2
"(149, 2)",nan
"(149, 3)",nan
"(150, 1)",1780.0
"(150, 2)",nan
"(150, 3)",nan
"(151, 1)",1789.8000000000002
"(151, 2)",nan
"(151, 3)",nan
"(152, 1)",1799.6000000000001
"(152, 2)",nan
"(152, 3)",nan
"(153, 1)",1809.4
"(153, 2)",nan
"(153, 3)",nan
"(154, 1)",1819.2
"(154, 2)",nan
"(154, 3)",nan
"(155, 1)",1829.0
"(155, 2)",nan
"(155, 3)",nan
"(156, 1)",1838.8000000000002
"(156, 2)",nan
"(156, 3)",nan
"(157, 1)",1848.6000000000001
"(157, 2)",nan
"(157, 3)",nan
"(158, 1)",1858.4
"(158, 2)",nan
"(158, 3)",nan
"(159, 1)",1868.2
"(159, 2)",nan
"(159, 3)",nan
"(160, 1)",1878.0
"(160, 2)",nan
"(160, 3)",nan
"(161, 1)",1887.8000000000002
"(161, 2)",nan
"(161, 3)",nan
"(162, 1)",1897.6000000000001
"(162, 2)",nan
"(162, 3)",nan
"(163, 1)",1907.4
"(163, 2)",nan
"(163, 3)",nan
"(164, 1)",1917.2
"(164, 2)",nan
"(164, 3)",nan
"(165, 1)",1927.0000000000002
"(165, 2)",nan
"(165, 3)",nan
"(166, 1)",1936.8000000000002
"(166, 2)",nan
"(166, 3)",nan
"(167, 1)",1946.6000000000001
"(167, 2)",nan
"(167, 3)",nan
"(168, 1)",1956.4
"(168, 2)",nan
"(168, 3)",nan
"(169, 1)",1966.2
"(169, 2)",nan
"(169, 3)",nan
"(170, 1)",1976.0000000000002
"(170, 2)",nan
"(170, 3)",nan
"(171, 1)",1985.8000000000002
"(171, 2)",nan
"(171, 3)",nan
"(172, 1)",1995.6000000000001
"(172, 2)",nan
"(172, 3)",nan
"(173, 1)",2005.4
"(173, 2)",nan
"(173, 3)",nan
"(174, 1)",2015.2
"(174, 2)",nan
"(174, 3)",nan
"(175, 1)",2025.0000000000002
"(175, 2)",nan
"(175, 3)",nan
"(176, 1)",2034.8000000000002
"(176, 2)",nan
"(176, 3)",nan
"(177, 1)",2044.6000000000001
"(177, 2)",nan
"(177, 3)",nan
"(178, 1)",2054.4
"(178, 2)",nan
"(178, 3)",nan
"(179, 1)",2064.2
"(179, 2)",nan
"(179, 3)",nan
"(180, 1)",2074.0
"(180, 2)",nan
"(180, 3)",nan
"(181, 1)",2083.8
"(181, 2)",nan
"(181, 3)",nan
"(182, 1)",2093.6000000000004
"(182, 2)",nan
"(182, 3)",nan
"(183, 1)",2103.4
"(183, 2)",nan
"(183, 3)",nan
"(184, 1)",2113.2
"(184, 2)",nan
"(184, 3)",nan
"(185, 1)",2123.0
"(185, 2)",nan
"(185, 3)",nan
"(186, 1)",2132.8
