key,value
"(0, 1)",-145.0
"(0, 2)",nan
"(0, 3)",nan
"(1, 1)",-134.5
"(1, 2)",nan
"(1, 3)",nan
"(2, 1)",-124.0
"(2, 2)",nan
"(2, 3)",nan
"(3, 1)",-113.5
"(3, 2)",nan
"(3, 3)",nan
"(4, 1)",-103.0
"(4, 2)",nan
"(4, 3)",nan
"(5, 1)",-92.5
"(5, 2)",nan
"(5, 3)",nan
"(6, 1)",-82.0
"(6, 2)",nan
"(6, 3)",nan
"(7, 1)",-71.5
"(7, 2)",nan
"(7, 3)",nan
"(8, 1)",-61.0
"(8, 2)",nan
"(8, 3)",nan
"(9, 1)",-50.5
"(9, 2)",nan
"(9, 3)",nan
"(10, 1)",-40.0
"(10, 2)",nan
"(10, 3)",nan
"(11, 1)",-29.5
"(11, 2)",nan
"(11, 3)",nan
"(12, 1)",-19.0
"(12, 2)",nan
"(12, 3)",nan
"(13, 1)",-8.5
"(13, 2)",nan
"(13, 3)",nan
"(14, 1)",2.0
"(14, 2)",nan
"(14, 3)",nan
"(15, 1)",12.5
"(15, 2)",nan
"(15, 3)",nan
"(16, 1)",23.0
"(16, 2)",nan
"(16, 3)",nan
"(17, 1)",33.5
"(17, 2)",nan
"(17, 3)",nan
"(18, 1)",44.0
"(18, 2)",nan
"(18, 3)",nan
"(19, 1)",54.5
"(19, 2)",nan
"(19, 3)",nan
"(20, 1)",65.0
"(20, 2)",nan
"(20, 3)",nan
"(21, 1)",75.5
"(21, 2)",nan
"(21, 3)",nan
"(22, 1)",86.0
"(22, 2)",nan
"(22, 3)",nan
"(23, 1)",96.5
"(23, 2)",nan
"(23, 3)",nan
"(24, 1)",107.0
"(24, 2)",nan
"(24, 3)",nan
"(25, 1)",117.5
"(25, 2)",nan
"(25, 3)",nan
"(26, 1)",128.0
"(26, 2)",nan
"(26, 3)",nan
"(27, 1)",138.5
"(27, 2)",nan
"(27, 3)",nan
"(28, 1)",149.0
"(28, 2)",nan
"(28, 3)",nan
"(29, 1)",159.5
"(29, 2)",nan
"(29, 3)",nan
"(30, 1)",170.0
"(30, 2)",nan
"(30, 3)",nan
"(31, 1)",180.5
"(31, 2)",nan
"(31, 3)",nan
"(32, 1)",191.0
"(32, 2)",nan
"(32, 3)",nan
"(33, 1)",201.5
"(33, 2)",nan
"(33, 3)",nan
"(34, 1)",212.0
"(34, 2)",nan
"(34, 3)",nan
