key,value
"(1, 96)",2
"(1, 97)",3
"(1, 98)",3
"(1, 99)",2
"(1, 100)",2
"(1, 101)",3
"(1, 102)",3
"(1, 103)",2
"(1, 104)",2
"(1, 105)",3
"(1, 106)",3
"(1, 107)",2
"(1, 108)",2
"(1, 109)",3
"(1, 110)",3
"(1, 111)",2
"(1, 112)",2
"(1, 113)",3
"(1, 114)",3
"(1, 115)",2
"(1, 116)",2
"(1, 117)",3
"(1, 118)",3
"(1, 119)",2
"(1, 120)",2
"(1, 121)",3
"(1, 122)",3
"(1, 123)",2
"(1, 124)",2
"(1, 125)",3
"(1, 126)",3
"(1, 127)",2
"(1, 128)",2
"(1, 129)",3
"(1, 130)",3
"(1, 131)",2
"(1, 132)",2
"(1, 133)",3
"(1, 134)",3
"(1, 135)",2
"(1, 136)",2
"(1, 137)",3
"(1, 138)",3
"(1, 139)",2
"(1, 140)",2
"(1, 141)",3
"(1, 142)",3
