key,value
"(0, 1)",9.8
"(0, 2)",nan
"(0, 3)",nan
"(1, 1)",9.8
"(1, 2)",nan
"(1, 3)",nan
"(2, 1)",9.8
"(2, 2)",nan
"(2, 3)",nan
"(3, 1)",9.8
"(3, 2)",nan
"(3, 3)",nan
"(4, 1)",9.8
"(4, 2)",nan
"(4, 3)",nan
"(5, 1)",9.8
"(5, 2)",nan
"(5, 3)",nan
"(6, 1)",9.8
"(6, 2)",nan
"(6, 3)",nan
"(7, 1)",9.8
"(7, 2)",nan
"(7, 3)",nan
"(8, 1)",9.8
"(8, 2)",nan
"(8, 3)",nan
"(9, 1)",9.8
"(9, 2)",nan
"(9, 3)",nan
"(10, 1)",9.8
"(10, 2)",nan
"(10, 3)",nan
"(11, 1)",9.8
"(11, 2)",nan
"(11, 3)",nan
"(12, 1)",9.8
"(12, 2)",nan
"(12, 3)",nan
"(13, 1)",9.8
"(13, 2)",nan
"(13, 3)",nan
"(14, 1)",9.8
"(14, 2)",nan
"(14, 3)",nan
"(15, 1)",9.8
"(15, 2)",nan
"(15, 3)",nan
"(16, 1)",9.8
"(16, 2)",nan
"(16, 3)",nan
"(17, 1)",9.8
"(17, 2)",nan
"(17, 3)",nan
"(18, 1)",9.8
"(18, 2)",nan
"(18, 3)",nan
"(19, 1)",9.8
"(19, 2)",nan
"(19, 3)",nan
"(20, 1)",9.8
"(20, 2)",nan
"(20, 3)",nan
"(21, 1)",9.8
"(21, 2)",nan
"(21, 3)",nan
"(22, 1)",9.8
"(22, 2)",nan
"(22, 3)",nan
"(23, 1)",9.8
"(23, 2)",nan
"(23, 3)",nan
"(24, 1)",9.8
"(24, 2)",nan
"(24, 3)",nan
"(25, 1)",9.8
"(25, 2)",nan
"(25, 3)",nan
"(26, 1)",9.8
"(26, 2)",nan
"(26, 3)",nan
"(27, 1)",9.8
"(27, 2)",nan
"(27, 3)",nan
"(28, 1)",9.8
"(28, 2)",nan
"(28, 3)",nan
"(29, 1)",9.8
"(29, 2)",nan
"(29, 3)",nan
"(30, 1)",9.8
"(30, 2)",nan
"(30, 3)",nan
"(31, 1)",9.8
"(31, 2)",nan
"(31, 3)",nan
"(32, 1)",9.8
"(32, 2)",nan
"(32, 3)",nan
"(33, 1)",9.8
"(33, 2)",nan
"(33, 3)",nan
"(34, 1)",9.8
"(34, 2)",nan
"(34, 3)",nan
"(35, 1)",9.8
"(35, 2)",nan
"(35, 3)",nan
"(36, 1)",9.8
"(36, 2)",nan
"(36, 3)",nan
"(37, 1)",9.8
"(37, 2)",nan
"(37, 3)",nan
"(38, 1)",9.8
"(38, 2)",nan
"(38, 3)",nan
"(39, 1)",9.8
"(39, 2)",nan
"(39, 3)",nan
"(40, 1)",9.8
"(40, 2)",nan
"(40, 3)",nan
"(41, 1)",9.8
"(41, 2)",nan
"(41, 3)",nan
"(42, 1)",9.8
"(42, 2)",nan
"(42, 3)",nan
"(43, 1)",9.8
"(43, 2)",nan
"(43, 3)",nan
"(44, 1)",9.8
"(44, 2)",nan
"(44, 3)",nan
"(45, 1)",9.8
"(45, 2)",nan
"(45, 3)",nan
"(46, 1)",9.8
"(46, 2)",nan
"(46, 3)",nan
"(47, 1)",9.8
"(47, 2)",nan
"(47, 3)",nan
"(48, 1)",9.8
"(48, 2)",nan
"(48, 3)",nan
"(49, 1)",9.8
"(49, 2)",nan
"(49, 3)",nan
"(50, 1)",9.8
"(50, 2)",nan
"(50, 3)",nan
"(51, 1)",9.8
"(51, 2)",nan
"(51, 3)",nan
"(52, 1)",9.8
"(52, 2)",nan
"(52, 3)",nan
"(53, 1)",9.8
"(53, 2)",nan
"(53, 3)",nan
"(54, 1)",9.8
"(54, 2)",nan
"(54, 3)",nan
"(55, 1)",9.8
"(55, 2)",nan
"(55, 3)",nan
"(56, 1)",9.8
"(56, 2)",nan
"(56, 3)",nan
"(57, 1)",9.8
"(57, 2)",nan
"(57, 3)",nan
"(58, 1)",9.8
"(58, 2)",nan
"(58, 3)",nan
"(59, 1)",9.8
"(59, 2)",nan
"(59, 3)",nan
"(60, 1)",9.8
"(60, 2)",nan
"(60, 3)",nan
"(61, 1)",9.8
"(61, 2)",nan
"(61, 3)",nan
"(62, 1)",9.8
"(62, 2)",nan
"(62, 3)",nan
"(63, 1)",9.8
"(63, 2)",nan
"(63, 3)",nan
"(64, 1)",9.8
"(64, 2)",nan
"(64, 3)",nan
"(65, 1)",9.8
"(65, 2)",nan
"(65, 3)",nan
"(66, 1)",9.8
"(66, 2)",nan
"(66, 3)",nan
"(67, 1)",9.8
"(67, 2)",nan
"(67, 3)",nan
"(68, 1)",9.8
"(68, 2)",nan
"(68, 3)",nan
"(69, 1)",9.8
"(69, 2)",nan
"(69, 3)",nan
"(70, 1)",9.8
"(70, 2)",nan
"(70, 3)",nan
"(71, 1)",9.8
"(71, 2)",nan
"(71, 3)",nan
"(72, 1)",9.8
"(72, 2)",nan
"(72, 3)",nan
"(73, 1)",9.8
"(73, 2)",nan
"(73, 3)",nan
"(74, 1)",9.8
"(74, 2)",nan
"(74, 3)",nan
"(75, 1)",9.8
"(75, 2)",nan
"(75, 3)",nan
"(76, 1)",9.8
"(76, 2)",nan
"(76, 3)",nan
"(77, 1)",9.8
"(77, 2)",nan
"(77, 3)",nan
"(78, 1)",9.8
"(78, 2)",nan
"(78, 3)",nan
"(79, 1)",9.8
"(79, 2)",nan
"(79, 3)",nan
"(80, 1)",9.8
"(80, 2)",nan
"(80, 3)",nan
"(81, 1)",9.8
"(81, 2)",nan
"(81, 3)",nan
"(82, 1)",9.8
"(82, 2)",nan
"(82, 3)",nan
"(83, 1)",9.8
"(83, 2)",nan
"(83, 3)",nan
"(84, 1)",9.8
"(84, 2)",nan
"(84, 3)",nan
"(85, 1)",9.8
"(85, 2)",nan
"(85, 3)",nan
"(86, 1)",9.8
"(86, 2)",nan
"(86, 3)",nan
"(87, 1)",9.8
"(87, 2)",nan
"(87, 3)",nan
"(88, 1)",9.8
"(88, 2)",nan
"(88, 3)",nan
"(89, 1)",9.8
"(89, 2)",nan
"(89, 3)",nan
"(90, 1)",9.8
"(90, 2)",nan
"(90, 3)",nan
"(91, 1)",9.8
"(91, 2)",nan
"(91, 3)",nan
"(92, 1)",9.8
"(92, 2)",nan
"(92, 3)",nan
"(93, 1)",9.8
"(93, 2)",nan
"(93, 3)",nan
"(94, 1)",9.8
"(94, 2)",nan
"(94, 3)",nan
"(95, 1)",9.8
"(95, 2)",nan
"(95, 3)",nan
"(96, 1)",9.8
"(96, 2)",nan
"(96, 3)",nan
"(97, 1)",9.8
"(97, 2)",nan
"(97, 3)",nan
"(98, 1)",9.8
"(98, 2)",nan
"(98, 3)",nan
"(99, 1)",9.8
"(99, 2)",nan
"(99, 3)",nan
"(100, 1)",9.8
"(100, 2)",nan
"(100, 3)",nan
"(101, 1)",9.8
"(101, 2)",nan
"(101, 3)",nan
"(102, 1)",9.8
"(102, 2)",nan
"(102, 3)",nan
"(103, 1)",9.8
"(103, 2)",nan
"(103, 3)",nan
"(104, 1)",9.8
"(104, 2)",nan
"(104, 3)",nan
"(105, 1)",9.8
"(105, 2)",nan
"(105, 3)",nan
"(106, 1)",9.8
"(106, 2)",nan
"(106, 3)",nan
"(107, 1)",9.8
"(107, 2)",nan
"(107, 3)",nan
"(108, 1)",9.8
"(108, 2)",nan
"(108, 3)",nan
"(109, 1)",9.8
"(109, 2)",nan
"(109, 3)",nan
"(110, 1)",9.8
"(110, 2)",nan
"(110, 3)",nan
"(111, 1)",9.8
"(111, 2)",nan
"(111, 3)",nan
"(112, 1)",9.8
"(112, 2)",nan
"(112, 3)",nan
"(113, 1)",9.8
"(113, 2)",nan
"(113, 3)",nan
"(114, 1)",9.8
"(114, 2)",nan
"(114, 3)",nan
"(115, 1)",9.8
"(115, 2)",nan
"(115, 3)",nan
"(116, 1)",9.8
"(116, 2)",nan
"(116, 3)",nan
"(117, 1)",9.8
"(117, 2)",nan
"(117, 3)",nan
"(118, 1)",9.8
"(118, 2)",nan
"(118, 3)",nan
"(119, 1)",9.8
"(119, 2)",nan
"(119, 3)",nan
"(120, 1)",9.8
"(120, 2)",nan
"(120, 3)",nan
"(121, 1)",9.8
"(121, 2)",nan
"(121, 3)",nan
"(122, 1)",9.8
"(122, 2)",nan
"(122, 3)",nan
"(123, 1)",9.8
"(123, 2)",nan
"(123, 3)",nan
"(124, 1)",9.8
"(124, 2)",nan
"(124, 3)",nan
"(125, 1)",9.8
"(125, 2)",nan
"(125, 3)",nan
"(126, 1)",9.8
"(126, 2)",nan
"(126, 3)",nan
"(127, 1)",9.8
"(127, 2)",nan
"(127, 3)",nan
"(128, 1)",9.8
"(128, 2)",nan
"(128, 3)",nan
