key,value
"(0, 1)",10.5
"(0, 2)",nan
"(0, 3)",nan
"(1, 1)",10.5
"(1, 2)",nan
"(1, 3)",nan
"(2, 1)",10.5
"(2, 2)",nan
"(2, 3)",nan
"(3, 1)",10.5
"(3, 2)",nan
"(3, 3)",nan
"(4, 1)",10.5
"(4, 2)",nan
"(4, 3)",nan
"(5, 1)",10.5
"(5, 2)",nan
"(5, 3)",nan
"(6, 1)",10.5
"(6, 2)",nan
"(6, 3)",nan
"(7, 1)",10.5
"(7, 2)",nan
"(7, 3)",nan
"(8, 1)",10.5
"(8, 2)",nan
"(8, 3)",nan
"(9, 1)",10.5
"(9, 2)",nan
"(9, 3)",nan
"(10, 1)",10.5
"(10, 2)",nan
"(10, 3)",nan
"(11, 1)",10.5
"(11, 2)",nan
"(11, 3)",nan
"(12, 1)",10.5
"(12, 2)",nan
"(12, 3)",nan
"(13, 1)",10.5
"(13, 2)",nan
"(13, 3)",nan
"(14, 1)",10.5
"(14, 2)",nan
"(14, 3)",nan
"(15, 1)",10.5
"(15, 2)",nan
"(15, 3)",nan
"(16, 1)",10.5
"(16, 2)",nan
"(16, 3)",nan
"(17, 1)",10.5
"(17, 2)",nan
"(17, 3)",nan
"(18, 1)",10.5
"(18, 2)",nan
"(18, 3)",nan
"(19, 1)",10.5
"(19, 2)",nan
"(19, 3)",nan
"(20, 1)",10.5
"(20, 2)",nan
"(20, 3)",nan
"(21, 1)",10.5
"(21, 2)",nan
"(21, 3)",nan
"(22, 1)",10.5
"(22, 2)",nan
"(22, 3)",nan
"(23, 1)",10.5
"(23, 2)",nan
"(23, 3)",nan
"(24, 1)",10.5
"(24, 2)",nan
"(24, 3)",nan
"(25, 1)",10.5
"(25, 2)",nan
"(25, 3)",nan
"(26, 1)",10.5
"(26, 2)",nan
"(26, 3)",nan
"(27, 1)",10.5
"(27, 2)",nan
"(27, 3)",nan
"(28, 1)",10.5
"(28, 2)",nan
"(28, 3)",nan
"(29, 1)",10.5
"(29, 2)",nan
"(29, 3)",nan
"(30, 1)",10.5
"(30, 2)",nan
"(30, 3)",nan
"(31, 1)",10.5
"(31, 2)",nan
"(31, 3)",nan
"(32, 1)",10.5
"(32, 2)",nan
"(32, 3)",nan
"(33, 1)",10.5
"(33, 2)",nan
"(33, 3)",nan
"(34, 1)",10.5
"(34, 2)",nan
"(34, 3)",nan
"(35, 1)",10.5
"(35, 2)",nan
"(35, 3)",nan
"(36, 1)",10.5
"(36, 2)",nan
"(36, 3)",nan
"(37, 1)",10.5
"(37, 2)",nan
"(37, 3)",nan
"(38, 1)",10.5
"(38, 2)",nan
"(38, 3)",nan
"(39, 1)",10.5
"(39, 2)",nan
"(39, 3)",nan
"(40, 1)",10.5
"(40, 2)",nan
"(40, 3)",nan
"(41, 1)",10.5
"(41, 2)",nan
"(41, 3)",nan
"(42, 1)",10.5
"(42, 2)",nan
"(42, 3)",nan
"(43, 1)",10.5
"(43, 2)",nan
"(43, 3)",nan
"(44, 1)",10.5
"(44, 2)",nan
"(44, 3)",nan
"(45, 1)",10.5
"(45, 2)",nan
"(45, 3)",nan
"(46, 1)",10.5
"(46, 2)",nan
"(46, 3)",nan
"(47, 1)",10.5
"(47, 2)",nan
"(47, 3)",nan
"(48, 1)",10.5
"(48, 2)",nan
"(48, 3)",nan
"(49, 1)",10.5
"(49, 2)",nan
"(49, 3)",nan
"(50, 1)",10.5
"(50, 2)",nan
"(50, 3)",nan
"(51, 1)",10.5
"(51, 2)",nan
"(51, 3)",nan
"(52, 1)",10.5
"(52, 2)",nan
"(52, 3)",nan
"(53, 1)",10.5
"(53, 2)",nan
"(53, 3)",nan
"(54, 1)",10.5
"(54, 2)",nan
"(54, 3)",nan
"(55, 1)",10.5
"(55, 2)",nan
"(55, 3)",nan
"(56, 1)",10.5
"(56, 2)",nan
"(56, 3)",nan
"(57, 1)",10.5
"(57, 2)",nan
"(57, 3)",nan
"(58, 1)",10.5
"(58, 2)",nan
"(58, 3)",nan
"(59, 1)",10.5
"(59, 2)",nan
"(59, 3)",nan
"(60, 1)",10.5
"(60, 2)",nan
"(60, 3)",nan
"(61, 1)",10.5
"(61, 2)",nan
"(61, 3)",nan
"(62, 1)",10.5
"(62, 2)",nan
"(62, 3)",nan
"(63, 1)",10.5
"(63, 2)",nan
"(63, 3)",nan
"(64, 1)",10.5
"(64, 2)",nan
"(64, 3)",nan
"(65, 1)",10.5
"(65, 2)",nan
"(65, 3)",nan
"(66, 1)",10.5
"(66, 2)",nan
"(66, 3)",nan
"(67, 1)",10.5
"(67, 2)",nan
"(67, 3)",nan
"(68, 1)",10.5
"(68, 2)",nan
"(68, 3)",nan
"(69, 1)",10.5
"(69, 2)",nan
"(69, 3)",nan
"(70, 1)",10.5
"(70, 2)",nan
"(70, 3)",nan
"(71, 1)",10.5
"(71, 2)",nan
"(71, 3)",nan
"(72, 1)",10.5
"(72, 2)",nan
"(72, 3)",nan
"(73, 1)",10.5
"(73, 2)",nan
"(73, 3)",nan
"(74, 1)",10.5
"(74, 2)",nan
"(74, 3)",nan
"(75, 1)",10.5
"(75, 2)",nan
"(75, 3)",nan
"(76, 1)",10.5
"(76, 2)",nan
"(76, 3)",nan
"(77, 1)",10.5
"(77, 2)",nan
"(77, 3)",nan
"(78, 1)",10.5
"(78, 2)",nan
"(78, 3)",nan
"(79, 1)",10.5
"(79, 2)",nan
"(79, 3)",nan
"(80, 1)",10.5
"(80, 2)",nan
"(80, 3)",nan
"(81, 1)",10.5
"(81, 2)",nan
"(81, 3)",nan
"(82, 1)",10.5
"(82, 2)",nan
"(82, 3)",nan
"(83, 1)",10.5
"(83, 2)",nan
"(83, 3)",nan
"(84, 1)",10.5
"(84, 2)",nan
"(84, 3)",nan
"(85, 1)",10.5
"(85, 2)",nan
"(85, 3)",nan
"(86, 1)",10.5
"(86, 2)",nan
"(86, 3)",nan
"(87, 1)",10.5
"(87, 2)",nan
"(87, 3)",nan
"(88, 1)",10.5
"(88, 2)",nan
"(88, 3)",nan
"(89, 1)",10.5
"(89, 2)",nan
"(89, 3)",nan
"(90, 1)",10.5
"(90, 2)",nan
"(90, 3)",nan
"(91, 1)",10.5
"(91, 2)",nan
"(91, 3)",nan
"(92, 1)",10.5
"(92, 2)",nan
"(92, 3)",nan
"(93, 1)",10.5
"(93, 2)",nan
"(93, 3)",nan
"(94, 1)",10.5
"(94, 2)",nan
"(94, 3)",nan
"(95, 1)",10.5
"(95, 2)",nan
"(95, 3)",nan
"(96, 1)",10.5
"(96, 2)",nan
"(96, 3)",nan
"(97, 1)",10.5
"(97, 2)",nan
"(97, 3)",nan
"(98, 1)",10.5
"(98, 2)",nan
"(98, 3)",nan
"(99, 1)",10.5
"(99, 2)",nan
"(99, 3)",nan
"(100, 1)",10.5
"(100, 2)",nan
"(100, 3)",nan
"(101, 1)",10.5
"(101, 2)",nan
"(101, 3)",nan
"(102, 1)",10.5
"(102, 2)",nan
"(102, 3)",nan
"(103, 1)",10.5
"(103, 2)",nan
"(103, 3)",nan
"(104, 1)",10.5
"(104, 2)",nan
"(104, 3)",nan
"(105, 1)",10.5
"(105, 2)",nan
"(105, 3)",nan
"(106, 1)",10.5
"(106, 2)",nan
"(106, 3)",nan
"(107, 1)",10.5
"(107, 2)",nan
"(107, 3)",nan
"(108, 1)",10.5
"(108, 2)",nan
"(108, 3)",nan
"(109, 1)",10.5
"(109, 2)",nan
"(109, 3)",nan
"(110, 1)",10.5
"(110, 2)",nan
"(110, 3)",nan
"(111, 1)",10.5
"(111, 2)",nan
"(111, 3)",nan
"(112, 1)",10.5
"(112, 2)",nan
"(112, 3)",nan
"(113, 1)",10.5
"(113, 2)",nan
"(113, 3)",nan
"(114, 1)",10.5
"(114, 2)",nan
"(114, 3)",nan
"(115, 1)",10.5
"(115, 2)",nan
"(115, 3)",nan
"(116, 1)",10.5
"(116, 2)",nan
"(116, 3)",nan
"(117, 1)",10.5
"(117, 2)",nan
"(117, 3)",nan
"(118, 1)",10.5
"(118, 2)",nan
"(118, 3)",nan
"(119, 1)",10.5
"(119, 2)",nan
"(119, 3)",nan
"(120, 1)",10.5
"(120, 2)",nan
"(120, 3)",nan
"(121, 1)",10.5
"(121, 2)",nan
"(121, 3)",nan
"(122, 1)",10.5
"(122, 2)",nan
"(122, 3)",nan
"(123, 1)",10.5
"(123, 2)",nan
"(123, 3)",nan
"(124, 1)",10.5
"(124, 2)",nan
"(124, 3)",nan
"(125, 1)",10.5
"(125, 2)",nan
"(125, 3)",nan
"(126, 1)",10.5
"(126, 2)",nan
"(126, 3)",nan
"(127, 1)",10.5
"(127, 2)",nan
"(127, 3)",nan
"(128, 1)",10.5
"(128, 2)",nan
"(128, 3)",nan
"(129, 1)",10.5
"(129, 2)",nan
"(129, 3)",nan
"(130, 1)",10.5
"(130, 2)",nan
"(130, 3)",nan
"(131, 1)",10.5
"(131, 2)",nan
"(131, 3)",nan
"(132, 1)",10.5
"(132, 2)",nan
"(132, 3)",nan
"(133, 1)",10.5
"(133, 2)",nan
"(133, 3)",nan
"(134, 1)",10.5
"(134, 2)",nan
"(134, 3)",nan
"(135, 1)",10.5
"(135, 2)",nan
"(135, 3)",nan
"(136, 1)",10.5
"(136, 2)",nan
"(136, 3)",nan
"(137, 1)",10.5
"(137, 2)",nan
"(137, 3)",nan
"(138, 1)",10.5
"(138, 2)",nan
"(138, 3)",nan
"(139, 1)",10.5
"(139, 2)",nan
"(139, 3)",nan
"(140, 1)",10.5
"(140, 2)",nan
"(140, 3)",nan
"(141, 1)",10.5
"(141, 2)",nan
"(141, 3)",nan
"(142, 1)",10.5
"(142, 2)",nan
"(142, 3)",nan
"(143, 1)",10.5
"(143, 2)",nan
"(143, 3)",nan
"(144, 1)",10.5
"(144, 2)",nan
"(144, 3)",nan
"(145, 1)",10.5
"(145, 2)",nan
"(145, 3)",nan
"(146, 1)",10.5
"(146, 2)",nan
"(146, 3)",nan
"(147, 1)",10.5
"(147, 2)",nan
"(147, 3)",nan
"(148, 1)",10.5
"(148, 2)",nan
"(148, 3)",nan
"(149, 1)",10.5
"(149, 2)",nan
"(149, 3)",nan
"(150, 1)",10.5
"(150, 2)",nan
"(150, 3)",nan
"(151, 1)",10.5
"(151, 2)",nan
"(151, 3)",nan
"(152, 1)",10.5
"(152, 2)",nan
"(152, 3)",nan
"(153, 1)",10.5
"(153, 2)",nan
"(153, 3)",nan
"(154, 1)",10.5
"(154, 2)",nan
"(154, 3)",nan
"(155, 1)",10.5
"(155, 2)",nan
"(155, 3)",nan
"(156, 1)",10.5
"(156, 2)",nan
"(156, 3)",nan
"(157, 1)",10.5
"(157, 2)",nan
"(157, 3)",nan
"(158, 1)",10.5
"(158, 2)",nan
"(158, 3)",nan
"(159, 1)",10.5
"(159, 2)",nan
"(159, 3)",nan
"(160, 1)",10.5
"(160, 2)",nan
"(160, 3)",nan
"(161, 1)",10.5
"(161, 2)",nan
"(161, 3)",nan
"(162, 1)",10.5
"(162, 2)",nan
"(162, 3)",nan
"(163, 1)",10.5
"(163, 2)",nan
"(163, 3)",nan
"(164, 1)",10.5
"(164, 2)",nan
"(164, 3)",nan
"(165, 1)",10.5
"(165, 2)",nan
"(165, 3)",nan
"(166, 1)",10.5
"(166, 2)",nan
"(166, 3)",nan
"(167, 1)",10.5
"(167, 2)",nan
"(167, 3)",nan
"(168, 1)",10.5
"(168, 2)",nan
"(168, 3)",nan
"(169, 1)",10.5
"(169, 2)",nan
"(169, 3)",nan
"(170, 1)",10.5
"(170, 2)",nan
"(170, 3)",nan
"(171, 1)",10.5
"(171, 2)",nan
"(171, 3)",nan
"(172, 1)",10.5
"(172, 2)",nan
"(172, 3)",nan
"(173, 1)",10.5
"(173, 2)",nan
"(173, 3)",nan
"(174, 1)",10.5
"(174, 2)",nan
"(174, 3)",nan
"(175, 1)",10.5
"(175, 2)",nan
"(175, 3)",nan
"(176, 1)",10.5
"(176, 2)",nan
"(176, 3)",nan
"(177, 1)",10.5
"(177, 2)",nan
"(177, 3)",nan
"(178, 1)",10.5
"(178, 2)",nan
"(178, 3)",nan
"(179, 1)",10.5
"(179, 2)",nan
"(179, 3)",nan
"(180, 1)",10.5
"(180, 2)",nan
"(180, 3)",nan
"(181, 1)",10.5
"(181, 2)",nan
"(181, 3)",nan
"(182, 1)",10.5
"(182, 2)",nan
"(182, 3)",nan
"(183, 1)",10.5
"(183, 2)",nan
"(183, 3)",nan
"(184, 1)",10.5
"(184, 2)",nan
"(184, 3)",nan
"(185, 1)",10.5
"(185, 2)",nan
"(185, 3)",nan
"(186, 1)",10.5
"(186, 2)",nan
"(186, 3)",nan
"(187, 1)",10.5
"(187, 2)",nan
"(187, 3)",nan
"(188, 1)",10.5
"(188, 2)",nan
"(188, 3)",nan
"(189, 1)",10.5
"(189, 2)",nan
"(189, 3)",nan
"(190, 1)",10.5
"(190, 2)",nan
"(190, 3)",nan
"(191, 1)",10.5
"(191, 2)",nan
"(191, 3)",nan
"(192, 1)",10.5
"(192, 2)",nan
"(192, 3)",nan
"(193, 1)",10.5
"(193, 2)",nan
"(193, 3)",nan
"(194, 1)",10.5
"(194, 2)",nan
"(194, 3)",nan
"(195, 1)",10.5
"(195, 2)",nan
"(195, 3)",nan
"(196, 1)",10.5
"(196, 2)",nan
"(196, 3)",nan
"(197, 1)",10.5
"(197, 2)",nan
"(197, 3)",nan
"(198, 1)",10.5
"(198, 2)",nan
"(198, 3)",nan
"(199, 1)",10.5
"(199, 2)",nan
"(199, 3)",nan
"(200, 1)",10.5
"(200, 2)",nan
"(200, 3)",nan
