key,value
"(0, 1)",12.068123262500125
"(0, 2)",12.668123262500124
"(0, 3)",13.268123262500124
"(1, 1)",12.072299892391436
"(1, 2)",12.672299892391436
"(1, 3)",13.272299892391436
"(2, 1)",12.076490260498788
"(2, 2)",12.676490260498788
"(2, 3)",13.276490260498788
"(3, 1)",12.080707429107479
"(3, 2)",12.680707429107478
"(3, 3)",13.280707429107478
"(4, 1)",12.08496328574163
"(4, 2)",12.68496328574163
"(4, 3)",13.284963285741629
"(5, 1)",12.089268494512263
"(5, 2)",12.689268494512262
"(5, 3)",13.289268494512262
"(6, 1)",12.093632451584451
"(6, 2)",12.69363245158445
"(6, 3)",13.29363245158445
"(7, 1)",12.098063244896089
"(7, 2)",12.698063244896089
"(7, 3)",13.298063244896088
"(8, 1)",12.102567618248683
"(8, 2)",12.702567618248683
"(8, 3)",13.302567618248682
"(9, 1)",12.107150939877954
"(9, 2)",12.707150939877954
"(9, 3)",13.307150939877953
"(10, 1)",12.111817175599311
"(10, 2)",12.711817175599311
"(10, 3)",13.31181717559931
"(11, 1)",12.116568866610098
"(11, 2)",12.716568866610098
"(11, 3)",13.316568866610098
"(12, 1)",12.121407112017227
"(12, 2)",12.721407112017227
"(12, 3)",13.321407112017226
"(13, 1)",12.126331556145296
"(13, 2)",12.726331556145297
"(13, 3)",13.326331556145295
"(14, 1)",12.131340380666602
"(14, 2)",12.7313403806666
"(14, 3)",13.331340380666601
"(15, 1)",12.13643030158069
"(15, 2)",12.73643030158069
"(15, 3)",13.33643030158069
"(16, 1)",12.141596571057201
"(16, 2)",12.741596571057201
"(16, 3)",13.3415965710572
"(17, 1)",12.146832984141867
"(17, 2)",12.746832984141866
"(17, 3)",13.346832984141866
"(18, 1)",12.152131890311603
"(18, 2)",12.752131890311603
"(18, 3)",13.352131890311602
"(19, 1)",12.157484209850766
"(19, 2)",12.757484209850766
"(19, 3)",13.357484209850766
"(20, 1)",12.162879455006822
"(20, 2)",12.762879455006821
"(20, 3)",13.362879455006821
"(21, 1)",12.168305755870021
"(21, 2)",12.76830575587002
"(21, 3)",13.36830575587002
"(22, 1)",12.173749890908079
"(22, 2)",12.773749890908078
"(22, 3)",13.373749890908078
"(23, 1)",12.179197322073572
"(23, 2)",12.779197322073571
"(23, 3)",13.379197322073571
"(24, 1)",12.184632234388575
"(24, 2)",12.784632234388575
"(24, 3)",13.384632234388574
"(25, 1)",12.19003757989823
"(25, 2)",12.790037579898229
"(25, 3)",13.390037579898229
"(26, 1)",12.195395125872352
"(26, 2)",12.795395125872352
"(26, 3)",13.395395125872351
"(27, 1)",12.20068550712196
"(27, 2)",12.80068550712196
"(27, 3)",13.40068550712196
"(28, 1)",12.205888282285713
"(28, 2)",12.805888282285713
"(28, 3)",13.405888282285712
"(29, 1)",12.210981993929778
"(29, 2)",12.810981993929778
"(29, 3)",13.410981993929777
"(30, 1)",12.215944232293625
"(30, 2)",12.815944232293624
"(30, 3)",13.415944232293624
"(31, 1)",12.220751702503637
"(31, 2)",12.820751702503639
"(31, 3)",13.420751702503637
"(32, 1)",12.225380295066326
"(32, 2)",12.825380295066326
"(32, 3)",13.425380295066326
"(33, 1)",12.229805159443403
"(33, 2)",12.829805159443403
"(33, 3)",13.429805159443402
"(34, 1)",12.234000780501908
"(34, 2)",12.834000780501906
"(34, 3)",13.434000780501908
"(35, 1)",12.237941057624104
"(35, 2)",12.837941057624104
"(35, 3)",13.437941057624103
"(36, 1)",12.241599386254066
"(36, 2)",12.841599386254066
"(36, 3)",13.441599386254065
"(37, 1)",12.244948741650553
"(37, 2)",12.844948741650553
"(37, 3)",13.444948741650553
"(38, 1)",12.247961764609196
"(38, 2)",12.847961764609195
"(38, 3)",13.447961764609195
"(39, 1)",12.250610848911043
"(39, 2)",12.850610848911042
"(39, 3)",13.450610848911042
"(40, 1)",12.252868230249268
"(40, 2)",12.85286823024927
"(40, 3)",13.452868230249267
"(41, 1)",12.25470607638118
"(41, 2)",12.854706076381179
"(41, 3)",13.454706076381179
"(42, 1)",12.256096578248794
"(42, 2)",12.856096578248794
"(42, 3)",13.456096578248793
"(43, 1)",12.257012041808098
"(43, 2)",12.857012041808098
"(43, 3)",13.457012041808097
"(44, 1)",12.25742498030455
"(44, 2)",12.857424980304549
"(44, 3)",13.45742498030455
"(45, 1)",12.257308206730716
"(45, 2)",12.857308206730718
"(45, 3)",13.457308206730715
"(46, 1)",12.256634926200892
"(46, 2)",12.856634926200892
"(46, 3)",13.456634926200891
"(47, 1)",12.255378827977239
"(47, 2)",12.855378827977239
"(47, 3)",13.455378827977238
"(48, 1)",12.253514176882529
"(48, 2)",12.853514176882527
"(48, 3)",13.453514176882528
"(49, 1)",12.251015903835636
"(49, 2)",12.851015903835636
"(49, 3)",13.451015903835636
"(50, 1)",12.247859695248003
"(50, 2)",12.847859695248003
"(50, 3)",13.447859695248003
"(51, 1)",12.244022081021807
"(51, 2)",12.844022081021807
"(51, 3)",13.444022081021807
"(52, 1)",12.239480520894015
"(52, 2)",12.839480520894014
"(52, 3)",13.439480520894014
"(53, 1)",12.234213488874614
"(53, 2)",12.834213488874614
"(53, 3)",13.434213488874613
"(54, 1)",12.228200555531988
"(54, 2)",12.828200555531987
"(54, 3)",13.428200555531987
"(55, 1)",12.221422467883983
"(55, 2)",12.821422467883982
"(55, 3)",13.421422467883982
"(56, 1)",12.21386122665931
"(56, 2)",12.81386122665931
"(56, 3)",13.413861226659309
"(57, 1)",12.205500160700703
