

===== RUN WITH C:\Users\mhasa42\AppData\Local\anaconda3\envs\raiselab\python.exe =====
Realistic SUMO replay step 0/240: k=0   t=0.0s   ego lane=2   v=11.0 m/s   next SIG 1: RED, not safe-to-clear, distance=891.1 m
Realistic SUMO replay step 1/240: k=1   t=1.0s   ego lane=3   v=12.4 m/s   next SIG 1: RED, not safe-to-clear, distance=880.1 m
Realistic SUMO replay step 2/240: k=2   t=2.0s   ego lane=3   v=13.2 m/s   next SIG 1: RED, not safe-to-clear, distance=867.7 m
Realistic SUMO replay step 3/240: k=3   t=3.0s   ego lane=3   v=13.3 m/s   next SIG 1: RED, not safe-to-clear, distance=854.4 m
Realistic SUMO replay step 4/240: k=4   t=4.0s   ego lane=3   v=13.3 m/s   next SIG 1: RED, not safe-to-clear, distance=841.2 m
Realistic SUMO replay step 5/240: k=5   t=5.0s   ego lane=3   v=13.3 m/s   next SIG 1: RED, not safe-to-clear, distance=827.9 m
Realistic SUMO replay step 6/240: k=6   t=6.0s   ego lane=3   v=13.3 m/s   next SIG 1: RED, not safe-to-clear, distance=814.6 m
Realistic SUMO replay step 7/240: k=7   t=7.0s   ego lane=3   v=13.3 m/s   next SIG 1: RED, not safe-to-clear, distance=801.3 m
Realistic SUMO replay step 8/240: k=8   t=8.0s   ego lane=3   v=13.3 m/s   next SIG 1: RED, not safe-to-clear, distance=788.0 m
Realistic SUMO replay step 9/240: k=9   t=9.0s   ego lane=3   v=13.3 m/s   next SIG 1: RED, not safe-to-clear, distance=774.7 m
Realistic SUMO replay step 10/240: k=10   t=10.0s   ego lane=3   v=13.3 m/s   next SIG 1: RED, not safe-to-clear, distance=761.4 m
Realistic SUMO replay step 11/240: k=11   t=11.0s   ego lane=3   v=13.3 m/s   next SIG 1: RED, not safe-to-clear, distance=748.1 m
Realistic SUMO replay step 12/240: k=12   t=12.0s   ego lane=3   v=13.3 m/s   next SIG 1: RED, not safe-to-clear, distance=734.8 m
Realistic SUMO replay step 13/240: k=13   t=13.0s   ego lane=3   v=13.3 m/s   next SIG 1: RED, not safe-to-clear, distance=721.4 m
Realistic SUMO replay step 14/240: k=14   t=14.0s   ego lane=3   v=13.3 m/s   next SIG 1: RED, not safe-to-clear, distance=708.1 m
Realistic SUMO replay step 15/240: k=15   t=15.0s   ego lane=3   v=13.3 m/s   next SIG 1: RED, not safe-to-clear, distance=694.8 m
Realistic SUMO replay step 16/240: k=16   t=16.0s   ego lane=3   v=13.3 m/s   next SIG 1: RED, not safe-to-clear, distance=681.4 m
Realistic SUMO replay step 17/240: k=17   t=17.0s   ego lane=3   v=13.3 m/s   next SIG 1: RED, not safe-to-clear, distance=668.1 m
Realistic SUMO replay step 18/240: k=18   t=18.0s   ego lane=3   v=13.4 m/s   next SIG 1: RED, not safe-to-clear, distance=654.7 m
Realistic SUMO replay step 19/240: k=19   t=19.0s   ego lane=3   v=13.4 m/s   next SIG 1: RED, not safe-to-clear, distance=641.4 m
Realistic SUMO replay step 20/240: k=20   t=20.0s   ego lane=3   v=13.4 m/s   next SIG 1: RED, not safe-to-clear, distance=628.0 m
Realistic SUMO replay step 21/240: k=21   t=21.0s   ego lane=3   v=13.4 m/s   next SIG 1: RED, not safe-to-clear, distance=614.7 m
Realistic SUMO replay step 22/240: k=22   t=22.0s   ego lane=3   v=13.4 m/s   next SIG 1: RED, not safe-to-clear, distance=601.3 m
Realistic SUMO replay step 23/240: k=23   t=23.0s   ego lane=3   v=13.4 m/s   next SIG 1: RED, not safe-to-clear, distance=587.9 m
Realistic SUMO replay step 24/240: k=24   t=24.0s   ego lane=3   v=13.4 m/s   next SIG 1: RED, not safe-to-clear, distance=574.6 m
Realistic SUMO replay step 25/240: k=25   t=25.0s   ego lane=3   v=13.4 m/s   next SIG 1: RED, not safe-to-clear, distance=561.2 m
Realistic SUMO replay step 26/240: k=26   t=26.0s   ego lane=3   v=13.4 m/s   next SIG 1: RED, not safe-to-clear, distance=547.8 m
Realistic SUMO replay step 27/240: k=27   t=27.0s   ego lane=3   v=13.4 m/s   next SIG 1: RED, not safe-to-clear, distance=534.4 m
Realistic SUMO replay step 28/240: k=28   t=28.0s   ego lane=3   v=13.4 m/s   next SIG 1: RED, not safe-to-clear, distance=521.0 m
Realistic SUMO replay step 29/240: k=29   t=29.0s   ego lane=3   v=13.4 m/s   next SIG 1: RED, not safe-to-clear, distance=507.6 m
Realistic SUMO replay step 30/240: k=30   t=30.0s   ego lane=3   v=13.4 m/s   next SIG 1: RED, not safe-to-clear, distance=494.2 m
Realistic SUMO replay step 31/240: k=31   t=31.0s   ego lane=3   v=13.4 m/s   next SIG 1: RED, not safe-to-clear, distance=480.8 m
Realistic SUMO replay step 32/240: k=32   t=32.0s   ego lane=3   v=13.4 m/s   next SIG 1: RED, not safe-to-clear, distance=467.3 m
Realistic SUMO replay step 33/240: k=33   t=33.0s   ego lane=3   v=13.4 m/s   next SIG 1: RED, not safe-to-clear, distance=453.9 m
Realistic SUMO replay step 34/240: k=34   t=34.0s   ego lane=3   v=13.4 m/s   next SIG 1: RED, not safe-to-clear, distance=440.5 m
Realistic SUMO replay step 35/240: k=35   t=35.0s   ego lane=3   v=13.4 m/s   next SIG 1: RED, not safe-to-clear, distance=427.0 m
Realistic SUMO replay step 36/240: k=36   t=36.0s   ego lane=3   v=13.4 m/s   next SIG 1: RED, not safe-to-clear, distance=413.6 m
Realistic SUMO replay step 37/240: k=37   t=37.0s   ego lane=3   v=13.4 m/s   next SIG 1: RED, not safe-to-clear, distance=400.2 m
Realistic SUMO replay step 38/240: k=38   t=38.0s   ego lane=3   v=13.4 m/s   next SIG 1: RED, not safe-to-clear, distance=386.7 m
Realistic SUMO replay step 39/240: k=39   t=39.0s   ego lane=3   v=13.5 m/s   next SIG 1: RED, not safe-to-clear, distance=373.3 m
Realistic SUMO replay step 40/240: k=40   t=40.0s   ego lane=3   v=13.5 m/s   next SIG 1: RED, not safe-to-clear, distance=359.8 m
Realistic SUMO replay step 41/240: k=41   t=41.0s   ego lane=3   v=13.5 m/s   next SIG 1: RED, not safe-to-clear, distance=346.4 m
Realistic SUMO replay step 42/240: k=42   t=42.0s   ego lane=3   v=13.5 m/s   next SIG 1: RED, not safe-to-clear, distance=332.9 m
Realistic SUMO replay step 43/240: k=43   t=43.0s   ego lane=3   v=13.5 m/s   next SIG 1: RED, not safe-to-clear, distance=319.5 m
Realistic SUMO replay step 44/240: k=44   t=44.0s   ego lane=3   v=13.5 m/s   next SIG 1: RED, not safe-to-clear, distance=306.0 m
Realistic SUMO replay step 45/240: k=45   t=45.0s   ego lane=3   v=13.5 m/s   next SIG 1: RED, not safe-to-clear, distance=292.5 m
Realistic SUMO replay step 46/240: k=46   t=46.0s   ego lane=3   v=13.5 m/s   next SIG 1: RED, not safe-to-clear, distance=279.1 m
Realistic SUMO replay step 47/240: k=47   t=47.0s   ego lane=3   v=13.5 m/s   next SIG 1: RED, not safe-to-clear, distance=265.6 m
Realistic SUMO replay step 48/240: k=48   t=48.0s   ego lane=3   v=13.5 m/s   next SIG 1: RED, not safe-to-clear, distance=252.2 m
Realistic SUMO replay step 49/240: k=49   t=49.0s   ego lane=3   v=13.5 m/s   next SIG 1: RED, not safe-to-clear, distance=238.7 m
Realistic SUMO replay step 50/240: k=50   t=50.0s   ego lane=3   v=13.4 m/s   next SIG 1: RED, not safe-to-clear, distance=225.3 m
Realistic SUMO replay step 51/240: k=51   t=51.0s   ego lane=3   v=13.4 m/s   next SIG 1: GREEN, safe-to-clear, distance=211.8 m
Realistic SUMO replay step 52/240: k=52   t=52.0s   ego lane=3   v=13.4 m/s   next SIG 1: GREEN, safe-to-clear, distance=198.4 m
Realistic SUMO replay step 53/240: k=53   t=53.0s   ego lane=3   v=13.4 m/s   next SIG 1: GREEN, safe-to-clear, distance=184.9 m
Realistic SUMO replay step 54/240: k=54   t=54.0s   ego lane=3   v=13.4 m/s   next SIG 1: GREEN, safe-to-clear, distance=171.5 m
Realistic SUMO replay step 55/240: k=55   t=55.0s   ego lane=3   v=13.4 m/s   next SIG 1: GREEN, safe-to-clear, distance=158.1 m
Realistic SUMO replay step 56/240: k=56   t=56.0s   ego lane=3   v=13.4 m/s   next SIG 1: GREEN, safe-to-clear, distance=144.7 m
Realistic SUMO replay step 57/240: k=57   t=57.0s   ego lane=3   v=13.4 m/s   next SIG 1: GREEN, safe-to-clear, distance=131.2 m
Realistic SUMO replay step 58/240: k=58   t=58.0s   ego lane=3   v=13.4 m/s   next SIG 1: GREEN, safe-to-clear, distance=117.8 m
Realistic SUMO replay step 59/240: k=59   t=59.0s   ego lane=3   v=13.4 m/s   next SIG 1: GREEN, safe-to-clear, distance=104.4 m
Realistic SUMO replay step 60/240: k=60   t=60.0s   ego lane=3   v=13.4 m/s   next SIG 1: GREEN, safe-to-clear, distance=91.0 m
Realistic SUMO replay step 61/240: k=61   t=61.0s   ego lane=3   v=13.4 m/s   next SIG 1: GREEN, safe-to-clear, distance=77.7 m
Realistic SUMO replay step 62/240: k=62   t=62.0s   ego lane=3   v=13.4 m/s   next SIG 1: GREEN, safe-to-clear, distance=64.3 m
Realistic SUMO replay step 63/240: k=63   t=63.0s   ego lane=3   v=13.3 m/s   next SIG 1: GREEN, safe-to-clear, distance=51.0 m
Realistic SUMO replay step 64/240: k=64   t=64.0s   ego lane=3   v=13.3 m/s   next SIG 1: GREEN, safe-to-clear, distance=37.6 m
Realistic SUMO replay step 65/240: k=65   t=65.0s   ego lane=3   v=13.3 m/s   next SIG 1: GREEN, safe-to-clear, distance=24.3 m
Realistic SUMO replay step 66/240: k=66   t=66.0s   ego lane=3   v=13.3 m/s   next SIG 1: GREEN, safe-to-clear, distance=11.0 m
Realistic SUMO replay step 67/240: k=67   t=67.0s   ego lane=3   v=13.3 m/s   next SIG 1: GREEN, safe-to-clear, distance=-2.3 m
Realistic SUMO replay step 68/240: k=68   t=68.0s   ego lane=3   v=13.3 m/s   next SIG 1: GREEN, safe-to-clear, distance=-15.6 m
Realistic SUMO replay step 69/240: k=69   t=69.0s   ego lane=3   v=13.2 m/s   next NS 1: stop/yield control, distance=335.8 m
Realistic SUMO replay step 70/240: k=70   t=70.0s   ego lane=3   v=13.2 m/s   next NS 1: stop/yield control, distance=322.5 m
Realistic SUMO replay step 71/240: k=71   t=71.0s   ego lane=3   v=13.2 m/s   next NS 1: stop/yield control, distance=309.3 m
Realistic SUMO replay step 72/240: k=72   t=72.0s   ego lane=3   v=13.2 m/s   next NS 1: stop/yield control, distance=296.1 m
Realistic SUMO replay step 73/240: k=73   t=73.0s   ego lane=3   v=13.2 m/s   next NS 1: stop/yield control, distance=282.9 m
Realistic SUMO replay step 74/240: k=74   t=74.0s   ego lane=3   v=13.1 m/s   next NS 1: stop/yield control, distance=269.8 m
Realistic SUMO replay step 75/240: k=75   t=75.0s   ego lane=3   v=13.1 m/s   next NS 1: stop/yield control, distance=256.6 m
Realistic SUMO replay step 76/240: k=76   t=76.0s   ego lane=3   v=13.1 m/s   next NS 1: stop/yield control, distance=243.5 m
Realistic SUMO replay step 77/240: k=77   t=77.0s   ego lane=3   v=13.1 m/s   next NS 1: stop/yield control, distance=230.4 m
Realistic SUMO replay step 78/240: k=78   t=78.0s   ego lane=3   v=13.0 m/s   next NS 1: stop/yield control, distance=217.4 m
Realistic SUMO replay step 79/240: k=79   t=79.0s   ego lane=3   v=13.0 m/s   next NS 1: stop/yield control, distance=204.4 m
Realistic SUMO replay step 80/240: k=80   t=80.0s   ego lane=3   v=13.0 m/s   next NS 1: stop/yield control, distance=191.4 m
Realistic SUMO replay step 81/240: k=81   t=81.0s   ego lane=3   v=13.0 m/s   next NS 1: stop/yield control, distance=178.4 m
